"concept_id","sex","age_group","patient_count_d1","patient_count_d2","denominator_d1","denominator_d2","prevalence_d1","prevalence_d2","log2_pr","se","ci_low","ci_high","ci_width","fold_diff","fold_ci_low","fold_ci_high","fold_ci_width","fold_symmetric","z","p_value","sig","meta_model_type","n_strata","tau2","I2","Q","pval_Q","lower_predict","upper_predict"
702006,"F","60-69",5,14,14087,9343,0.000354937176119827,0.00149844803596275,2.07783345881178,0.75138038635185,0.605154962872366,3.5505119547512,2.94535699187883,4.22172749652145,1.52114213350395,11.7168426686269,10.195700535123,4.22172749652145,2.76535493413691,0.00568608894514,TRUE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
702006,"F","70-79",5,14,10461,7368,0.00047796577765032,0.00190010857763301,1.99110263057677,0.751306566492441,0.518568818903138,3.4636364422504,2.94506762334726,3.97540716612378,1.43253344230663,11.0321069440594,9.59957350175277,3.97540716612378,2.65018664733952,0.00804473140792927,TRUE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
702006,"M","50-59",22,40,45141,39352,0.000487361821847101,0.0010164667615369,1.02076401956264,0.390954111411405,0.254508041588424,1.78701999753685,1.53251195594843,2.02899318527651,1.19292888541055,3.45101321314867,2.25808432773812,2.02899318527651,2.61095609374082,0.00902894849804014,TRUE,"Random-Effects",4,0,0,2.47677565270904,0.479502867929987,-0.223426447834064,2.26495448695934
702006,"M","60-69",6,23,9902,7868,0.000605938194304181,0.00292323335027961,2.27032244701949,0.660995008223597,0.974796036940478,3.56584885709849,2.59105282015801,4.82430943907812,1.96536332141875,11.8420656935723,9.87670237215354,4.82430943907812,3.43470437563652,0.000593200571572083,TRUE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
729855,"F","30-39",17,41,42101,36539,0.000403790883826987,0.0011220887271135,1.47317170769383,0.416305743488676,0.657227443898851,2.2891159714888,1.63188852758995,2.77631585188226,1.57704895359041,4.8875652793557,3.31051632576529,2.77631585188226,3.53867735609057,0.000402137039251777,TRUE,"Random-Effects",3,0,0,0.0589877562132447,0.970936821594698,-0.318047335938105,3.26439075132576
729855,"F","50-59",65,230,157080,119985,0.00041380188439012,0.00191690627995166,2.18770033260996,0.203259979443053,1.78931809340322,2.58608257181669,0.796764478413473,4.5557871116306,3.45651477713649,6.00466005346978,2.54814527633328,4.5557871116306,10.7630648128786,5.14307016540446e-27,TRUE,"Random-Effects",11,0,0,1.60200858681153,0.998580972900574,1.73480887535896,2.64059178986096
729855,"F","60-69",156,243,188337,130868,0.000828302457828255,0.00185683283919675,1.13904363984032,0.150404326677254,0.84425657643391,1.43383070324674,0.58957412681283,2.20234981369851,1.79533936548943,2.70163112062973,0.906291755140303,2.20234981369851,7.57321059177072,3.64111329523755e-14,TRUE,"Random-Effects",13,0,0,10.7740357854675,0.548376757719076,0.811340763238463,1.46674651644219
729855,"F","70-79",93,176,142025,98798,0.000654814293258229,0.00178141257920201,1.43020645759495,0.18633297424751,1.0650005389376,1.7954123762523,0.730411837314698,2.69485277439179,2.09217066114263,3.47114679052086,1.37897612937824,2.69485277439179,7.67554139770869,1.64721446196862e-14,TRUE,"Random-Effects",13,0,0,3.96596740967298,0.984042691931905,1.02422178271442,1.83619113247548
729855,"F","80+",46,51,60187,43002,0.000764284646186054,0.00118599134923957,0.635185810311526,0.294812939182185,0.057363067338046,1.21300855328501,1.15564548594696,1.55313777178186,1.04056210049765,2.31820564768012,1.27764354718247,1.55313777178186,2.15453844079415,0.0311979707325066,TRUE,"Random-Effects",7,0,0,1.01799459609797,0.984920964803151,-0.0861954644442436,1.3565670850673
729855,"M","60-69",5,8,9690,8679,0.000515995872033024,0.000921765180320313,0.837039746764324,0.822186296762836,-0.774415783473195,2.44849527700184,3.22291106047504,1.78638091946077,0.584625319229026,5.45846490812581,4.87383958889678,1.78638091946077,1.01806579610968,0.308646688744098,FALSE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
937368,"F","60-69",5,6,14433,10709,0.000346428323979769,0.000560276403025493,0.69358184270803,0.873401431386229,-1.01825350685471,2.40541719227077,3.42367069912548,1.61729386497339,0.493713668938093,5.29788744011567,4.80417377117758,1.61729386497339,0.794115761417066,0.427128042738807,FALSE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
937368,"M","20-29",21,26,27175,27282,0.000772769089236431,0.000953009310167876,0.302653084636616,0.424394597613453,-0.529145041919119,1.13445121119235,1.66359625311147,1.23341054404666,0.692965271784149,2.19535037628747,1.50238510450332,1.23341054404666,0.713140757065619,0.475758661269437,FALSE,"Random-Effects",3,0,0,0.310512277345563,0.856195844527728,-1.52336948927583,2.12867565854906
937368,"M","30-39",6,10,14424,13036,0.000415973377703827,0.000767106474378644,0.882935638859984,0.74480048744067,-0.576846492191605,2.34271776991157,2.91956426210318,1.84412396440626,0.670427627844282,5.07257316801293,4.40214554016865,1.84412396440626,1.18546597880727,0.235833258316017,FALSE,"Pass-Through",1,NA,NA,NA,NA,NA,NA
1304850,"F","30-39",41,22,42609,36728,0.000962238024830435,0.000598998039642779,-0.653505832852051,0.386536115668663,-1.41110269828664,0.104091032582536,1.51519373086917,0.635733565540277,0.376024169603456,1.07481699056942,0.698792820965969,1.57298600263485,-1.69067211668323,0.0908994425964156,FALSE,"Random-Effects",3,0,0,1.60137530770613,0.44902008753601,-2.31663650608058,1.00962484037647
1304850,"F","40-49",244,96,148030,117073,0.00164831453083834,0.000820001195835077,-0.977389354400312,0.204573467499033,-1.37834598289089,-0.576432725909732,0.801913256981159,0.507897981539857,0.384659546054527,0.670619934688152,0.285960388633625,1.96889933873763,-4.77769363910759,1.77317263902009e-06,TRUE,"Random-Effects",11,0.110608492157213,0.267399062022372,13.6499961733674,0.189563178428604,-1.84738783471213,-0.107390874088498
