"concept_id","sex","patient_count_d1","patient_count_d2","denominator_d1","denominator_d2","prevalence_d1","prevalence_d2","log2_pr","se","ci_low","ci_high","ci_width","fold_diff","fold_ci_low","fold_ci_high","fold_ci_width","fold_symmetric","z","p_value","sig","meta_model_type","n_strata","tau2","I2","Q","pval_Q","lower_predict","upper_predict"
506795,"F",17,14,28071,21338,0.000605607210288198,0.00065610647670822,0.117710380582113,0.528410888499618,-0.917955929915949,1.15337669108017,2.07133262099612,1.08501153516363,0.529258364474745,2.22433901938705,1.6950806549123,1.08501153516363,0.222762973178585,0.823719987022683,FALSE,"Random-Effects",2,0,0,0.727301881844246,0.393759154054551,-6.59638655351802,6.83180731468224
604177,"F",952,814,763199,560804,0.00124738108933581,0.00145148750722177,0.247860670534172,0.072952739589149,0.104875928365911,0.390845412702433,0.285969484336523,1.18744498205519,1.07540190202079,1.31116151343834,0.235759611417548,1.18744498205519,3.39755123563638,0.00067991854631245,TRUE,"Random-Effects",6,0,0,1.28851566959675,0.93610895993104,0.0603296832863996,0.435391657781945
604177,"M",1657,1570,725556,624594,0.00228376582923992,0.00251363285590319,0.204816544722469,0.0594923774666196,0.0882136275332325,0.321419461911706,0.233205834378473,1.15253977878342,1.06305307463142,1.2495593807851,0.186506306153682,1.15253977878342,3.44273591751127,0.00057586134406054,TRUE,"Random-Effects",7,0,0,5.08504701412118,0.532952461650693,0.0592439412466078,0.350389148198331
604986,"F",172,773,139497,98578,0.00123300142655398,0.00784150621842602,2.69320606510435,0.232130762067243,2.23823813174872,3.14817399845998,0.909935866711264,6.46749065845307,4.71820509335998,8.86532793499029,4.14712284163031,6.46749065845307,11.6021075411116,4.02053229076971e-31,TRUE,"Random-Effects",3,0.0806515817449263,0.54411148045297,4.38703743184232,0.111523637401077,1.11502804466486,4.27138408554384
604986,"M",80,322,57931,46812,0.00138095320294834,0.00687857814235666,2.32311445509775,0.180643910570667,1.96905889635276,2.67717001384273,0.708111117489964,5.00411330217291,3.91512642882563,6.39600033261125,2.48087390378562,5.00411330217291,12.860186915567,7.5394138721679e-38,TRUE,"Random-Effects",3,0,0,0.286872258256162,0.866376134619224,1.54586644016825,3.10036247002725
761970,"F",25,30,54417,41287,0.00045941525626183,0.000726620970281202,0.65319422022531,0.399481184649255,-0.129774514188625,1.43616295463925,1.56593746882787,1.57264628470825,0.913974288545026,2.70600209196675,1.79202780342173,1.57264628470825,1.6351063462446,0.102026756033351,FALSE,"Random-Effects",3,0,0,1.29315484370686,0.523835580352245,-1.06563458938936,2.37202302983998
761970,"M",147,146,251014,224492,0.000585624706191686,0.000650357251037899,0.152684472398478,0.171295089841982,-0.18304773442036,0.488416679217316,0.671464413637676,1.11163600827748,0.880840229302754,1.40290437901236,0.522064149709609,1.11163600827748,0.891353468096067,0.372739572642011,FALSE,"Random-Effects",4,0,0,1.30431187262475,0.728109434916496,-0.392452953382379,0.697821898179335
763457,"F",266,90,110964,82737,0.00239717385818824,0.00108778418361797,-1.07599925169385,0.225245556015348,-1.51747242916163,-0.634526074226074,0.882946354935561,0.474342403605067,0.349297342297667,0.644152384263174,0.294855041965507,2.10818175309621,-4.77700546340874,1.77924941428416e-06,TRUE,"Random-Effects",5,0.0347989087566762,0.160539130337704,4.76496301919248,0.312274742089496,-1.88800606569155,-0.263992437696162
763457,"M",292,135,104635,92230,0.0027906532231089,0.0014637319744118,-0.841836418118464,0.256010416590435,-1.34360761430281,-0.340065221934117,1.00354239236869,0.557932919536638,0.394034098255637,0.790005596167267,0.39597149791163,1.79233016189562,-3.28828970840368,0.00100798056139109,TRUE,"Random-Effects",6,0.198980265342469,0.447434095365457,9.04869438751729,0.107137594540529,-2.16392941208617,0.480256575849244
1072956,"F",5152,4348,1195029,978041,0.00431119244804938,0.00444562140032984,0.122167126037647,0.141518185262745,-0.155203420234801,0.399537672310095,0.554741092544896,1.0883685141788,0.898005745001147,1.31908512751691,0.421079382515765,1.0883685141788,0.863260971095901,0.387993997632245,FALSE,"Random-Effects",8,0.147430015030694,0.881641106663119,59.14215487024,2.23884812972653e-10,-0.84547401887528,1.08980827095057
1072956,"M",3056,2625,959522,870405,0.00318491915766392,0.00301583745497786,-0.0264156286322828,0.146603586050867,-0.313753377296401,0.260922120031836,0.574675497328237,0.981856689638529,0.804545892953954,1.19824433563183,0.393698442677879,1.01847857284361,-0.180184055137078,0.857008075720674,FALSE,"Random-Effects",8,0.145074924830712,0.779704897433151,31.7755588682496,4.46972050903107e-05,-0.991482306525907,0.938651049261341
1073322,"F",69,64,104496,72862,0.000660312356453836,0.000878372814361395,0.404091278280703,0.254628602041451,-0.0949716111543226,0.903154167715729,0.998125778870051,1.32325515866468,0.936290671251797,1.87015023079494,0.933859559543141,1.32325515866468,1.58698306097962,0.112516481113342,FALSE,"Random-Effects",3,0,0,1.57330674313698,0.455366189528402,-0.691487171365235,1.49966972792664
1073322,"M",404,308,319781,272921,0.0012633646151585,0.00112853169964935,-0.111265092160284,0.110952601598788,-0.32872819528493,0.106198010964362,0.434926206249292,0.925775897535992,0.796238096440879,1.07638784967658,0.280149753235701,1.08017502147286,-1.00281643293616,0.315949438607177,FALSE,"Random-Effects",6,0,0,2.0802533611848,0.837932746348341,-0.396477834446721,0.173947650126154
