"concept_id","concept_name","concept_code","vocabulary_id","concept_class_id","n_patients_total","n_records_total"
257011,"Acute upper respiratory infection","54398005","SNOMED","Disorder",269435,1104798
440029,"Viral disease","34014006","SNOMED","Disorder",195648,610470
260139,"Acute bronchitis","10509002","SNOMED","Disorder",143024,529243
37311061,"COVID-19","840539006","SNOMED","Disorder",142786,179180
260427,"Common cold","82272006","SNOMED","Disorder",127794,449933
320128,"Essential hypertension","59621000","SNOMED","Disorder",122367,4737452
25297,"Acute pharyngitis","363746003","SNOMED","Disorder",116935,322827
319034,"Hypertensive heart disease without congestive heart failure","60899001","SNOMED","Disorder",105810,4209330
77074,"Pain of joint","57676002","SNOMED","Clinical Finding",103492,351013
4169580,"Pain in spine","48926009","SNOMED","Clinical Finding",99588,526189
40484028,"Dental caries extending into dentin","442551007","SNOMED","Disorder",97653,710544
379019,"Conjunctivitis","9826008","SNOMED","Disorder",96026,287621
37397422,"Asymptomatic periapical periodontitis","718052004","SNOMED","Disorder",93852,211823
194133,"Low back pain","279039007","SNOMED","Clinical Finding",92314,408925
4216397,"Nerve root disorder","72274001","SNOMED","Disorder",82449,753224
436070,"Vitamin D deficiency","34713006","SNOMED","Disorder",78106,151756
4031019,"Allergic contact dermatitis","238575004","SNOMED","Disorder",77933,348034
195588,"Cystitis","38822007","SNOMED","Disorder",74922,289432
200219,"Abdominal pain","21522001","SNOMED","Clinical Finding",71478,140213
260123,"Acute sinusitis","15805002","SNOMED","Disorder",70591,254283
24660,"Acute tonsillitis","17741008","SNOMED","Disorder",70279,207654
374375,"Impacted cerumen","18070006","SNOMED","Disorder",68504,138581
45766714,"Inflammatory dermatosis","703938007","SNOMED","Disorder",67571,255721
254761,"Cough","49727002","SNOMED","Clinical Finding",67030,133848
314378,"Hypertensive heart disease with congestive heart failure","5148006","SNOMED","Disorder",64593,1939915
378424,"Astigmatism","82649003","SNOMED","Disorder",63391,150855
436659,"Iron deficiency anemia","87522002","SNOMED","Disorder",62670,271447
4079750,"Osteoarthritis of knee","239873007","SNOMED","Disorder",62064,576986
435524,"Sleep disorder","39898005","SNOMED","Disorder",58288,942742
437530,"Disorder of lipid metabolism","267431006","SNOMED","Disorder",57459,887773
81902,"Urinary tract infectious disease","68566005","SNOMED","Disorder",55892,195047
4170137,"Non-suppurative otitis media","275481002","SNOMED","Disorder",55202,169369
438720,"Mixed hyperlipidemia","267434003","SNOMED","Disorder",55132,544814
378253,"Headache","25064002","SNOMED","Clinical Finding",53370,124222
4043371,"Inflammatory disorder of digestive tract","128999004","SNOMED","Disorder",52275,526788
316139,"Heart failure","84114007","SNOMED","Disorder",51721,750132
255848,"Pneumonia","233604007","SNOMED","Disorder",50875,125270
133834,"Atopic dermatitis","24079001","SNOMED","Disorder",50769,326218
442604,"Hypertensive heart disease","64715009","SNOMED","Disorder",50072,1816466
73553,"Arthropathy","399269003","SNOMED","Disorder",49549,188756
4320791,"Rhinitis","70076002","SNOMED","Disorder",49108,257033
40482507,"Incipient senile cataract","445213003","SNOMED","Disorder",48520,167720
379805,"Myopia","57190000","SNOMED","Disorder",46128,112891
4289526,"Nonulcer dyspepsia","3696007","SNOMED","Disorder",46097,209515
201618,"Disorder of intestine","85919009","SNOMED","Disorder",46041,80971
437827,"Pure hypercholesterolemia","267432004","SNOMED","Disorder",45792,419592
440432,"Accretion on teeth","6288001","SNOMED","Disorder",45100,110260
4217557,"Simple obesity","415530009","SNOMED","Disorder",45001,259075
257007,"Allergic rhinitis","61582004","SNOMED","Disorder",44974,258433
376707,"Acute conjunctivitis","53726008","SNOMED","Disorder",44495,117006
439297,"Nuclear senile cataract","193589009","SNOMED","Disorder",44360,189310
24134,"Neck pain","81680005","SNOMED","Clinical Finding",44319,141356
442077,"Anxiety disorder","197480006","SNOMED","Disorder",44248,496384
376415,"Hypermetropia","38101003","SNOMED","Disorder",44193,105274
4217669,"Candidal vulvovaginitis","72605008","SNOMED","Disorder",43998,201909
373478,"Presbyopia","41256004","SNOMED","Disorder",43881,69968
75344,"Intervertebral disc disorder","36427004","SNOMED","Disorder",43630,364749
75897,"Polyarthropathy","36186002","SNOMED","Disorder",43351,417517
318800,"Gastroesophageal reflux disease","235595009","SNOMED","Disorder",43173,446191
201826,"Type 2 diabetes mellitus","44054006","SNOMED","Disorder",43071,3269586
4173027,"Acute laryngitis and/or tracheitis","276443001","SNOMED","Disorder",42105,116868
