"concept_id","n_patients","n_records"
4054662,213,336
381858,196,474
37395566,182,251
197751,180,339
4147498,180,550
436091,173,375
37165659,171,354
4147026,170,399
4266230,167,269
437993,165,326
4056003,163,278
4214076,159,419
433524,158,246
4293479,152,229
4156941,150,183
37116485,150,193
440642,149,255
4031840,147,201
4056713,147,203
373216,146,253
4057044,146,208
31821,143,302
433981,143,340
4308837,136,156
36685971,134,181
40354893,134,181
201265,133,272
195307,132,222
432829,132,183
443588,130,696
432860,129,244
4031756,125,180
196160,124,524
4062390,124,228
74533,123,187
4276360,123,323
438116,122,287
4096519,121,642
4179872,120,225
3656040,117,241
4291005,117,146
4050689,114,165
81696,113,322
37164275,113,484
78609,112,344
4284541,112,212
140666,110,907
317510,109,200
378434,109,252
4064042,109,208
4009329,108,509
4032899,108,320
81141,107,220
4178810,106,264
4209550,106,276
4316995,106,211
194589,105,499
75053,104,202
4279681,104,175
40485984,104,199
434301,103,175
1075809,103,291
4086196,103,126
194913,102,293
376713,102,189
4177069,102,177
4084964,101,265
40486631,101,185
193666,100,138
4208264,100,194
75709,99,241
195212,99,391
441655,98,194
4055599,98,157
37165080,98,124
197328,97,226
75512,96,207
200773,96,315
4045976,96,212
4052969,95,136
36715927,94,94
432345,93,121
79765,92,184
4043382,92,177
45763578,91,195
379769,90,362
4211974,90,152
75708,89,110
201891,89,225
443287,89,161
4169242,89,189
4270887,89,332
432923,88,264
439857,88,176
442140,88,203
4001578,88,425
4136562,88,157
4268046,88,168
435516,87,287
435803,87,455
4057170,87,214
4108952,87,378
76914,86,616
440615,85,103
4239337,85,137
437434,84,122
444234,84,131
4031011,84,433
4193638,84,261
45767113,84,90
315505,83,157
374226,83,148
434164,83,133
442013,83,122
1244972,83,279
4055326,83,129
134743,82,234
135061,82,238
140362,82,281
201478,82,92
433894,82,180
4055319,82,154
4161309,81,193
197795,80,141
434540,80,104
438086,80,1384
4001819,80,256
4052837,80,119
4081488,80,463
4145016,80,107
136911,79,99
141651,79,365
4163865,79,275
4196401,79,190
74737,78,189
75092,78,272
133283,78,885
141124,78,257
196469,78,126
317003,78,155
434663,78,243
435081,78,100
440371,78,447
4056714,78,135
4080865,78,78
4149850,78,848
314659,77,321
440735,77,144
4059262,77,145
4164648,77,87
4188441,77,164
4296205,77,132
36716566,77,353
433987,76,301
444410,76,180
608027,76,88
194873,75,137
201164,75,149
4177387,75,298
4234501,75,140
4243266,75,105
4244639,75,105
4338035,75,458
42536804,75,143
43021248,75,131
75048,74,128
4054876,74,378
4066853,74,220
4169252,74,108
37116518,74,110
46273949,74,234
192298,73,199
4331309,73,207
36716599,73,211
37117266,73,135
198810,72,205
439842,72,153
1448779,72,185
4239004,72,84
4308570,72,198
37116489,72,109
45757336,72,88
132573,71,112
132776,71,210
196369,71,588
436093,71,111
440142,71,170
441761,71,105
4031941,71,511
4138484,71,201
4166058,71,120
192255,70,722
372900,70,296
4057786,70,135
