"year","sex","age_group","death_count","denominator","mortality_rate"
2012,"F","0-9",8,23814,0.000335936843873352
2012,"F","20-29",14,33450,0.000418535127055306
2012,"F","30-39",19,30195,0.000629243252194072
2012,"F","40-49",46,29375,0.00156595744680851
2012,"F","50-59",102,30965,0.00329404165993864
2012,"F","60-69",221,25994,0.00850196199122875
2012,"F","70-79",516,23108,0.0223299290289077
2012,"F","80+",1341,15579,0.0860774119006355
2012,"M","0-9",7,25045,0.000279496905569974
2012,"M","20-29",45,36348,0.00123803235391218
2012,"M","30-39",69,32303,0.00213602451784664
2012,"M","40-49",132,28946,0.00456021557382713
2012,"M","50-59",250,26833,0.00931688592404875
2012,"M","60-69",479,18919,0.0253184629208732
2012,"M","70-79",627,12690,0.0494089834515366
2012,"M","80+",635,5352,0.118647234678625
2013,"F","0-9",8,24017,0.000333097389349211
2013,"F","20-29",11,32615,0.000337268128161889
2013,"F","30-39",22,30571,0.000719636256583036
2013,"F","40-49",35,29337,0.00119303268909568
2013,"F","50-59",105,30890,0.00339915830365814
2013,"F","60-69",218,26799,0.0081346318892496
2013,"F","70-79",538,22735,0.0236639542555531
2013,"F","80+",1481,15972,0.0927247683446031
2013,"M","0-9",9,25329,0.000355323936989222
2013,"M","10-19",6,22316,0.000268865388062377
2013,"M","20-29",35,35512,0.000985582338364497
2013,"M","30-39",56,32755,0.00170966264692413
2013,"M","40-49",115,29136,0.00394700713893465
2013,"M","50-59",239,27004,0.00885054066064287
2013,"M","60-69",444,19542,0.0227202947497697
2013,"M","70-79",605,12541,0.0482417670042261
2013,"M","80+",621,5499,0.112929623567921
2014,"F","20-29",13,31636,0.000410924263497282
2014,"F","30-39",31,30993,0.00100022585745168
2014,"F","40-49",35,29359,0.0011921386968221
2014,"F","50-59",114,30669,0.00371710848087646
2014,"F","60-69",223,27621,0.00807356721335216
2014,"F","70-79",499,22474,0.0222034350805375
2014,"F","80+",1464,16222,0.0902478116138577
2014,"M","0-9",8,25408,0.000314861460957179
2014,"M","10-19",6,22066,0.000271911538112934
2014,"M","20-29",36,34434,0.00104547830632514
2014,"M","30-39",56,33285,0.00168243953732913
2014,"M","40-49",104,29304,0.00354900354900355
2014,"M","50-59",243,27067,0.00897772194923708
2014,"M","60-69",455,20256,0.0224624802527646
2014,"M","70-79",615,12470,0.0493183640737771
2014,"M","80+",676,5614,0.120413252582829
2015,"F","10-19",6,21113,0.000284185099227964
2015,"F","20-29",7,30585,0.000228870361288213
2015,"F","30-39",18,31367,0.00057385149998406
2015,"F","40-49",36,29457,0.00122212037885732
2015,"F","50-59",105,30260,0.0034699272967614
2015,"F","60-69",244,28514,0.00855719997194361
2015,"F","70-79",487,22106,0.022030218040351
2015,"F","80+",1515,16608,0.091221098265896
2015,"M","0-9",7,25450,0.000275049115913556
2015,"M","10-19",10,22061,0.000453288608857259
2015,"M","20-29",31,33173,0.000934494920567932
2015,"M","30-39",78,33668,0.00231673993109184
2015,"M","40-49",110,29708,0.00370270634172613
2015,"M","50-59",271,27033,0.0100247845226205
2015,"M","60-69",479,21060,0.0227445394112061
2015,"M","70-79",604,12207,0.0494798066683051
2015,"M","80+",631,5810,0.108605851979346
2016,"F","0-9",5,24062,0.000207796525642091
2016,"F","20-29",7,29457,0.000237634518111145
2016,"F","30-39",25,31768,0.000786955426844624
2016,"F","40-49",34,29744,0.00114308768154922
2016,"F","50-59",105,29826,0.00352041842687588
2016,"F","60-69",207,28841,0.00717728234111161
2016,"F","70-79",487,22023,0.022113245243609
2016,"F","80+",1519,17129,0.0886800163465468
2016,"M","0-9",7,25419,0.000275384554860537
2016,"M","20-29",22,31733,0.00069328459332556
2016,"M","30-39",70,34101,0.00205272572651828
2016,"M","40-49",93,30136,0.00308601008760287
2016,"M","50-59",261,26974,0.00967598428115964
2016,"M","60-69",471,21508,0.0218988283429422
2016,"M","70-79",537,12214,0.0439659407237596
2016,"M","80+",686,6077,0.112884647029784
2017,"F","0-9",9,23716,0.000379490639230899
2017,"F","30-39",14,32292,0.000433543911804781
2017,"F","40-49",35,29964,0.00116806834868509
2017,"F","50-59",87,29495,0.00294965248347177
2017,"F","60-69",240,29029,0.00826759447449103
2017,"F","70-79",441,21919,0.0201195310005018
2017,"F","80+",1596,17811,0.089607545898602
2017,"M","0-9",10,25171,0.000397282587104207
2017,"M","10-19",8,22630,0.000353513035793195
2017,"M","20-29",28,30033,0.000932307794759098
2017,"M","30-39",57,34756,0.00164000460352169
2017,"M","40-49",115,30631,0.0037543664914629
2017,"M","50-59",248,26857,0.00923409167070038
