"sex","birth_year","patient_count"
"F",1908,1
"F",1909,10
"F",1910,8
"F",1911,18
"F",1912,25
"F",1913,38
"F",1914,46
"F",1915,71
"F",1916,78
"F",1917,103
"F",1918,169
"F",1919,209
"F",1920,261
"F",1921,452
"F",1922,525
"F",1923,714
"F",1924,865
"F",1925,992
"F",1926,1148
"F",1927,1249
"F",1928,1479
"F",1929,1627
"F",1930,1693
"F",1931,1828
"F",1932,1970
"F",1933,1797
"F",1934,1869
"F",1935,2047
"F",1936,2285
"F",1937,2538
"F",1938,2502
"F",1939,2624
"F",1940,2363
"F",1941,2803
"F",1942,2280
"F",1943,1899
"F",1944,2054
"F",1945,2045
"F",1946,2538
"F",1947,2731
"F",1948,2857
"F",1949,3094
"F",1950,2810
"F",1951,3036
"F",1952,2930
"F",1953,2919
"F",1954,3079
"F",1955,3142
"F",1956,3064
"F",1957,3049
"F",1958,3027
"F",1959,3203
"F",1960,3216
"F",1961,3221
"F",1962,3045
"F",1963,2938
"F",1964,2940
"F",1965,2812
"F",1966,2698
"F",1967,2779
"F",1968,2951
"F",1969,2978
"F",1970,3172
"F",1971,3112
"F",1972,2995
"F",1973,2938
"F",1974,2994
"F",1975,2946
"F",1976,3018
"F",1977,3017
"F",1978,2982
"F",1979,3025
"F",1980,3068
"F",1981,3078
"F",1982,3129
"F",1983,3337
"F",1984,3438
"F",1985,3342
"F",1986,3431
"F",1987,3562
"F",1988,3493
"F",1989,3520
"F",1990,3447
"F",1991,2973
"F",1992,2907
"F",1993,2513
"F",1994,2466
"F",1995,2303
"F",1996,2303
"F",1997,2139
"F",1998,1990
"F",1999,1995
"F",2000,2090
"F",2001,1935
"F",2002,2128
"F",2003,2117
"F",2004,2172
"F",2005,2250
"F",2006,2338
"F",2007,2483
"F",2008,2555
"F",2009,2639
"F",2010,2545
"F",2011,2406
"F",2012,2309
"F",2013,2328
"F",2014,2267
"F",2015,2301
"F",2016,2252
"F",2017,2141
"F",2018,2284
"F",2019,2239
"F",2020,2054
"F",2021,2092
"F",2022,1751
"F",2023,1625
"F",2024,1390
"M",1908,1
"M",1909,2
"M",1910,1
"M",1911,1
"M",1912,3
"M",1913,4
"M",1914,10
"M",1915,15
"M",1916,14
"M",1917,11
"M",1918,42
"M",1919,47
"M",1920,54
"M",1921,87
"M",1922,128
"M",1923,164
"M",1924,207
"M",1925,297
"M",1926,387
"M",1927,485
"M",1928,544
"M",1929,606
"M",1930,676
"M",1931,751
"M",1932,815
"M",1933,845
"M",1934,857
"M",1935,1042
"M",1936,1166
"M",1937,1299
"M",1938,1329
"M",1939,1403
"M",1940,1507
"M",1941,1748
"M",1942,1494
"M",1943,1308
"M",1944,1360
"M",1945,1339
"M",1946,1718
"M",1947,2000
"M",1948,2110
"M",1949,2279
"M",1950,2156
"M",1951,2266
"M",1952,2383
"M",1953,2404
"M",1954,2486
"M",1955,2573
"M",1956,2579
"M",1957,2618
"M",1958,2761
"M",1959,2793
"M",1960,2844
"M",1961,2901
"M",1962,2874
"M",1963,2800
"M",1964,2762
"M",1965,2733
"M",1966,2703
"M",1967,2678
"M",1968,2894
"M",1969,2941
"M",1970,3021
"M",1971,3243
"M",1972,3171
"M",1973,3114
"M",1974,3031
"M",1975,3216
"M",1976,3219
"M",1977,3231
"M",1978,3173
"M",1979,3238
"M",1980,3380
"M",1981,3325
"M",1982,3376
"M",1983,3630
"M",1984,3617
"M",1985,3652
"M",1986,3718
"M",1987,3947
"M",1988,3963
"M",1989,3867
"M",1990,3586
"M",1991,3295
"M",1992,3073
"M",1993,2836
"M",1994,2559
"M",1995,2417
"M",1996,2295
"M",1997,2252
"M",1998,2142
"M",1999,2096
"M",2000,2264
"M",2001,2067
"M",2002,2120
"M",2003,2107
"M",2004,2314
"M",2005,2416
"M",2006,2483
"M",2007,2641
"M",2008,2779
"M",2009,2604
"M",2010,2648
"M",2011,2545
"M",2012,2508
"M",2013,2398
"M",2014,2400
"M",2015,2465
"M",2016,2458
"M",2017,2399
"M",2018,2429
"M",2019,2377
"M",2020,2106
"M",2021,2161
"M",2022,1876
"M",2023,1714
"M",2024,1433
