"concept_id","chapter_type","chapter_id","chapter_name","chapter_level","parent_chapter_id"
702006,"atc_1st",0,"(Unmapped)",1,NA
740560,"atc_1st",0,"(Unmapped)",1,NA
793741,"atc_1st",0,"(Unmapped)",1,NA
902727,"atc_1st",0,"(Unmapped)",1,NA
945913,"atc_1st",0,"(Unmapped)",1,NA
947651,"atc_1st",0,"(Unmapped)",1,NA
963950,"atc_1st",0,"(Unmapped)",1,NA
964008,"atc_1st",0,"(Unmapped)",1,NA
967562,"atc_1st",0,"(Unmapped)",1,NA
1758562,"atc_1st",0,"(Unmapped)",1,NA
19007600,"atc_1st",0,"(Unmapped)",1,NA
19011093,"atc_1st",0,"(Unmapped)",1,NA
19016463,"atc_1st",0,"(Unmapped)",1,NA
19049059,"atc_1st",0,"(Unmapped)",1,NA
19055217,"atc_1st",0,"(Unmapped)",1,NA
19068688,"atc_1st",0,"(Unmapped)",1,NA
19082731,"atc_1st",0,"(Unmapped)",1,NA
19090809,"atc_1st",0,"(Unmapped)",1,NA
19106973,"atc_1st",0,"(Unmapped)",1,NA
19123846,"atc_1st",0,"(Unmapped)",1,NA
35602757,"atc_1st",0,"(Unmapped)",1,NA
36026931,"atc_1st",0,"(Unmapped)",1,NA
36118603,"atc_1st",0,"(Unmapped)",1,NA
36879032,"atc_1st",0,"(Unmapped)",1,NA
37497446,"atc_1st",0,"(Unmapped)",1,NA
37498615,"atc_1st",0,"(Unmapped)",1,NA
40684643,"atc_1st",0,"(Unmapped)",1,NA
40684649,"atc_1st",0,"(Unmapped)",1,NA
40798880,"atc_1st",0,"(Unmapped)",1,NA
42899116,"atc_1st",0,"(Unmapped)",1,NA
42899519,"atc_1st",0,"(Unmapped)",1,NA
42903834,"atc_1st",0,"(Unmapped)",1,NA
44506796,"atc_1st",0,"(Unmapped)",1,NA
44507865,"atc_1st",0,"(Unmapped)",1,NA
45775372,"atc_1st",0,"(Unmapped)",1,NA
45892554,"atc_1st",0,"(Unmapped)",1,NA
46275719,"atc_1st",0,"(Unmapped)",1,NA
