"concept_id","concept_name","concept_code","vocabulary_id","concept_class_id","n_patients_total","n_records_total"
1713332,"amoxicillin","723","RxNorm","Ingredient",295243,793088
1759842,"clavulanate","48203","RxNorm","Ingredient",203990,412594
1750500,"clarithromycin","21212","RxNorm","Ingredient",148226,274207
19011355,"etoricoxib","307296","RxNorm","Ingredient",130561,454169
1149196,"cetirizine","20610","RxNorm","Ingredient",130395,373672
1518254,"dexamethasone","3264","RxNorm","Ingredient",128068,360770
1124300,"diclofenac","3355","RxNorm","Ingredient",127565,507714
990069,"chloramphenicol","2348","RxNorm","Ingredient",124466,262789
905233,"mometasone","108118","RxNorm","Ingredient",120747,389417
904453,"esomeprazole","283742","RxNorm","Ingredient",109219,650147
1797513,"ciprofloxacin","2551","RxNorm","Ingredient",106980,202922
19010400,"fusidate","113608","RxNorm","Ingredient",100810,195413
923645,"omeprazole","7646","RxNorm","Ingredient",91486,728644
1201620,"codeine","2670","RxNorm","Ingredient",91373,343476
1734104,"azithromycin","18631","RxNorm","Ingredient",90802,158456
1307046,"metoprolol","6918","RxNorm","Ingredient",89326,2108884
1149380,"fluticasone","41126","RxNorm","Ingredient",85872,500659
1125315,"acetaminophen","161","RxNorm","Ingredient",83691,330193
1778162,"cefuroxime","2194","RxNorm","Ingredient",82598,133122
997881,"clindamycin","2582","RxNorm","Ingredient",80367,172642
1332418,"amlodipine","17767","RxNorm","Ingredient",76619,1750052
920458,"betamethasone","1514","RxNorm","Ingredient",72479,235419
1154332,"pseudoephedrine","8896","RxNorm","Ingredient",72112,162583
902722,"tobramycin","10627","RxNorm","Ingredient",71519,113642
948078,"pantoprazole","40790","RxNorm","Ingredient",69991,541955
1707164,"metronidazole","6922","RxNorm","Ingredient",69583,129168
1154343,"albuterol","435","RxNorm","Ingredient",67005,249961
1115008,"naproxen","7258","RxNorm","Ingredient",66806,226382
1103314,"tramadol","10689","RxNorm","Ingredient",65878,395240
975125,"hydrocortisone","5492","RxNorm","Ingredient",65115,113158
920293,"nitrofurantoin","7454","RxNorm","Ingredient",64939,147454
19044883,"zopiclone","40001","RxNorm","Ingredient",63877,752350
1738521,"doxycycline","3640","RxNorm","Ingredient",63535,104035
1150345,"meloxicam","41493","RxNorm","Ingredient",62885,217985
1769535,"cefadroxil","2177","RxNorm","Ingredient",62805,90096
1373225,"perindopril","54552","RxNorm","Ingredient",62799,1154047
1506270,"methylprednisolone","6902","RxNorm","Ingredient",60996,187994
723013,"diazepam","3322","RxNorm","Ingredient",60272,459804
529303,"diphtheria toxoid vaccine, inactivated","798304","RxNorm","Ingredient",58962,153660
529411,"tetanus toxoid vaccine, inactivated","798306","RxNorm","Ingredient",58913,153426
19003491,"isoconazole","27901","RxNorm","Ingredient",58517,133597
989878,"lidocaine","6387","RxNorm","Ingredient",57488,157002
1705674,"trimethoprim","10829","RxNorm","Ingredient",55457,93797
781039,"alprazolam","596","RxNorm","Ingredient",55239,452822
19033193,"pertussis vaccine","8080","RxNorm","Ingredient",54468,148770
1836430,"sulfamethoxazole","10180","RxNorm","Ingredient",52981,88273
1510813,"rosuvastatin","301542","RxNorm","Ingredient",52927,916686
1334456,"ramipril","35296","RxNorm","Ingredient",51741,878814
1794280,"mebendazole","6672","RxNorm","Ingredient",51273,86221
978555,"indapamide","5764","RxNorm","Ingredient",48800,865859
1545958,"atorvastatin","83367","RxNorm","Ingredient",47937,778058
19026096,"diflucortolone","3392","RxNorm","Ingredient",47742,104058
1185922,"ketoprofen","6142","RxNorm","Ingredient",47642,125282
1360332,"glucosamine","4845","RxNorm","Ingredient",47393,203350
1549786,"ethinyl estradiol","4124","RxNorm","Ingredient",47210,748484
974166,"hydrochlorothiazide","5487","RxNorm","Ingredient",47136,1078871
19056874,"dexketoprofen","237162","RxNorm","Ingredient",43745,144855
942350,"torsemide","38413","RxNorm","Ingredient",42609,371675
1317640,"telmisartan","73494","RxNorm","Ingredient",42349,995412
939259,"budesonide","19831","RxNorm","Ingredient",41329,279674
778474,"tizanidine","57258","RxNorm","Ingredient",39242,118733
797399,"gabapentin","25480","RxNorm","Ingredient",38390,207025
44012547,"Bilastine","OMOP1131483","RxNorm Extension","Ingredient",37894,102178
1314577,"nebivolol","31555","RxNorm","Ingredient",37650,529114
19055344,"fluocortolone","4463","RxNorm","Ingredient",37381,105760
19020124,"betahistine","1511","RxNorm","Ingredient",37183,197071
1503297,"metformin","6809","RxNorm","Ingredient",36448,972524
766814,"quetiapine","51272","RxNorm","Ingredient",36197,336035
1729720,"penicillin V","7984","RxNorm","Ingredient",36039,49861
1000632,"clotrimazole","2623","RxNorm","Ingredient",35671,103391
1799139,"oseltamivir","260101","RxNorm","Ingredient",33301,39429
1754994,"fluconazole","4450","RxNorm","Ingredient",33212,82778
906780,"metoclopramide","6915","RxNorm","Ingredient",32935,65521
1550557,"prednisolone","8638","RxNorm","Ingredient",32680,93222
1167322,"allopurinol","519","RxNorm","Ingredient",32074,385261
903963,"triamcinolone","10759","RxNorm","Ingredient",31355,62389
19049709,"lornoxicam","20890","RxNorm","Ingredient",30940,67230
915981,"neomycin","7299","RxNorm","Ingredient",30843,56770
1177480,"ibuprofen","5640","RxNorm","Ingredient",30507,123791
1717704,"valacyclovir","73645","RxNorm","Ingredient",29922,99256
734354,"pregabalin","187832","RxNorm","Ingredient",29769,177917
715939,"escitalopram","321988","RxNorm","Ingredient",29235,281489
40241331,"rivaroxaban","1114195","RxNorm","Ingredient",28726,306906
1308738,"vitamin B12","11248","RxNorm","Ingredient",28602,72376
19005046,"pyridoxine","684879","RxNorm","Ingredient",27526,58776
924566,"tamsulosin","77492","RxNorm","Ingredient",26354,360938
1548195,"estradiol","4083","RxNorm","Ingredient",26186,199059
19049105,"potassium chloride","8591","RxNorm","Ingredient",26133,41045
40684649,"Trimetazidine dihydrochloride","OMOP4754798","RxNorm Extension","Ingredient",25371,214352
970250,"spironolactone","9997","RxNorm","Ingredient",24572,215757
1107830,"loratadine","28889","RxNorm","Ingredient",24506,52145
998415,"clobetasol","2590","RxNorm","Ingredient",24495,92012
967823,"sodium chloride","9863","RxNorm","Ingredient",24213,33443
42899937,"polyethylene glycol 4000","1310594","RxNorm","Ingredient",23829,32499
1501700,"levothyroxine","10582","RxNorm","Ingredient",23757,664506
939506,"sodium bicarbonate","36676","RxNorm","Ingredient",23577,31991
939976,"sodium sulfate","36721","RxNorm","Ingredient",23576,31962
1196677,"formoterol","25255","RxNorm","Ingredient",22134,274773
1589505,"levonorgestrel","6373","RxNorm","Ingredient",22068,42126
1341927,"enalapril","3827","RxNorm","Ingredient",21537,476622
710062,"amitriptyline","704","RxNorm","Ingredient",21129,127784
1512674,"drospirenone","11636","RxNorm","Ingredient",20856,289167
19137312,"thiamine","10454","RxNorm","Ingredient",20565,42366
744740,"zolpidem","39993","RxNorm","Ingredient",20538,196247
19097405,"fusafungin","25437","RxNorm","Ingredient",20352,25425
40226742,"olmesartan","321064","RxNorm","Ingredient",20015,376355
1103006,"desloratadine","275635","RxNorm","Ingredient",19787,53584
739138,"sertraline","36437","RxNorm","Ingredient",19774,181135
915935,"pimecrolimus","321952","RxNorm","Ingredient",19669,43002
964407,"salicylic acid","9525","RxNorm","Ingredient",19557,66239
725131,"mirtazapine","15996","RxNorm","Ingredient",19336,136725
19030353,"bromazepam","1749","RxNorm","Ingredient",19248,148838
1326901,"papaverine","7895","RxNorm","Ingredient",19162,59385
42903441,"influenza A virus","1312375","RxNorm","Ingredient",18474,40068
42903442,"influenza B virus","1312376","RxNorm","Ingredient",18474,40068
1118084,"celecoxib","140587","RxNorm","Ingredient",18457,48021
907879,"miconazole","6932","RxNorm","Ingredient",18288,25534
19008994,"mebeverine","29410","RxNorm","Ingredient",18260,63179
43009009,"sultamicillin","OMOP4700435","RxNorm Extension","Ingredient",18112,25046
1741309,"terbinafine","37801","RxNorm","Ingredient",18069,57573
966956,"silver sulfadiazine","9793","RxNorm","Ingredient",18061,35111
902427,"timolol","10600","RxNorm","Ingredient",18030,427540
918172,"benzoyl peroxide","1418","RxNorm","Ingredient",17744,49220
19097481,"cinnarizine","2549","RxNorm","Ingredient",17743,91960
956874,"furosemide","4603","RxNorm","Ingredient",17620,91945
1738366,"cefprozil","19552","RxNorm","Ingredient",17342,23581
1721543,"norfloxacin","7517","RxNorm","Ingredient",17285,27905
940864,"econazole","3743","RxNorm","Ingredient",17274,30883
1154161,"montelukast","88249","RxNorm","Ingredient",17013,86833
19032619,"amorolfine","17804","RxNorm","Ingredient",15935,35168
948582,"polymyxin B","8536","RxNorm","Ingredient",15913,33227
42899116,"human papillomavirus","1311095","RxNorm","Ingredient",15864,21772
19097684,"gestodene","25734","RxNorm","Ingredient",15839,156932
1303425,"tranexamic acid","10691","RxNorm","Ingredient",15313,27972
986790,"azelate","618278","RxNorm","Ingredient",15173,40239
1588000,"desogestrel","22656","RxNorm","Ingredient",15157,94946
43013024,"apixaban","1364430","RxNorm","Ingredient",15018,254818
919204,"amylase","743","RxNorm","Ingredient",14628,73667
931973,"protease","8031","RxNorm","Ingredient",14628,73667
990760,"lipase","6406","RxNorm","Ingredient",14628,73667
19040060,"dydrogesterone","3706","RxNorm","Ingredient",14251,52424
19041910,"tianeptine","38252","RxNorm","Ingredient",14070,88727
1163944,"guaifenesin","5032","RxNorm","Ingredient",13694,20961
915175,"bacitracin","1291","RxNorm","Ingredient",13405,18607
1344143,"albumin human, USP","828529","RxNorm","Ingredient",13395,43853
19095164,"cholecalciferol","2418","RxNorm","Ingredient",13330,163698
19029393,"aceclofenac","16689","RxNorm","Ingredient",13241,37136
1113648,"nabumetone","31448","RxNorm","Ingredient",13195,27385
19111620,"folic acid","4511","RxNorm","Ingredient",12779,49724
1322184,"clopidogrel","32968","RxNorm","Ingredient",12752,115454
793143,"semaglutide","1991302","RxNorm","Ingredient",12676,139822
755695,"fluoxetine","4493","RxNorm","Ingredient",12472,111361
1539403,"simvastatin","36567","RxNorm","Ingredient",12293,256957
1331247,"pentoxifylline","8013","RxNorm","Ingredient",12245,82966
1316262,"sildenafil","136411","RxNorm","Ingredient",12014,115016
954688,"latanoprost","43611","RxNorm","Ingredient",11988,234192
19020061,"nitrendipine","7441","RxNorm","Ingredient",11742,150620
1383815,"isosorbide","6057","RxNorm","Ingredient",11701,149886
903643,"tretinoin","10753","RxNorm","Ingredient",11669,22545
1318853,"nifedipine","7417","RxNorm","Ingredient",11227,48008
19018541,"benphothiamine","18891","RxNorm","Ingredient",11133,20962
1326303,"digoxin","3407","RxNorm","Ingredient",11043,155549
1310149,"warfarin","11289","RxNorm","Ingredient",11028,185726
1338005,"bisoprolol","19484","RxNorm","Ingredient",10772,145101
715259,"duloxetine","72625","RxNorm","Ingredient",10678,121554
934075,"azelastine","18603","RxNorm","Ingredient",10594,26194
19016063,"dequalinium","3226","RxNorm","Ingredient",10459,13896
1124957,"oxycodone","7804","RxNorm","Ingredient",10416,59760
19011021,"moxonidine","30257","RxNorm","Ingredient",10394,74806
1140643,"sumatriptan","37418","RxNorm","Ingredient",10354,121869
961047,"ranitidine","9143","RxNorm","Ingredient",10246,59085
45774751,"empagliflozin","1545653","RxNorm","Ingredient",10210,129097
19015802,"lercanidipine","135056","RxNorm","Ingredient",10151,115061
740275,"carbamazepine","2002","RxNorm","Ingredient",10135,114339
1351557,"candesartan","214354","RxNorm","Ingredient",10024,212650
930021,"alfuzosin","17300","RxNorm","Ingredient",9963,60647
743670,"venlafaxine","39786","RxNorm","Ingredient",9926,143255
1703687,"acyclovir","281","RxNorm","Ingredient",9411,25404
43532539,"vilanterol","1424884","RxNorm","Ingredient",9402,108688
1301025,"enoxaparin","67108","RxNorm","Ingredient",9273,26096
1363749,"fosinopril","50166","RxNorm","Ingredient",9235,225655
1519936,"etonogestrel","14584","RxNorm","Ingredient",9121,93677
1526475,"ezetimibe","341248","RxNorm","Ingredient",9109,85494
19017742,"febuxostat","73689","RxNorm","Ingredient",9033,73710
981709,"dorzolamide","60207","RxNorm","Ingredient",8992,155503
19059796,"gliclazide","4816","RxNorm","Ingredient",8801,203705
1137529,"salmeterol","36117","RxNorm","Ingredient",8667,125485
1716903,"moxifloxacin","139462","RxNorm","Ingredient",8316,11028
19054876,"dienogest","22968","RxNorm","Ingredient",8304,98952
1308842,"valsartan","69749","RxNorm","Ingredient",8250,173177
1353766,"propranolol","8787","RxNorm","Ingredient",8211,57080
981774,"adapalene","60223","RxNorm","Ingredient",8206,19069
1353256,"propafenone","8754","RxNorm","Ingredient",8141,136962
19014035,"nafronyl","7236","RxNorm","Ingredient",8135,73602
19092433,"ebastine","23796","RxNorm","Ingredient",8095,25930
1115572,"beclomethasone","1347","RxNorm","Ingredient",7974,59753
1746940,"erythromycin","4053","RxNorm","Ingredient",7889,12978
1367500,"losartan","52175","RxNorm","Ingredient",7871,168044
985708,"ketoconazole","6135","RxNorm","Ingredient",7841,12835
908921,"calcipotriene","29365","RxNorm","Ingredient",7793,53703
1112921,"ipratropium","7213","RxNorm","Ingredient",7779,55096
36878783,"Agomelatine","OMOP997499","RxNorm Extension","Ingredient",7723,43129
989482,"dutasteride","228790","RxNorm","Ingredient",7591,124740
750982,"bupropion","42347","RxNorm","Ingredient",7550,57861
766529,"haloperidol","5093","RxNorm","Ingredient",7542,50712
1703653,"itraconazole","28031","RxNorm","Ingredient",7461,18437
1136422,"levocetirizine","356887","RxNorm","Ingredient",7370,22536
918906,"oxybutynin","32675","RxNorm","Ingredient",7244,48582
1309944,"amiodarone","703","RxNorm","Ingredient",7231,69830
915855,"olopatadine","135391","RxNorm","Ingredient",7015,15772
1557272,"alendronate","46041","RxNorm","Ingredient",6928,110788
938044,"brinzolamide","194881","RxNorm","Ingredient",6910,138810
44785829,"dapagliflozin","1488564","RxNorm","Ingredient",6898,77461
45775372,"dabigatran","1546356","RxNorm","Ingredient",6808,81893
722031,"paroxetine","32937","RxNorm","Ingredient",6807,79607
1343916,"epinephrine","3992","RxNorm","Ingredient",6761,14895
19046654,"piracetam","8351","RxNorm","Ingredient",6688,24906
798874,"clonazepam","2598","RxNorm","Ingredient",6570,94105
19018544,"calcium","1895","RxNorm","Ingredient",6528,54048
1305058,"methotrexate","6851","RxNorm","Ingredient",6507,51421
1237049,"theophylline","10438","RxNorm","Ingredient",6473,38287
791967,"lorazepam","6470","RxNorm","Ingredient",6415,33760
40684643,"Melperone hydrochloride","OMOP4754820","RxNorm Extension","Ingredient",6299,41927
1518198,"norelgestromin","326374","RxNorm","Ingredient",6243,66394
1307863,"verapamil","11170","RxNorm","Ingredient",6200,90329
40239216,"linagliptin","1100699","RxNorm","Ingredient",6189,105563
1336926,"tadalafil","358263","RxNorm","Ingredient",6119,38096
1000772,"granisetron","26237","RxNorm","Ingredient",6115,14965
705944,"methylphenidate","6901","RxNorm","Ingredient",6083,70386
1597756,"glimepiride","25789","RxNorm","Ingredient",6050,143611
735979,"risperidone","35636","RxNorm","Ingredient",5855,50921
19004539,"lacidipine","28382","RxNorm","Ingredient",5711,116650
1360067,"iron","90176","RxNorm","Ingredient",5632,12492
909795,"nepafenac","298665","RxNorm","Ingredient",5595,11813
1146810,"piroxicam","8356","RxNorm","Ingredient",5593,11287
984232,"isotretinoin","6064","RxNorm","Ingredient",5505,30490
35198096,"insulin aspart","OMOP4819461","RxNorm Extension","Ingredient",5381,137358
1502905,"insulin glargine","274783","RxNorm","Ingredient",5349,119786
797617,"citalopram","2556","RxNorm","Ingredient",5319,57536
19018403,"racecadotril","16738","RxNorm","Ingredient",5285,6732
1552310,"progesterone","8727","RxNorm","Ingredient",5271,33561
1304850,"filgrastim","68442","RxNorm","Ingredient",5263,28481
44507700,"vortioxetine","1455099","RxNorm","Ingredient",5179,42462
36879144,"Rupatadine","OMOP994954","RxNorm Extension","Ingredient",5169,10953
923840,"dibucaine","3339","RxNorm","Ingredient",5113,9066
1742253,"levofloxacin","82122","RxNorm","Ingredient",4926,8119
40241186,"ticagrelor","1116632","RxNorm","Ingredient",4847,39220
785788,"olanzapine","61381","RxNorm","Ingredient",4835,70120
19053979,"fenoterol","4333","RxNorm","Ingredient",4807,35845
1383925,"isosorbide dinitrate","6058","RxNorm","Ingredient",4754,33302
991825,"trospium","236778","RxNorm","Ingredient",4601,18265
1396131,"ferrous sulfate","24947","RxNorm","Ingredient",4518,6730
19049038,"estriol","4094","RxNorm","Ingredient",4501,11125
1363053,"doxazosin","49276","RxNorm","Ingredient",4458,53456
904501,"travoprost","283809","RxNorm","Ingredient",4432,82663
1504620,"methimazole","6835","RxNorm","Ingredient",4338,32755
42873636,"mirabegron","1300786","RxNorm","Ingredient",4338,19925
42709325,"tafluprost","1244607","RxNorm","Ingredient",4203,67164
1106776,"tiotropium","69120","RxNorm","Ingredient",4153,66155
1580747,"sitagliptin","593411","RxNorm","Ingredient",4108,107905
745466,"valproate","40254","RxNorm","Ingredient",4085,89524
1521369,"norethindrone","7514","RxNorm","Ingredient",4056,55005
1777087,"hydroxychloroquine","5521","RxNorm","Ingredient",4008,49980
981691,"imiquimod","59943","RxNorm","Ingredient",3972,7095
1516976,"insulin detemir","139825","RxNorm","Ingredient",3886,73323
1563600,"chorionic gonadotropin","4986","RxNorm","Ingredient",3872,12135
45892847,"edoxaban","1599538","RxNorm","Ingredient",3785,32347
1343039,"triptorelin","38782","RxNorm","Ingredient",3735,15194
1353776,"felodipine","4316","RxNorm","Ingredient",3732,83564
913782,"tolterodine","119565","RxNorm","Ingredient",3704,16612
45775584,"picosulfurate","1546458","RxNorm","Ingredient",3652,4332
950435,"citric acid","21183","RxNorm","Ingredient",3644,4323
993631,"magnesium oxide","6582","RxNorm","Ingredient",3644,4323
988095,"ursodeoxycholate","62427","RxNorm","Ingredient",3542,22468
1386670,"thioctate","618060","RxNorm","Ingredient",3489,17792
19055982,"flupenthixol","4495","RxNorm","Ingredient",3459,22806
1542948,"follitropin alfa","386938","RxNorm","Ingredient",3388,18556
1792429,"proguanil","2382","RxNorm","Ingredient",3384,4176
1110410,"morphine","7052","RxNorm","Ingredient",3364,17068
535714,"Rho(D) immune globulin","35465","RxNorm","Ingredient",3333,4717
1370109,"sotalol","9947","RxNorm","Ingredient",3316,54926
950637,"tacrolimus","42316","RxNorm","Ingredient",3293,16422
929435,"acetazolamide","167","RxNorm","Ingredient",3278,8908
44814322,"hepatitis A virus","1491862","RxNorm","Ingredient",3219,4817
1308216,"lisinopril","29046","RxNorm","Ingredient",3192,56225
904525,"bimatoprost","283810","RxNorm","Ingredient",3182,50757
705103,"lamotrigine","28439","RxNorm","Ingredient",3171,61789
1178663,"indomethacin","5781","RxNorm","Ingredient",3132,7147
1500211,"medroxyprogesterone","6691","RxNorm","Ingredient",3082,12912
1189458,"frovatriptan","228783","RxNorm","Ingredient",3076,23199
964339,"sulfasalazine","9524","RxNorm","Ingredient",3054,35934
1315946,"letrozole","72965","RxNorm","Ingredient",3024,32629
19020021,"nitrazepam","7440","RxNorm","Ingredient",2953,15075
44785907,"umeclidinium","1487514","RxNorm","Ingredient",2930,30146
1189596,"dihydrocodeine","23088","RxNorm","Ingredient",2928,12567
923081,"ofloxacin","7623","RxNorm","Ingredient",2911,4041
956653,"fosfomycin","4550","RxNorm","Ingredient",2896,3897
1781733,"atovaquone","60212","RxNorm","Ingredient",2831,3461
789578,"levodopa","6375","RxNorm","Ingredient",2809,73639
1386957,"labetalol","6185","RxNorm","Ingredient",2734,11502
19045045,"ergocalciferol","4018","RxNorm","Ingredient",2722,6247
703547,"trazodone","10737","RxNorm","Ingredient",2689,11929
45775571,"glycopyrronium","1546438","RxNorm","Ingredient",2684,36310
1139179,"bromfenac","19737","RxNorm","Ingredient",2634,4063
19016463,"benserazide","1374","RxNorm","Ingredient",2582,57141
42800040,"avanafil","1291301","RxNorm","Ingredient",2576,8374
19052903,"promazine","8742","RxNorm","Ingredient",2514,21407
721724,"nortriptyline","7531","RxNorm","Ingredient",2468,17932
19056694,"framycetin","4556","RxNorm","Ingredient",2461,4161
42903834,"esculin","1314351","RxNorm","Ingredient",2461,4161
715997,"donepezil","135447","RxNorm","Ingredient",2455,31279
1836948,"tetracycline","10395","RxNorm","Ingredient",2441,3508
939881,"capsaicin","1992","RxNorm","Ingredient",2409,3413
1344381,"bicalutamide","83008","RxNorm","Ingredient",2381,18995
1784444,"ivermectin","6069","RxNorm","Ingredient",2376,4611
1346823,"carvedilol","20352","RxNorm","Ingredient",2364,37575
705178,"trihexyphenidyl","10811","RxNorm","Ingredient",2356,39293
915542,"brimonidine","134615","RxNorm","Ingredient",2353,25118
910232,"cyclopentolate","3001","RxNorm","Ingredient",2323,3447
1436678,"tamoxifen","10324","RxNorm","Ingredient",2300,20822
1322081,"betaxolol","1520","RxNorm","Ingredient",2280,31667
35602717,"insulin degludec","1670007","RxNorm","Ingredient",2274,34628
928744,"dimenhydrinate","3444","RxNorm","Ingredient",2243,5229
967562,"loteprednol etabonate","52177","RxNorm","Ingredient",2227,3277
720810,"pramipexole","746741","RxNorm","Ingredient",2191,30210
19106973,"omega-3 fatty acids","4301","RxNorm","Ingredient",2164,9812
735850,"disulfiram","3554","RxNorm","Ingredient",2161,6125
702006,"technetium","2571856","RxNorm","Ingredient",2144,2381
19069137,"bemiparin","280611","RxNorm","Ingredient",2118,6336
19064698,"flupirtine","25193","RxNorm","Ingredient",2071,3830
19010792,"cyproterone","3014","RxNorm","Ingredient",2054,18190
1154029,"fentanyl","4337","RxNorm","Ingredient",2048,10699
19026733,"chlormadinone","78904","RxNorm","Ingredient",2044,13279
42873639,"aclidinium","1303098","RxNorm","Ingredient",2029,21732
742267,"topiramate","38404","RxNorm","Ingredient",2027,22721
19095002,"chlorprothixene","2406","RxNorm","Ingredient",1994,24166
1598819,"clomiphene","2596","RxNorm","Ingredient",1961,4027
19035569,"calcifediol","1889","RxNorm","Ingredient",1925,2529
757688,"aripiprazole","89013","RxNorm","Ingredient",1923,22568
1554072,"propylthiouracil","8794","RxNorm","Ingredient",1889,12400
1116031,"zolmitriptan","135775","RxNorm","Ingredient",1875,18194
1551803,"fenofibrate","8703","RxNorm","Ingredient",1838,18683
1780601,"iodine","5933","RxNorm","Ingredient",1831,2457
1314002,"atenolol","1202","RxNorm","Ingredient",1813,34359
1503983,"cetrorelix","68147","RxNorm","Ingredient",1780,5627
1342439,"trandolapril","38454","RxNorm","Ingredient",1767,29578
19122137,"vildagliptin","596554","RxNorm","Ingredient",1739,36107
730548,"bromocriptine","1760","RxNorm","Ingredient",1716,6602
43012272,"ethyl ether","1363043","RxNorm","Ingredient",1716,3557
36879032,"Pneumococcal Purified Capsular Polysaccharides","OMOP988562","RxNorm Extension","Ingredient",1702,2485
701322,"memantine","6719","RxNorm","Ingredient",1698,21880
968426,"mesalamine","52582","RxNorm","Ingredient",1689,31261
708298,"midazolam","6960","RxNorm","Ingredient",1633,9653
916005,"solifenacin","322167","RxNorm","Ingredient",1621,6615
1361711,"nitroglycerin","4917","RxNorm","Ingredient",1618,3007
40240664,"indacaterol","1114326","RxNorm","Ingredient",1616,19635
1536743,"ganirelix","35825","RxNorm","Ingredient",1605,5473
46234437,"ivabradine","1649480","RxNorm","Ingredient",1590,13987
718122,"oxcarbazepine","32624","RxNorm","Ingredient",1576,30625
1748921,"ritonavir","85762","RxNorm","Ingredient",1522,2436
945913,"pine tar","8333","RxNorm","Ingredient",1521,2282
1301152,"melatonin","6711","RxNorm","Ingredient",1513,2816
947651,"podophyllin","8462","RxNorm","Ingredient",1480,1911
40222444,"denosumab","993449","RxNorm","Ingredient",1479,8573
37499271,"remdesivir","2284718","RxNorm","Ingredient",1466,3581
19008867,"cromoglycate","2921","RxNorm","Ingredient",1430,2574
1777806,"ceftriaxone","2193","RxNorm","Ingredient",1398,3221
1717327,"ampicillin","733","RxNorm","Ingredient",1395,1723
1790812,"chlorhexidine","2358","RxNorm","Ingredient",1387,3114
1714319,"naltrexone","7243","RxNorm","Ingredient",1383,3757
1550023,"insulin lispro","86009","RxNorm","Ingredient",1373,38164
19037833,"domperidone","3626","RxNorm","Ingredient",1334,3109
1512480,"ibandronate","115264","RxNorm","Ingredient",1331,14914
800878,"clozapine","2626","RxNorm","Ingredient",1329,34739
729855,"botulinum toxin type A","1712","RxNorm","Ingredient",1317,10454
40170911,"liraglutide","475968","RxNorm","Ingredient",1272,32147
742185,"atomoxetine","38400","RxNorm","Ingredient",1267,7451
1337620,"capecitabine","194000","RxNorm","Ingredient",1243,7173
1101898,"leflunomide","27169","RxNorm","Ingredient",1239,20097
45775116,"olodaterol","1546059","RxNorm","Ingredient",1225,15869
711584,"levetiracetam","114477","RxNorm","Ingredient",1214,27307
45775570,"polystyrene sulfonate","1546437","RxNorm","Ingredient",1211,7230
1348265,"anastrozole","84857","RxNorm","Ingredient",1201,20172
19014878,"azathioprine","1256","RxNorm","Ingredient",1176,15906
19123846,"gamma-aminobutyrate","618771","RxNorm","Ingredient",1166,3904
528323,"hepatitis B surface antigen vaccine","797752","RxNorm","Ingredient",1163,2303
793843,"glecaprevir","1940635","RxNorm","Ingredient",1143,1746
793844,"pibrentasvir","1940636","RxNorm","Ingredient",1143,1746
19136626,"sulpiride","10239","RxNorm","Ingredient",1139,11851
715710,"rasagiline","134748","RxNorm","Ingredient",1130,22920
40228152,"dabigatran etexilate","1037042","RxNorm","Ingredient",1119,4966
780442,"varenicline","591622","RxNorm","Ingredient",1118,2991
1304643,"darbepoetin alfa","283838","RxNorm","Ingredient",1064,10997
724816,"oxazepam","7781","RxNorm","Ingredient",1061,4997
19010482,"cyclosporine","3008","RxNorm","Ingredient",1049,17827
929549,"acetic acid","168","RxNorm","Ingredient",1035,1479
43009086,"erythropoietin","OMOP4700512","RxNorm Extension","Ingredient",1034,4707
40684608,"Dapoxetine","OMOP4754833","RxNorm Extension","Ingredient",1015,2486
950098,"ciclopirox","21090","RxNorm","Ingredient",980,2094
19012925,"silodosin","720825","RxNorm","Ingredient",976,4892
1114220,"naloxone","7242","RxNorm","Ingredient",974,2436
702530,"nirmatrelvir","2587892","RxNorm","Ingredient",948,970
1543112,"lutropin alfa","388084","RxNorm","Ingredient",927,3863
523212,"rubella virus vaccine live (Wistar RA 27-3 strain)","762817","RxNorm","Ingredient",907,997
529713,"mumps virus vaccine live, Jeryl Lynn strain","798372","RxNorm","Ingredient",907,997
532272,"measles virus vaccine live, Enders' attenuated Edmonston strain","804179","RxNorm","Ingredient",907,997
1549686,"fluvastatin","41127","RxNorm","Ingredient",895,16369
1703069,"emtricitabine","276237","RxNorm","Ingredient",895,2825
1517070,"desmopressin","3251","RxNorm","Ingredient",894,7662
19014158,"nalmefene","31479","RxNorm","Ingredient",886,1500
40166035,"saxagliptin","857974","RxNorm","Ingredient",865,16400
19035631,"calcitriol","1894","RxNorm","Ingredient",858,13913
951279,"prilocaine","8686","RxNorm","Ingredient",842,1791
45892419,"gentamicin","1596450","RxNorm","Ingredient",807,1075
996416,"finasteride","25025","RxNorm","Ingredient",788,8466
1119119,"adalimumab","327361","RxNorm","Ingredient",779,11271
