"concept_id","n_patients","n_records"
19136207,106,138
1354698,103,106
19036781,87,115
1750087,75,75
1560524,65,88
19029488,61,175
19018164,59,60
922570,57,73
991855,53,55
1304565,53,72
986117,49,176
19020068,49,52
19020477,49,52
1395557,47,47
19042545,47,47
19095309,46,91
1711759,45,431
1753745,40,218
44785885,40,451
732893,38,72
35602981,37,38
19063981,36,45
19068688,36,150
991382,35,258
19012346,35,550
19043154,35,36
904351,33,36
1105775,32,105
1367571,32,34
1708748,32,51
1771162,32,36
19093848,32,43
1510467,31,210
19066992,31,31
509079,30,30
509081,30,30
42903460,30,117
1319133,29,42
1321636,29,484
1524674,29,92
1593700,29,302
1735947,29,45
987245,28,30
1776684,28,43
1333357,27,103
945286,26,39
1352141,26,50
40244266,26,252
1358436,25,319
1505346,25,73
1517740,25,101
19011440,25,420
1394023,23,604
19040624,23,24
42904205,23,209
514012,22,22
514015,22,22
523365,22,23
523367,22,23
1102527,22,88
36879187,22,23
40241969,22,149
837027,21,277
19030493,21,21
756018,20,133
902727,20,69
1397141,20,89
36118603,20,38
740121,19,187
19031397,19,58
836877,18,97
929887,17,78
1510627,17,115
19136187,17,18
42873638,17,279
701982,16,41
777221,16,41
970011,16,16
977968,16,16
1337068,16,256
1346686,16,239
19014215,16,16
978236,15,26
1125443,15,420
19080982,15,54
717136,14,40
963950,14,111
988294,14,14
1361291,14,110
1369939,14,21
1724700,14,21
1774470,14,15
19113026,14,14
37497446,14,111
42709323,14,192
914335,13,25
1389464,13,17
1514412,13,45
19007600,13,28
19028050,13,239
19092845,13,114
1129625,12,17
1344354,12,13
1349025,12,33
19001599,12,12
19078187,12,13
44506752,12,375
936748,11,53
943852,11,12
953076,11,23
996541,11,21
1315865,11,18
19018384,11,45
19036946,11,11
19066894,11,12
901845,10,125
979096,10,233
1312706,10,79
1522957,10,152
19051926,10,10
19056611,10,10
19115055,10,66
1135766,9,15
1381253,9,119
1594003,9,98
19077884,9,10
19092849,9,10
793042,8,120
19018322,8,168
37002532,8,168
40239330,8,12
42899519,8,14
44506796,8,8
746356,7,35
778268,7,114
787787,7,9
793741,7,7
1350489,7,36
1391889,7,7
1553610,7,134
19053565,7,50
19055183,7,82
35606695,7,34
40239995,7,185
588017,6,14
1145467,6,17
1309068,6,16
1344992,6,104
1508439,6,6
1517824,6,18
1594187,6,126
1836241,6,6
19003296,6,77
19007737,6,20
35604657,6,138
35604848,6,94
44507580,6,29
45775636,6,9
1327256,5,65
1351935,5,58
1710612,5,6
19055217,5,5
19082731,5,5
19087394,5,35
19090809,5,5
35200286,5,87
35606214,5,22
35606631,5,27
42898933,5,15
43012417,5,145
