"concept_id","relationship","target_concept_id","target_concept_name"
506795,"method",4128335,"Surgical reduction"
506795,"procedure_site",4298444,"Breast structure"
604177,"method",4043866,"Inspection - action"
604177,"procedure_site",4156081,"Respiratory tract structure"
604986,"method",4044190,"Injection - action"
606227,"method",4044525,"Excision - action"
606227,"method",4045073,"Reconstruction - action"
606227,"procedure_site",4193513,"Chest wall structure"
606317,"method",4117981,"Repair - action"
606317,"procedure_site",4237077,"Bone structure of face"
618912,"method",4045056,"Aspiration - action"
618912,"method",4044523,"Puncture - action"
618912,"procedure_site",4169744,"Knee joint structure"
619308,"method",4044700,"Administration - action"
619762,"method",40293773,"Implantation - action"
760720,"method",4044525,"Excision - action"
760720,"procedure_site",43531051,"Structure of pelvic segment of trunk"
761010,"method",4045069,"Fixation - action"
761010,"method",4140159,"Open reduction - action"
761010,"procedure_site",4142814,"Bone structure of ankle joint region"
761970,"method",4044525,"Excision - action"
761970,"procedure_site",4126957,"Structure of articular cartilage of knee joint"
762993,"method",4044700,"Administration - action"
763457,"method",4044698,"Counseling - action"
764181,"method",4232817,"Discussion - action"
1072956,"method",4194015,"Plain X-ray imaging - action"
1072956,"procedure_site",620053,"Vertebral column region"
1072986,"method",4194015,"Plain X-ray imaging - action"
1072986,"procedure_site",4075101,"Dentition"
1073191,"method",4044545,"Destruction - action"
1073191,"procedure_site",4304791,"Perineal structure"
1073322,"method",4045072,"Construction - action"
1073322,"method",4043851,"Exteriorization - action"
1073322,"procedure_site",4214793,"Neck and chest"
1073322,"procedure_site",4195956,"Tracheal structure"
1073730,"method",4193195,"Computed tomography imaging - action"
1075179,"method",4194015,"Plain X-ray imaging - action"
1075179,"procedure_site",4095277,"Structure of musculoskeletal system"
1076419,"method",4207319,"Fluoroscopic imaging - action"
1076419,"procedure_site",4176046,"Entire spinal canal"
1076419,"procedure_site",4185891,"Entire vertebral column"
1242725,"method",4044700,"Administration - action"
1242753,"method",4236072,"Attention - action"
1242824,"method",4117981,"Repair - action"
1242824,"method",40293775,"Surgical implantation - action"
1242824,"procedure_site",4111908,"Entire knee joint"
1242869,"method",4117981,"Repair - action"
1242869,"method",40293775,"Surgical implantation - action"
1242869,"procedure_site",4214466,"Joint structure"
1242906,"method",4235038,"Interposition - action"
1242906,"method",4117981,"Repair - action"
1242906,"procedure_site",4186923,"Metatarsophalangeal joint structure"
1243263,"method",4117981,"Repair - action"
1243263,"method",40293775,"Surgical implantation - action"
1243263,"procedure_site",4214466,"Joint structure"
1243618,"method",4106470,"Insertion - action"
1243851,"method",4044207,"Transplantation - action"
1244366,"method",4180762,"Therapeutic diathermy - action"
1244464,"method",4044525,"Excision - action"
1244464,"procedure_site",4021236,"Female perineal structure"
1244506,"method",4044526,"Amputation - action"
1244506,"method",4044525,"Excision - action"
1244506,"procedure_site",4110219,"Entire cervix uteri"
1244506,"procedure_site",4163989,"Structure of parametrium"
1244506,"procedure_site",4103710,"Structure of upper third of vagina"
1245449,"method",4044525,"Excision - action"
1245449,"method",4044182,"Incision - action"
1245449,"method",4043866,"Inspection - action"
1245449,"procedure_site",37303867,"Abdomen"
1245449,"procedure_site",4244412,"Anterior abdominal wall structure"
1245449,"procedure_site",4244588,"Sigmoid colon structure"
1245979,"method",4044524,"Removal - action"
1447411,"method",4043859,"Grafting - action"
1447411,"procedure_site",4107527,"Lower leg structure"
1447443,"method",4257977,"Dilation repair - action"
1447443,"method",4207319,"Fluoroscopic imaging - action"
1447443,"method",4312272,"Surgical insertion - action"
1447443,"procedure_site",4049896,"Aortic structure"
1447474,"method",4045073,"Reconstruction - action"
1447474,"procedure_site",4298444,"Breast structure"
1447651,"method",4043859,"Grafting - action"
1447651,"method",4117981,"Repair - action"
1447651,"procedure_site",4045430,"Tendon structure"
1447834,"method",4207319,"Fluoroscopic imaging - action"
1447834,"method",4044182,"Incision - action"
1447834,"method",4043866,"Inspection - action"
1447834,"procedure_site",37303867,"Abdomen"
1447834,"procedure_site",4244412,"Anterior abdominal wall structure"
1447834,"procedure_site",4154158,"Bile duct structure"
1447837,"method",4207319,"Fluoroscopic imaging - action"
1447837,"procedure_site",4154158,"Bile duct structure"
1450216,"method",4121742,"Fine needle aspiration biopsy - action"
1450216,"method",4043866,"Inspection - action"
1450216,"method",4081836,"Ultrasound imaging - action"
3655005,"method",4044700,"Administration - action"
3655086,"method",4044182,"Incision - action"
3655086,"procedure_site",4332153,"Stapes structure"
3655761,"method",4232650,"Bypass - action"
3655761,"method",4043859,"Grafting - action"
3655761,"procedure_site",4219982,"Coronary artery structure"
3655761,"procedure_site",4164917,"Structure of radial artery"
3657454,"method",4044186,"Surgical removal - action"
3657454,"procedure_site",4035784,"Structure of serous membrane of peritoneum"
4000518,"method",4043842,"Biopsy - action"
4000518,"procedure_site",4216544,"Mediastinal structure"
4000733,"method",4232650,"Bypass - action"
4000733,"procedure_site",4219982,"Coronary artery structure"
4000738,"method",4044525,"Excision - action"
4000738,"procedure_site",4042529,"Trunk structure"
4000739,"method",4117981,"Repair - action"
4000882,"method",4044525,"Excision - action"
4000882,"procedure_site",4213162,"Lung structure"
4001023,"method",4045073,"Reconstruction - action"
4001023,"procedure_site",4071678,"Tongue structure"
4001054,"method",4043842,"Biopsy - action"
4001054,"procedure_site",4149192,"Uterine structure"
4001543,"method",4043866,"Inspection - action"
4001543,"procedure_site",4151444,"Fallopian tube structure"
4001554,"method",4044190,"Injection - action"
4002057,"method",4117981,"Repair - action"
4002057,"procedure_site",4023060,"Skin structure of extremity"
4002066,"method",4044190,"Injection - action"
4002218,"method",4045073,"Reconstruction - action"
4002218,"procedure_site",4337115,"Ureteric structure"
4002243,"method",4045049,"Surgical action"
4002377,"method",4044190,"Injection - action"
4002541,"method",4107452,"Transposition - action"
4002541,"procedure_site",4170047,"Structure of integumentary system"
4002547,"method",4117981,"Repair - action"
4002547,"procedure_site",4313445,"Skin structure of trunk"
4003219,"method",4044190,"Injection - action"
4003224,"method",4044525,"Excision - action"
4003224,"procedure_site",4238088,"Testis structure"
4003384,"method",4045073,"Reconstruction - action"
4003384,"procedure_site",4193513,"Chest wall structure"
4003519,"method",4044182,"Incision - action"
4003519,"procedure_site",4338971,"Soft tissue"
4003875,"method",4044525,"Excision - action"
4003875,"procedure_site",4184153,"Adenoidal structure"
4003896,"method",4044525,"Excision - action"
4003896,"procedure_site",4325271,"Cervix uteri structure"
4003899,"method",4044539,"Closure - action"
4003899,"procedure_site",4151444,"Fallopian tube structure"
4004241,"method",4043842,"Biopsy - action"
4004241,"method",4043866,"Inspection - action"
4004241,"procedure_site",4288283,"Stomach structure"
4004519,"method",4045049,"Surgical action"
4005223,"method",4044520,"Discission - action"
4005223,"method",4045049,"Surgical action"
4005223,"procedure_site",4297600,"Structure of lens capsule"
4006288,"method",4044528,"Enucleation - action"
4006288,"procedure_site",1242894,"Entire eye proper"
4006849,"method",4043842,"Biopsy - action"
4006849,"procedure_site",4296022,"Vaginal structure"
4007438,"method",4106470,"Insertion - action"
4008569,"method",4044525,"Excision - action"
4008569,"procedure_site",4163014,"Parotid gland part"
4010018,"method",4045069,"Fixation - action"
4010018,"procedure_site",4144541,"Rectum structure"
4010247,"method",4045049,"Surgical action"
4010253,"method",4043866,"Inspection - action"
4010253,"procedure_site",4051578,"Nasal sinus structure"
4010266,"method",4044525,"Excision - action"
