"concept_id","chapter_type","chapter_id","chapter_name","chapter_level","parent_chapter_id"
4341896,"by_method",4341896,"Attention to drainage of urinary bladder",1,NA
1242753,"by_method",1242753,"Attention to stoma",1,NA
4017330,"by_method",1242753,"Attention to stoma",1,NA
4125153,"by_method",1242753,"Attention to stoma",1,NA
4336916,"by_method",1242753,"Attention to stoma",1,NA
42872876,"by_method",1242753,"Attention to stoma",1,NA
4170947,"by_method",4170947,"Bone immobilization",1,NA
4241102,"by_method",4087901,"Cardiac pacing",1,NA
1447443,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
3655761,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4000733,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4012185,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4013355,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4018561,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4019226,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4019228,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4019646,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4021093,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4022627,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4022788,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4040974,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4045952,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4046707,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4047008,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4048438,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4048948,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4049547,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4049551,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4049553,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4049675,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4049682,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4049734,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4049812,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4049816,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4049987,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4050114,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4050128,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4050137,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4050139,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4050568,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4050572,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4051014,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4051017,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4051018,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4051157,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4051163,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4051171,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4051945,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4052106,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4052113,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4052115,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4052116,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4052252,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4052846,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4060043,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4063237,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4067329,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4069110,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4070947,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4071388,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
4073860,"by_method",4012185,"Cardiovascular surgical procedure",1,NA
