"concept_id","concept_name","concept_code","vocabulary_id","concept_class_id","n_patients_total","n_records_total"
4187078,"Electrocardiographic monitoring","46825001","SNOMED","Procedure",299752,1604529
4064522,"Medical examination for suspected condition","171397002","SNOMED","Procedure",295497,998457
4163872,"Plain X-ray of chest","399208008","SNOMED","Procedure",279028,792072
4075112,"Emergency examination for triage","245581009","SNOMED","Procedure",209666,469483
4063398,"Driver license medical examination","171351004","SNOMED","Procedure",208551,283872
46272790,"Plain X-ray of limb","711220000","SNOMED","Procedure",207184,595306
4259495,"Slit lamp fundus examination","410455004","SNOMED","Procedure",203624,981348
4098814,"Refraction assessment","252886007","SNOMED","Procedure",200430,796784
4030176,"Chromosome analysis, cytogenetic procedure AND/OR molecular biology method","108261007","SNOMED","Procedure",200048,641104
4305221,"US scan of abdomen and pelvis","418394000","SNOMED","Procedure",192903,408093
4238738,"Physical therapy procedure","91251008","SNOMED","Procedure",176287,1498662
44791515,"Radiology of two body areas","284591000000104","SNOMED","Procedure",173052,647861
37016877,"Plain X-ray of upper limb","713023004","SNOMED","Procedure",170900,414848
4158569,"Emergency procedure","373110003","SNOMED","Procedure",170373,305285
4163903,"CT without contrast","399331006","SNOMED","Procedure",141165,263960
4088561,"Indirect encounter","185316007","SNOMED","Procedure",141073,754560
1072956,"Plain X-ray of spine","1290640000","SNOMED","Procedure",131726,234759
4027510,"Transvaginal echography","13205008","SNOMED","Procedure",131279,757405
4004517,"Ambulatory surgery","110468005","SNOMED","Procedure",122557,192576
4013636,"Magnetic resonance imaging","113091000","SNOMED","Procedure",121121,239619
4230911,"Echocardiography","40701008","SNOMED","Procedure",111370,226934
4334402,"Examination of ear under microscope","232207003","SNOMED","Procedure",109377,289580
4244986,"CT of brain without contrast","396205005","SNOMED","Procedure",105985,179993
40480861,"Evaluation of biopsy specimen","441817003","SNOMED","Procedure",104830,192733
1073730,"CT with contrast","1331946003","SNOMED","Procedure",104532,245103
4014506,"Hematoxylin and eosin stain method","104210008","SNOMED","Procedure",104519,191227
4205771,"Ultrasonography of soft tissue","438527007","SNOMED","Procedure",101857,169812
4155446,"Plain X-ray of head","370142005","SNOMED","Procedure",99449,165348
40484883,"Evaluation of surgical biopsy specimen","442709002","SNOMED","Procedure",98540,148568
40484651,"Analysis using real time PCR","444076003","SNOMED","Procedure",95376,214061
4144375,"Active immunization","33879002","SNOMED","Procedure",93634,227248
4088016,"Child examination","243788004","SNOMED","Procedure",93506,906793
4254477,"Counseling","409063005","SNOMED","Procedure",93399,328770
4294382,"Esophagogastroduodenoscopy","76009000","SNOMED","Procedure",85857,145905
4194672,"Specialized medical examination","79206001","SNOMED","Procedure",82891,113963
4322820,"Supply of spectacles","7128000","SNOMED","Procedure",81066,199069
4064788,"Medical counseling","171014001","SNOMED","Procedure",78637,209144
40488365,"Insertion of indwelling catheter into urinary bladder","446583004","SNOMED","Procedure",75460,120267
4324693,"Mammography","71651007","SNOMED","Procedure",71400,162296
4257824,"Insertion of catheter into urinary bladder","410024004","SNOMED","Procedure",70921,115202
4306780,"Gynecologic examination","83607001","SNOMED","Procedure",69600,148388
4075360,"Surgical debridement of wound","225148005","SNOMED","Procedure",67543,89675
37016875,"Plain X-ray of pelvis","713021002","SNOMED","Procedure",66118,121754
4303663,"CT angiography with contrast","418272005","SNOMED","Procedure",64698,98387
4328969,"Ultrasound angiography of artery","431201002","SNOMED","Procedure",59344,93667
4312604,"Puncture procedure","85921004","SNOMED","Procedure",59013,146454
4202517,"Endoscopic biopsy","53767003","SNOMED","Procedure",58560,88988
4108844,"Application of plaster cast","180289009","SNOMED","Procedure",58427,79939
4178367,"Radiographic imaging procedure","363680008","SNOMED","Procedure",57544,164356
44783407,"Destruction of tissue of skin","699498007","SNOMED","Procedure",57327,187813
4263508,"Ophthalmic examination and evaluation","36228007","SNOMED","Procedure",55986,97493
4065062,"Health examination of sub-group","171413000","SNOMED","Procedure",55021,297301
4140473,"Holter extended electrocardiographic recording","427047002","SNOMED","Procedure",53801,84834
4194260,"Endoscopy of pharynx","392102003","SNOMED","Procedure",53794,99566
4291344,"Immunoblot assay","37310002","SNOMED","Procedure",53244,89052
1244366,"Therapeutic diathermy","1287433006","SNOMED","Procedure",52055,64120
4026128,"Ultrasound study of eye","19731001","SNOMED","Procedure",51580,94760
44807049,"Attention to sutures","824091000000105","SNOMED","Procedure",51190,80801
4083110,"US scan of thyroid","241455000","SNOMED","Procedure",49944,103599
4061660,"Preventive procedure","169443000","SNOMED","Procedure",49386,59484
4077697,"Screening mammography","24623002","SNOMED","Procedure",48200,95541
4261497,"Ultrasonography of abdomen","45036003","SNOMED","Procedure",47821,72101
4147588,"Excision of lesion of skin","35646002","SNOMED","Procedure",47236,79238
4250598,"Contraception care management","408969000","SNOMED","Procedure",44569,146068
4036803,"General examination of patient","162673000","SNOMED","Procedure",44481,73514
4301351,"Surgical procedure","387713003","SNOMED","Procedure",43898,68722
4237359,"Ultrasound examination of joint","91672001","SNOMED","Procedure",42321,58678
4044347,"Ultrasound phlebography","129108007","SNOMED","Procedure",41235,63111
4159965,"Implantation of posterior chamber intraocular lens","373415004","SNOMED","Procedure",38095,63976
4064518,"School admission medical examination","171387006","SNOMED","Procedure",38083,42683
4187207,"Phacoemulsification of cataract with intraocular lens implantation","415089008","SNOMED","Procedure",37901,63519
4223363,"Aspiration of cataract by phacoemulsification","84149000","SNOMED","Procedure",37821,63284
4249893,"Colonoscopy","73761001","SNOMED","Procedure",37579,80479
4183687,"History and physical examination, administrative","55804002","SNOMED","Procedure",37207,54007
37153789,"Digital dermatoscopy of skin","1237126002","SNOMED","Procedure",36796,64340
4297516,"Endoscopy of stomach","386831001","SNOMED","Procedure",36667,51898
4088889,"Individual psychotherapy","18512000","SNOMED","Procedure",36408,234505
4016212,"Child 1 year examination","170254004","SNOMED","Procedure",35624,38917
4015555,"Child 3 month examination","170250008","SNOMED","Procedure",35379,39036
4295019,"Child 2 year examination","401140000","SNOMED","Procedure",34897,37385
4152021,"Ultrasound scan - obstetric","268445003","SNOMED","Procedure",34700,200554
4063911,"Ocular fundus photography","20067007","SNOMED","Procedure",34621,95132
4198856,"MRI with contrast","51619007","SNOMED","Procedure",31551,50196
45763862,"Ultrasonography of urinary bladder for post-void residual volume","700387001","SNOMED","Procedure",31541,66410
4166132,"Examination of optic disc","274795007","SNOMED","Procedure",31012,78802
4297232,"Postnatal maternal examination","384634009","SNOMED","Procedure",30604,76834
4004241,"Endoscopic biopsy of stomach","10077008","SNOMED","Procedure",30394,39295
4264054,"Ultrasonography of breast","47079000","SNOMED","Procedure",30277,50064
4013574,"Computed perimetry","103753003","SNOMED","Procedure",30250,88752
4082233,"Assisted exercise in pool","182623007","SNOMED","Procedure",29485,304726
4304575,"Ultrasound angiography","419698000","SNOMED","Procedure",28604,40938
4143660,"Suture of skin of head or neck","265681006","SNOMED","Procedure",28188,32276
4056681,"Plain X-ray","168537006","SNOMED","Procedure",27493,55289
4071507,"Normal delivery procedure","177184002","SNOMED","Procedure",26960,39644
4022110,"Developing a treatment plan","225292002","SNOMED","Procedure",26934,45899
4160269,"Application of upper extremity splint","430354007","SNOMED","Procedure",26393,34227
