"concept_id","n_patients","n_records"
4143656,207,229
4322471,165,167
4120148,162,237
4045610,160,197
35621840,150,167
4298560,142,142
4145362,141,211
4142625,134,226
4070608,132,143
4185366,132,139
4060257,130,132
4097958,129,129
4186722,127,130
4064533,126,157
4216307,124,137
4231432,124,124
4299367,120,140
4188466,117,153
4132400,115,134
4344635,115,116
4022807,113,174
4025993,110,118
4334652,110,122
4246067,109,132
4242873,108,108
4264707,108,117
4111540,107,108
4194197,107,108
4018022,106,106
4236009,106,109
4174519,105,145
4072156,103,104
4075144,103,104
4241329,103,121
4251348,103,121
42709769,103,108
4067560,102,102
4265898,102,102
4029787,101,110
4036250,101,127
4036697,101,102
4341373,101,113
43531531,101,128
4124526,100,126
4158696,99,131
4177376,97,148
4213281,97,209
4219240,97,112
40487348,97,112
4194049,96,96
4308662,96,117
4040299,93,95
4220964,93,95
4232331,93,93
4155658,92,100
4073385,91,94
4335617,90,108
4139594,89,92
4238384,87,89
4023106,85,95
4068317,85,87
4250892,85,87
4204692,84,93
4069384,83,85
4217829,83,83
4144859,82,82
4307663,82,83
4243780,81,83
4249749,81,84
4029550,79,80
4065687,79,79
4013505,78,83
4168133,78,79
4284555,78,85
4144797,77,77
4163287,77,77
4072700,76,79
4295887,76,80
4177047,75,140
40483561,75,118
45763875,75,83
4202369,74,102
4216088,74,85
4046749,73,78
4138691,73,73
1243851,72,89
4070591,72,79
4071494,70,73
4127484,70,90
4299725,70,72
4150846,69,70
4196045,69,71
4151530,68,72
4253894,68,68
4046707,67,70
4128302,67,118
4187537,67,72
4295161,67,74
4311424,67,71
4029549,66,70
4214463,66,69
4307531,66,67
40489836,66,67
4034245,65,85
4034462,65,66
4258554,65,85
4275880,65,75
4344636,64,64
4346400,63,64
4065715,62,91
4099015,62,68
4158252,62,64
4336143,62,63
46270838,62,63
4075290,61,62
4303376,61,61
4046923,60,65
4248040,60,68
4010247,59,60
4080974,59,63
4143592,59,60
4154201,59,66
4167183,59,68
4222947,59,93
4060397,58,61
4181205,58,60
4181652,58,58
4238120,58,58
4299447,58,98
4322818,58,58
40490399,58,58
4063759,57,61
4099462,57,101
4123886,57,59
4338312,57,58
4025680,56,57
4051014,56,57
4089174,56,64
4183841,56,63
4023268,55,56
4069862,55,56
4169785,55,66
4218111,55,61
4265608,55,62
4281511,55,55
4328722,55,58
4233214,54,54
4251737,54,60
4302979,54,70
40487346,54,58
4070609,53,60
4207050,53,70
4273866,53,53
4337610,53,55
40490324,53,55
44809616,53,53
4010266,52,56
4022011,52,55
4032155,52,52
4210605,52,53
4293475,52,55
4343012,52,119
4030247,51,51
4144391,51,51
4223377,51,51
4327660,51,53
4339388,51,61
1447651,50,53
4050137,50,50
4082706,50,56
4196934,50,50
4220237,50,55
4309648,50,52
35622626,50,54
4012925,49,54
4287467,49,50
1242753,48,108
4030660,48,51
4033087,48,58
4034845,48,50
4140091,48,48
4209904,48,48
4227277,48,55
4287693,48,49
4337605,48,48
4127237,47,47
4072263,46,48
4075890,46,46
4287710,46,47
4327963,46,72
4049372,45,204
4066401,45,49
4091623,45,74
4203771,45,49
4342019,45,46
4075903,44,44
4321679,44,47
4011971,43,51
4137375,43,43
4003384,42,43
4066910,42,44
4097988,42,42
4220239,42,42
4228824,42,45
4269222,42,86
4275747,42,42
4021093,41,41
4038335,41,42
4073702,41,47
4074018,41,42
4078220,41,42
4120973,41,56
4125163,41,47
4181623,41,43
4195648,41,41
4212613,41,46
4244210,41,44
4269233,41,46
44811670,41,43
4032929,40,41
4062876,40,44
4073521,40,41
4163536,40,40
4178736,40,45
4209601,40,41
4237682,40,43
4289250,40,41
4311112,40,68
4070758,39,44
4116917,39,39
4183274,39,41
4217238,39,41
4077080,38,45
4199570,38,40
4216250,38,38
4271929,38,39
4302674,38,46
37165394,38,38
1447837,37,40
4017700,37,38
4040924,37,39
4072191,37,37
4074151,37,43
4076862,37,38
4209077,37,39
4216567,37,43
4217608,37,38
4231506,37,37
4243659,37,41
4253785,37,38
4329458,37,37
4069034,36,36
4072257,36,42
4210151,36,38
4287321,36,38
42872835,36,36
4049682,35,41
4248130,35,36
4300860,35,38
619308,34,116
4072061,34,34
4172438,34,34
4268341,34,35
4302534,34,37
4333162,34,34
4021253,33,48
4208846,33,33
4314569,33,33
4071250,32,33
4075904,32,56
4100913,32,32
4174652,32,32
4324537,32,33
4060043,31,31
4066625,31,31
4101626,31,32
4123868,31,42
4138872,31,31
4139011,31,49
4229918,31,31
4290106,31,32
4327941,31,61
1244464,30,32
4084585,30,32
4094533,30,32
4147839,30,30
4213128,30,30
4218755,30,43
4223934,30,30
4296622,30,30
4325438,30,30
40486199,30,30
4002218,29,32
4055495,29,29
4070472,29,29
4076443,29,31
4079401,29,29
4110247,29,31
4150737,29,32
4160163,29,29
4174389,29,29
4195164,29,32
4217604,29,30
4244431,29,29
4263480,29,29
4307652,29,29
4312734,29,31
4347421,29,29
4042327,28,28
4069840,28,35
4073424,28,28
4117221,28,30
4121436,28,29
4123434,28,39
4125325,28,31
4142959,28,28
4176323,28,30
4203428,28,29
4230527,28,28
4290938,28,36
42537263,28,31
4047082,27,27
4052846,27,27
4120786,27,29
4129854,27,27
4272933,27,44
4277927,27,28
4340102,27,31
4067706,26,27
4075430,26,30
4141922,26,27
4145225,26,26
4145382,26,31
4165077,26,26
4185734,26,27
4192551,26,33
4205529,26,26
4217034,26,30
4338234,26,26
37016897,26,29
40486542,26,31
4068921,25,26
4194514,25,25
4272634,25,26
4287941,25,25
35622816,25,28
37158794,25,26
4066634,24,25
4141456,24,25
4161415,24,67
4167173,24,24
4168082,24,24
4202994,24,24
4233625,24,41
4279443,24,24
37311675,24,24
3657454,23,23
4019226,23,23
4019228,23,24
4022794,23,23
4049832,23,23
4087552,23,23
4117066,23,28
4144861,23,23
4185284,23,24
4185578,23,24
4243919,23,23
4272937,23,34
4308888,23,26
4309374,23,35
4331908,23,23
4013567,22,25
4017330,22,44
4032631,22,22
4050864,22,125
4071388,22,22
4218467,22,33
4233827,22,26
4253787,22,25
4337049,22,22
4339949,22,22
42872710,22,24
46272459,22,22
4028897,21,38
4030165,21,22
4043182,21,29
4048702,21,21
4048938,21,26
4067693,21,21
4127779,21,23
4165739,21,22
4173615,21,21
4181208,21,22
4183321,21,25
4217482,21,22
4229243,21,21
4290511,21,21
4301342,21,21
37016979,21,22
46270896,21,22
4013347,20,21
4032621,20,20
4061603,20,20
4079402,20,20
4120976,20,22
4143045,20,20
4148781,20,26
4160418,20,20
4178013,20,20
