"concept_id","concept_name","concept_code","vocabulary_id","concept_class_id","n_patients_total","n_records_total"
257011,"Acute upper respiratory infection","54398005","SNOMED","Disorder",169388,1120828
440029,"Viral disease","34014006","SNOMED","Disorder",110780,461782
260139,"Acute bronchitis","10509002","SNOMED","Disorder",105929,510312
4162714,"Negative for intraepithelial lesion or malignancy","373887005","SNOMED","Clinical Finding",103174,434463
25297,"Acute pharyngitis","363746003","SNOMED","Disorder",97686,366687
4169580,"Pain in spine","48926009","SNOMED","Clinical Finding",92909,576665
77074,"Pain of joint","57676002","SNOMED","Clinical Finding",88201,435198
37311061,"COVID-19","840539006","SNOMED","Disorder",81164,180241
260427,"Common cold","82272006","SNOMED","Disorder",80241,296879
260123,"Acute sinusitis","15805002","SNOMED","Disorder",79378,397573
194133,"Low back pain","279039007","SNOMED","Clinical Finding",77499,435702
320128,"Essential hypertension","59621000","SNOMED","Disorder",76786,4097665
195588,"Cystitis","38822007","SNOMED","Disorder",72985,407665
24660,"Acute tonsillitis","17741008","SNOMED","Disorder",70773,253579
37397422,"Asymptomatic periapical periodontitis","718052004","SNOMED","Disorder",67034,163086
4216397,"Nerve root disorder","72274001","SNOMED","Disorder",66825,805013
4031019,"Allergic contact dermatitis","238575004","SNOMED","Disorder",63828,339741
379019,"Conjunctivitis","9826008","SNOMED","Disorder",63676,225056
4217669,"Candidal vulvovaginitis","72605008","SNOMED","Disorder",59326,382993
378424,"Astigmatism","82649003","SNOMED","Disorder",56867,195605
4033837,"Melanocytic nevus of trunk","109283002","SNOMED","Disorder",55325,230566
40484028,"Dental caries extending into dentin","442551007","SNOMED","Disorder",54784,362421
373478,"Presbyopia","41256004","SNOMED","Disorder",53577,151979
23220,"Chronic tonsillitis","90979004","SNOMED","Disorder",52751,270806
379805,"Myopia","57190000","SNOMED","Disorder",52014,199354
4320791,"Rhinitis","70076002","SNOMED","Disorder",51944,357254
200219,"Abdominal pain","21522001","SNOMED","Clinical Finding",50253,154144
4173027,"Acute laryngitis and/or tracheitis","276443001","SNOMED","Disorder",50128,160128
45766714,"Inflammatory dermatosis","703938007","SNOMED","Disorder",49939,232515
319034,"Hypertensive heart disease without congestive heart failure","60899001","SNOMED","Disorder",49549,2638785
436659,"Iron deficiency anemia","87522002","SNOMED","Disorder",48402,299048
4289526,"Nonulcer dyspepsia","3696007","SNOMED","Disorder",47630,249425
4079750,"Osteoarthritis of knee","239873007","SNOMED","Disorder",47495,622198
433968,"Candidiasis","78048006","SNOMED","Disorder",47388,185946
