"concept_id","n_patients","n_records"
72413,263,574
4308542,224,281
378160,221,419
78786,212,387
434281,207,746
4166905,206,338
319844,199,408
4094822,194,277
4156941,189,260
435371,179,351
4008261,179,451
4214076,178,546
37116485,176,259
37395566,170,302
4152852,168,448
4054546,167,275
4320826,164,258
4049120,161,350
4192851,160,361
438963,159,274
443327,159,737
133714,158,158
40489908,157,461
4293479,156,236
4031003,151,285
4316468,151,232
35624825,151,291
37017896,151,305
140842,150,284
432904,150,527
75103,149,242
435785,149,343
4062390,149,342
193693,148,295
4174885,148,509
443982,146,717
4147498,145,707
37399017,145,514
26060,143,327
1075809,143,525
81665,142,503
4055726,141,221
193666,139,247
4175167,137,345
4116769,136,479
433208,134,487
316814,133,317
4066736,133,273
196455,132,362
432829,132,293
4084964,132,271
4220631,132,365
4248003,132,221
4271003,132,441
4048796,131,207
4043672,130,335
4066733,130,318
4276036,129,749
4064042,128,287
4174994,128,391
77517,127,475
4015971,127,620
4205455,127,403
197603,126,421
378439,126,618
4062387,126,229
4022201,125,198
4340386,124,495
74533,123,228
313791,123,405
4056713,123,228
4291005,122,191
432923,121,289
40400211,121,385
439396,120,254
4014526,120,258
4053272,118,379
4327030,118,297
314658,117,344
440642,117,300
4195780,117,351
4196401,117,406
436339,115,294
437400,115,410
4189235,115,783
4139587,114,779
4306084,114,413
440979,112,1125
441259,112,269
201519,110,578
436252,110,437
4090883,110,176
4031142,109,897
378434,108,318
36685971,108,210
40354893,108,210
436091,107,316
440583,107,144
4147026,107,293
4296627,107,335
4308837,107,122
442147,106,454
135424,105,156
4056577,105,240
4069933,105,214
4114353,105,275
37110444,105,292
4055599,104,194
132573,103,183
433171,103,594
619584,103,334
4024127,103,222
4188441,103,242
4306943,103,398
261324,102,243
437434,102,185
377845,101,619
438719,101,168
4103532,101,691
4150172,101,375
45763578,101,199
4080865,100,100
4262590,100,502
4266794,100,439
4289830,100,456
37116441,100,356
26727,99,220
75053,99,253
194475,99,313
436832,99,283
440615,99,188
1075205,99,298
4163865,99,373
31609,98,243
4087449,98,360
4208264,97,179
4286349,97,227
28779,96,576
198192,96,413
433486,95,272
4013160,95,351
4098652,95,132
4247367,95,95
197518,94,246
4008354,94,507
139766,93,248
434164,93,166
4086216,93,164
4106203,93,244
4291291,93,133
40489912,93,243
42710047,93,233
4111711,92,424
4135466,92,247
201265,91,309
436906,91,205
4096519,91,544
4180778,91,200
4239337,91,164
43021248,91,208
437904,90,201
440700,90,1000
4045976,90,183
4057178,90,452
374221,89,233
432285,89,391
432863,89,253
4270887,89,213
4316995,89,288
78609,88,324
439842,88,226
4046360,88,240
4056714,88,198
40485984,88,253
194694,87,147
195009,87,304
440371,87,571
4059262,87,218
37165080,87,129
433741,86,435
436826,86,226
437881,86,297
438223,86,184
4044053,86,427
4057179,86,209
4102177,86,375
36717228,86,86
37018350,86,196
373166,85,462
4340390,85,340
4340941,85,332
