"year","sex","age_group","denominator"
2004,"F","0-9",9469
2004,"F","10-19",25124
2004,"F","20-29",27366
2004,"F","30-39",26849
2004,"F","40-49",23351
2004,"F","50-59",16027
2004,"F","60-69",7877
2004,"F","70-79",2345
2004,"F","80+",402
2004,"M","0-9",4764
2004,"M","10-19",15824
2004,"M","20-29",15790
2004,"M","30-39",13776
2004,"M","40-49",10957
2004,"M","50-59",7300
2004,"M","60-69",3716
2004,"M","70-79",1150
2004,"M","80+",156
2005,"F","0-9",7824
2005,"F","10-19",24017
2005,"F","20-29",27448
2005,"F","30-39",27124
2005,"F","40-49",23699
2005,"F","50-59",17082
2005,"F","60-69",8344
2005,"F","70-79",2741
2005,"F","80+",508
2005,"M","0-9",3867
2005,"M","10-19",15017
2005,"M","20-29",16013
2005,"M","30-39",14061
2005,"M","40-49",11179
2005,"M","50-59",7837
2005,"M","60-69",3933
2005,"M","70-79",1307
2005,"M","80+",200
2006,"F","0-9",6284
2006,"F","10-19",22814
2006,"F","20-29",27500
2006,"F","30-39",27397
2006,"F","40-49",23945
2006,"F","50-59",18035
2006,"F","60-69",9045
2006,"F","70-79",3113
2006,"F","80+",625
2006,"M","0-9",3031
2006,"M","10-19",14148
2006,"M","20-29",16146
2006,"M","30-39",14355
2006,"M","40-49",11518
2006,"M","50-59",8179
2006,"M","60-69",4235
2006,"M","70-79",1519
2006,"M","80+",246
2007,"F","0-9",4773
2007,"F","10-19",21497
2007,"F","20-29",27565
2007,"F","30-39",27605
2007,"F","40-49",24284
2007,"F","50-59",18845
2007,"F","60-69",9803
2007,"F","70-79",3586
2007,"F","80+",753
2007,"M","0-9",2256
2007,"M","10-19",12954
2007,"M","20-29",16615
2007,"M","30-39",14654
2007,"M","40-49",11696
2007,"M","50-59",8525
2007,"M","60-69",4581
2007,"M","70-79",1746
2007,"M","80+",298
2008,"F","0-9",3362
2008,"F","10-19",20032
2008,"F","20-29",27820
2008,"F","30-39",27592
2008,"F","40-49",24702
2008,"F","50-59",19537
2008,"F","60-69",10574
2008,"F","70-79",4117
2008,"F","80+",933
2008,"M","0-9",1558
2008,"M","10-19",11638
2008,"M","20-29",17112
2008,"M","30-39",14818
2008,"M","40-49",12030
2008,"M","50-59",8850
2008,"M","60-69",4934
2008,"M","70-79",1970
2008,"M","80+",363
2009,"F","0-9",1990
2009,"F","10-19",18471
2009,"F","20-29",28039
2009,"F","30-39",27555
2009,"F","40-49",25116
2009,"F","50-59",20081
2009,"F","60-69",11580
2009,"F","70-79",4654
2009,"F","80+",1096
2009,"M","0-9",889
2009,"M","10-19",10416
2009,"M","20-29",17477
2009,"M","30-39",14960
2009,"M","40-49",12308
2009,"M","50-59",9173
