"concept_id","concept_name","concept_code","vocabulary_id","concept_class_id","n_patients_total","n_records_total"
1713332,"amoxicillin","723","RxNorm","Ingredient",173354,632920
37003432,"SARS-CoV-2 (COVID-19) vaccine, mRNA spike protein","2468231","RxNorm","Ingredient",160794,374944
1759842,"clavulanate","48203","RxNorm","Ingredient",128065,308338
1750500,"clarithromycin","21212","RxNorm","Ingredient",117160,283238
19011355,"etoricoxib","307296","RxNorm","Ingredient",103217,399759
1124300,"diclofenac","3355","RxNorm","Ingredient",95480,414354
997881,"clindamycin","2582","RxNorm","Ingredient",87932,234674
905233,"mometasone","108118","RxNorm","Ingredient",84310,311635
1797513,"ciprofloxacin","2551","RxNorm","Ingredient",81987,182570
1518254,"dexamethasone","3264","RxNorm","Ingredient",80833,249573
1149196,"cetirizine","20610","RxNorm","Ingredient",80401,264445
904453,"esomeprazole","283742","RxNorm","Ingredient",77978,516221
1154332,"pseudoephedrine","8896","RxNorm","Ingredient",75923,214457
990069,"chloramphenicol","2348","RxNorm","Ingredient",75777,181575
1707164,"metronidazole","6922","RxNorm","Ingredient",75297,174977
923645,"omeprazole","7646","RxNorm","Ingredient",73813,586674
1734104,"azithromycin","18631","RxNorm","Ingredient",73770,149188
19010400,"fusidate","113608","RxNorm","Ingredient",70802,146674
1738521,"doxycycline","3640","RxNorm","Ingredient",69976,131680
1549786,"ethinyl estradiol","4124","RxNorm","Ingredient",69294,1659460
1769535,"cefadroxil","2177","RxNorm","Ingredient",64679,107922
920293,"nitrofurantoin","7454","RxNorm","Ingredient",60375,164900
1149380,"fluticasone","41126","RxNorm","Ingredient",60373,363097
1201620,"codeine","2670","RxNorm","Ingredient",58071,204239
920458,"betamethasone","1514","RxNorm","Ingredient",56550,198449
1778162,"cefuroxime","2194","RxNorm","Ingredient",56325,98688
1150345,"meloxicam","41493","RxNorm","Ingredient",55093,216459
975125,"hydrocortisone","5492","RxNorm","Ingredient",54244,105176
1000632,"clotrimazole","2623","RxNorm","Ingredient",53283,207722
1125315,"acetaminophen","161","RxNorm","Ingredient",51719,189099
1360332,"glucosamine","4845","RxNorm","Ingredient",51549,258880
902722,"tobramycin","10627","RxNorm","Ingredient",51383,88031
1307046,"metoprolol","6918","RxNorm","Ingredient",49895,1356476
19003491,"isoconazole","27901","RxNorm","Ingredient",48842,116379
1506270,"methylprednisolone","6902","RxNorm","Ingredient",45662,154796
1115008,"naproxen","7258","RxNorm","Ingredient",45134,156597
948078,"pantoprazole","40790","RxNorm","Ingredient",44199,316002
1754994,"fluconazole","4450","RxNorm","Ingredient",43961,143789
989878,"lidocaine","6387","RxNorm","Ingredient",43283,124044
781039,"alprazolam","596","RxNorm","Ingredient",41786,311402
19026096,"diflucortolone","3392","RxNorm","Ingredient",40790,90162
1103314,"tramadol","10689","RxNorm","Ingredient",40330,232999
19049709,"lornoxicam","20890","RxNorm","Ingredient",39515,88739
19056874,"dexketoprofen","237162","RxNorm","Ingredient",38352,110384
1332418,"amlodipine","17767","RxNorm","Ingredient",38093,1000853
1705674,"trimethoprim","10829","RxNorm","Ingredient",38002,64418
1154343,"albuterol","435","RxNorm","Ingredient",37254,145682
19044883,"zopiclone","40001","RxNorm","Ingredient",37213,419817
