"concept_id","n_patients","n_records"
19136207,73,86
1354698,68,71
990028,67,343
1350504,62,151
19038440,62,78
1763204,52,78
1786055,51,451
712615,49,690
1707687,47,85
740910,46,934
1390051,45,326
19137042,44,274
19019131,43,51
19049059,43,51
40234201,43,107
732893,41,62
19034726,40,787
1301267,38,196
1398937,38,432
1711759,38,307
42800027,37,38
1514412,36,47
44785885,36,151
1309799,35,222
1352213,35,750
1363387,35,163
1505346,35,177
43012292,34,276
19029488,33,140
1395557,32,33
523365,31,33
523367,31,33
36879187,31,33
19095462,30,520
991382,29,215
1595799,28,30
45775965,28,217
1763339,27,28
19042545,27,27
19043154,27,29
19136187,26,27
509079,25,25
509081,25,25
1735947,25,42
19036781,25,36
19068688,25,132
1301065,24,102
19018164,24,24
1105775,23,134
1753745,23,127
40171288,23,23
904351,22,25
19031397,22,53
19093848,22,33
717136,21,32
1750087,21,22
43014237,21,91
1302398,20,32
1304919,20,142
1358436,19,540
1436650,19,120
1776684,19,28
19063981,19,24
19088167,19,19
43532299,19,194
43532497,19,168
45775206,19,330
35602981,18,19
40241969,18,116
967496,17,23
1308368,17,133
19011035,17,23
36118603,17,31
40244266,17,219
991855,16,16
1304565,16,21
1394023,16,567
1397141,16,119
19012346,16,322
40239330,16,28
46221433,16,161
514012,15,15
514015,15,15
996541,15,67
1321636,15,373
1771162,15,18
42900359,15,29
936748,14,36
1319133,14,14
19044727,14,43
46275447,14,185
701982,13,32
837027,13,222
929887,13,32
1312706,13,96
1560524,13,16
1774470,13,15
792764,12,109
979096,12,270
1517740,12,64
1763779,12,36
19011440,12,195
19059142,12,89
19066992,12,13
19113026,12,12
44785086,12,28
724908,11,55
756018,11,107
787787,11,15
1134439,11,11
1333357,11,45
19018384,11,46
19028050,11,273
19115055,11,118
42903460,11,30
987245,10,11
1344354,10,10
1352141,10,23
1367571,10,10
19078187,10,10
35605546,10,64
42709322,10,135
42873638,10,132
792777,9,14
902727,9,30
1369939,9,10
1522957,9,109
1588712,9,21
1589795,9,21
40238770,9,58
914335,8,9
1361291,8,71
1724700,8,10
19001599,8,8
19050832,8,140
970011,7,8
977968,7,8
1102527,7,337
1125443,7,317
1516766,7,56
1586369,7,8
19007600,7,7
19014215,7,8
19030493,7,7
19071128,7,7
19080982,7,20
750119,6,105
793293,6,31
836877,6,38
965748,6,7
1309068,6,13
1337068,6,100
1508439,6,7
1560305,6,19
1594003,6,42
1760039,6,8
19007737,6,23
35200446,6,11
44506752,6,154
752061,5,14
757627,5,18
777221,5,21
964008,5,6
1315942,5,24
1503432,5,573
1738170,5,5
19022446,5,17
19040051,5,21
19066894,5,5
19122327,5,37
35606695,5,13
