"concept_id","n_patients","n_records"
4343792,190,193
40310989,179,188
4064533,175,235
4070228,173,178
4142625,168,299
4127137,163,167
4311041,156,174
4115317,155,166
4167420,153,161
4241329,151,170
4251348,151,170
4048326,150,156
4068770,145,165
4232331,142,148
4042907,141,162
4291474,136,160
4219893,132,139
4143656,130,141
4271587,130,138
4304536,130,131
4339601,129,142
4196045,128,137
4240701,127,132
4321596,127,147
4173506,124,159
4187383,122,205
4200565,122,144
4203990,122,147
4268189,121,123
4080015,120,121
4144723,120,124
4068560,119,157
4236009,119,123
4071015,118,136
4168528,117,150
4341536,117,117
4070879,116,118
4125482,116,116
4186722,116,122
4242873,116,121
4105589,115,116
4188048,115,125
4030150,114,124
4287324,114,199
40488930,114,117
40488890,113,117
43531134,112,113
4337034,111,153
4202563,109,109
42872475,109,323
4102383,108,126
4334717,107,147
4007438,102,189
4075967,102,156
40486199,101,102
4073385,100,103
4122330,100,108
4264707,100,112
36675314,100,101
40489325,100,108
4213281,99,213
4306203,99,126
35621840,99,103
4282602,98,104
4039376,97,173
4068911,95,127
4128560,95,109
4072156,94,94
4075144,94,94
42709769,94,98
4048948,93,106
4193922,91,94
4307531,91,94
4210602,90,94
4253894,90,93
4194049,88,89
4336143,88,90
4020329,87,87
4029550,87,89
4111540,87,88
4146072,87,110
4194197,87,88
4073393,86,90
4155658,86,93
4170058,86,102
4279633,86,89
40489379,86,115
4067474,84,91
4340646,83,93
40492327,83,87
4212613,82,84
4249749,82,84
4290250,81,82
4080974,79,82
4138981,79,88
44789813,79,160
4265608,78,82
4344635,78,78
4029549,77,78
4127237,77,77
4022807,76,116
4214730,76,102
4218111,76,81
4227277,76,85
4246067,76,97
4269838,76,81
4084965,75,78
4137462,75,111
4222947,75,96
4309590,75,85
4029787,74,78
4045610,74,84
4049372,74,352
4086912,74,74
4146781,74,80
4159882,74,88
4325283,74,75
4177376,73,106
4266016,73,85
4295887,73,77
4314436,73,73
4323896,73,208
4216307,72,82
4307663,72,72
4334718,72,76
4158696,71,92
4185366,71,77
4225211,71,75
4198857,70,148
4219029,70,74
4298560,70,70
4321098,70,70
4154201,69,76
4060257,68,69
4082198,68,74
4124526,68,76
4198242,68,71
4041263,67,199
4167262,67,67
4346400,67,67
37206727,67,78
4075903,66,70
4059099,65,67
4179324,65,70
4335617,65,71
4066636,64,64
4169785,64,70
4171187,64,64
4186440,64,80
4220237,64,67
4299367,64,71
4019134,63,69
