"concept_id","concept_name","concept_code","vocabulary_id","concept_class_id","n_patients_total","n_records_total"
319034,"Hypertensive heart disease without congestive heart failure","60899001","SNOMED","Disorder",21805,51569
320128,"Essential hypertension","59621000","SNOMED","Disorder",11541,19153
4068155,"Atrial arrhythmia","17366009","SNOMED","Disorder",11131,38545
314378,"Hypertensive heart disease with congestive heart failure","5148006","SNOMED","Disorder",8765,18739
201826,"Type 2 diabetes mellitus","44054006","SNOMED","Disorder",8594,29714
4033837,"Melanocytic nevus of trunk","109283002","SNOMED","Disorder",7347,13767
319835,"Congestive heart failure","42343007","SNOMED","Disorder",6943,15401
200219,"Abdominal pain","21522001","SNOMED","Clinical Finding",6660,8100
4216397,"Nerve root disorder","72274001","SNOMED","Disorder",6618,11751
81902,"Urinary tract infectious disease","68566005","SNOMED","Disorder",6165,8510
438720,"Mixed hyperlipidemia","267434003","SNOMED","Disorder",6092,11458
194133,"Low back pain","279039007","SNOMED","Clinical Finding",6021,8136
4094343,"Dislocations/sprains/strains","287091008","SNOMED","Disorder",5944,7020
314666,"Old myocardial infarction","1755008","SNOMED","Disorder",5308,18395
4110051,"Mixed asthma","195977004","SNOMED","Disorder",5134,18362
443732,"Disorder due to type 2 diabetes mellitus","422014003","SNOMED","Disorder",4864,14576
4217557,"Simple obesity","415530009","SNOMED","Disorder",4531,12871
81151,"Sprain of ankle","44465007","SNOMED","Disorder",4527,4857
4079750,"Osteoarthritis of knee","239873007","SNOMED","Disorder",4510,8753
75344,"Intervertebral disc disorder","36427004","SNOMED","Disorder",4356,7934
40568467,"Seborrheic keratosis","394726009","SNOMED","Disorder",4287,6927
255573,"Chronic obstructive pulmonary disease","13645005","SNOMED","Disorder",4270,18434
77074,"Pain of joint","57676002","SNOMED","Clinical Finding",4205,5366
132797,"Sepsis","91302008","SNOMED","Disorder",4133,9150
4054063,"Open wound of finger","125653000","SNOMED","Disorder",4031,4438
77670,"Chest pain","29857009","SNOMED","Clinical Finding",3841,4592
436659,"Iron deficiency anemia","87522002","SNOMED","Disorder",3726,9071
316139,"Heart failure","84114007","SNOMED","Disorder",3723,5944
198803,"Benign prostatic hyperplasia","266569009","SNOMED","Disorder",3699,9516
