"concept_id","year","sex","age_group","patient_count","record_count","denominator","prevalence"
22492,2012,"F","30-39",6,6,13381,0.000448396980793663
22492,2013,"F","50-59",6,7,15472,0.000387797311271975
22492,2013,"F","60-69",5,5,13491,0.000370617448669483
22492,2014,"F","40-49",7,7,13540,0.00051698670605613
22492,2014,"F","60-69",5,5,14087,0.000354937176119827
22492,2014,"M","20-29",6,6,14596,0.000411071526445602
22492,2015,"F","20-29",7,7,13214,0.000529741183593159
22492,2015,"F","40-49",5,7,13483,0.000370837350737966
22492,2015,"F","60-69",8,9,14576,0.000548847420417124
22492,2015,"M","30-39",7,8,13972,0.000501002004008016
22492,2016,"F","20-29",9,9,12727,0.000707158010528797
22492,2016,"F","30-39",8,8,13959,0.000573106956085679
22492,2016,"F","60-69",5,6,14762,0.000338707492209728
22492,2017,"F","60-69",5,5,14889,0.000335818389415004
22492,2017,"M","40-49",5,5,12207,0.000409601048578684
22492,2018,"F","30-39",6,6,14336,0.000418526785714286
22492,2018,"F","60-69",5,6,14989,0.00033357795716859
22492,2018,"M","40-49",6,6,12318,0.000487092060399416
22492,2019,"F","60-69",5,5,14845,0.000336813742000674
22492,2021,"F","20-29",5,6,9534,0.00052443885043004
22492,2021,"M","30-39",5,5,15149,0.00033005478909499
22492,2022,"F","60-69",5,5,14797,0.000337906332364669
22492,2023,"F","60-69",5,5,14637,0.000341600054656009
22492,2023,"F","70-79",7,7,11861,0.000590169462945789
22839,2012,"M","60-69",10,43,8889,0.00112498593767578
22839,2013,"M","50-59",5,7,11321,0.000441657097429556
22839,2013,"M","60-69",8,38,9274,0.000862626698296312
22839,2014,"M","50-59",5,12,11275,0.000443458980044346
22839,2014,"M","60-69",7,27,9556,0.00073252406864797
22839,2015,"M","60-69",9,30,9902,0.000908907291456271
22839,2015,"M","70-79",7,21,6145,0.00113913751017087
22839,2016,"M","50-59",6,23,11046,0.000543183052688756
22839,2016,"M","60-69",9,43,9987,0.000901171522979874
22839,2017,"M","50-59",6,19,10839,0.000553556601162469
22839,2017,"M","60-69",11,40,9955,0.00110497237569061
22839,2018,"M","50-59",6,17,10777,0.000556741208128422
22839,2018,"M","60-69",9,19,9973,0.000902436578762659
22839,2018,"M","70-79",5,33,6500,0.000769230769230769
22839,2019,"M","50-59",5,15,10662,0.00046895516788595
22839,2019,"M","60-69",8,23,9955,0.000803616273229533
22839,2019,"M","70-79",6,18,6597,0.000909504320145521
22839,2020,"M","50-59",5,11,10608,0.000471342383107089
22839,2020,"M","60-69",9,39,9937,0.000905705947469055
22839,2020,"M","70-79",6,37,6604,0.000908540278619019
22839,2021,"M","60-69",12,52,9922,0.00120943358193913
22839,2021,"M","70-79",6,31,6594,0.000909918107370337
22839,2022,"M","60-69",9,30,9882,0.000910746812386157
22839,2022,"M","70-79",7,26,6647,0.00105310666466075
22839,2023,"M","60-69",7,28,9790,0.000715015321756895
22839,2023,"M","70-79",7,18,6788,0.00103123158515027
