"concept_id","n_patients","n_records"
372409,172,190
4133194,158,205
4266809,157,190
4263898,155,182
201614,154,172
377888,150,223
4305080,150,163
440268,142,146
4271013,142,152
440698,141,249
4129393,140,191
140480,138,156
439407,135,205
380834,133,137
377573,132,255
42537252,130,188
44783376,130,157
4008356,126,165
4056428,123,132
141253,120,137
4221189,120,159
4169287,118,191
23653,117,145
141216,117,163
437262,117,160
44783029,116,119
377091,115,120
4280354,115,156
36716700,115,151
43531028,115,147
444449,114,161
4010385,114,173
4134455,114,168
433064,113,118
4317284,113,124
381581,112,135
441177,112,153
25572,111,133
4209746,111,150
378741,110,186
4153877,109,127
141004,108,177
4127117,108,178
4242957,108,125
444453,107,150
4038835,107,657
36714559,107,141
437784,106,120
135208,105,152
198678,105,107
37016130,105,136
24977,104,146
136853,104,134
4101738,104,170
4180313,104,577
40441585,104,155
141933,103,229
40484102,103,111
4201745,102,129
135473,101,136
4056580,101,196
4262562,101,110
4244662,100,105
43531046,100,120
441701,99,105
261889,98,120
201529,97,160
378523,96,119
4069935,96,118
36713576,96,272
432863,95,108
4000609,95,148
4174885,95,104
74855,93,131
139850,93,103
200447,93,302
374022,92,114
4185471,92,130
434889,91,286
439928,90,115
4175167,90,110
259852,89,100
374034,89,96
375292,89,118
441840,89,93
4111709,89,115
4276036,89,122
24609,88,101
79833,88,146
132983,88,119
197925,88,95
435569,88,96
29735,87,107
4025663,87,93
4058225,87,88
4096314,87,138
193238,86,103
37311320,86,93
321887,85,134
435642,85,113
435799,85,139
141371,84,113
4129404,84,87
23798,83,83
4239487,83,103
36716624,83,135
321876,82,124
438021,82,115
4009296,82,92
37164741,82,83
192956,81,94
36686082,81,141
432941,80,92
440700,80,229
444187,80,88
4023310,80,125
4056478,80,410
4243291,80,115
37165685,80,108
373474,79,94
380055,79,128
4347178,79,92
42709742,79,86
194992,78,298
195603,78,106
435570,78,79
4025165,78,112
23325,77,91
374377,77,111
378135,77,108
437409,77,84
4237062,77,153
197917,76,116
201901,76,140
314131,76,95
435119,76,148
3654543,76,84
4052655,76,78
316457,75,89
4062388,75,89
4138962,75,100
133569,74,90
440973,74,150
43530727,74,132
192357,73,125
373432,73,112
4053654,73,77
4141028,73,77
4274184,73,166
37203984,73,202
28457,72,99
135858,72,90
194985,72,163
195585,72,384
201337,72,104
316999,72,98
375820,72,136
444297,72,72
4145825,72,85
4233244,72,156
79104,71,101
442560,71,83
4015350,71,76
4154632,71,167
37016342,71,149
80141,70,77
260125,70,80
4100184,70,385
42536812,70,77
133002,69,121
438028,69,77
4048796,69,69
4097962,69,74
4121803,69,170
4168796,69,71
4340386,69,110
25844,68,84
196468,68,90
199860,68,98
378416,68,116
381001,68,73
438094,68,503
4086243,68,205
4123293,68,103
4169954,68,83
36716659,68,81
194683,67,78
200452,67,76
376337,67,93
441172,67,177
75039,66,100
76790,66,70
193402,66,70
200765,66,72
201341,66,77
432347,66,73
4056354,66,99
4091513,66,69
4327889,66,91
37162280,66,109
79864,65,102
140976,65,187
432250,65,68
4009573,65,99
4209423,65,109
35623051,65,379
28779,64,101
80946,64,81
198571,64,66
435783,64,275
