"year","sex","age_group","death_count","denominator","mortality_rate"
2012,"F","20-29",7,14521,0.000482060464155361
2012,"F","30-39",5,13381,0.000373664150661386
2012,"F","40-49",13,13701,0.000948835851397708
2012,"F","50-59",38,15628,0.00243153314563604
2012,"F","60-69",85,12910,0.00658404337722696
2012,"F","70-79",133,10408,0.0127786318216756
2012,"F","80+",193,4996,0.038630904723779
2012,"M","20-29",16,15213,0.00105173207125485
2012,"M","30-39",13,13328,0.000975390156062425
2012,"M","40-49",36,11303,0.00318499513403521
2012,"M","50-59",61,11368,0.00536593947923997
2012,"M","60-69",134,8889,0.0150748115648554
2012,"M","70-79",163,6032,0.0270225464190981
2012,"M","80+",124,1982,0.0625630676084763
2013,"F","30-39",7,13472,0.000519596199524941
2013,"F","40-49",17,13649,0.00124551249175764
2013,"F","50-59",39,15472,0.00252068252326784
2013,"F","60-69",94,13491,0.00696760803498629
2013,"F","70-79",198,10478,0.0188967360183241
2013,"F","80+",308,5460,0.0564102564102564
2013,"M","20-29",7,14956,0.000468039582776143
2013,"M","30-39",23,13546,0.00169791820463605
2013,"M","40-49",32,11393,0.00280874221012903
2013,"M","50-59",66,11321,0.00582987368607013
2013,"M","60-69",142,9274,0.0153116238947595
2013,"M","70-79",233,6100,0.0381967213114754
2013,"M","80+",180,2221,0.0810445745159838
2014,"F","20-29",5,13652,0.000366246703779666
2014,"F","30-39",19,13650,0.00139194139194139
2014,"F","40-49",13,13540,0.000960118168389956
2014,"F","50-59",53,15238,0.00347814673841712
2014,"F","60-69",98,14087,0.0069567686519486
2014,"F","70-79",202,10461,0.0193098174170729
2014,"F","80+",418,5887,0.0710039069135383
2014,"M","20-29",12,14596,0.000822143052891203
2014,"M","30-39",24,13773,0.00174253975168809
2014,"M","40-49",39,11505,0.00338983050847458
2014,"M","50-59",92,11275,0.00815964523281596
2014,"M","60-69",154,9556,0.0161155295102553
2014,"M","70-79",235,6158,0.0381617408249432
2014,"M","80+",218,2373,0.0918668352296671
2015,"F","30-39",12,13804,0.000869313242538395
2015,"F","40-49",17,13483,0.00126084699250909
2015,"F","50-59",56,14939,0.00374857754869804
2015,"F","60-69",119,14576,0.00816410537870472
2015,"F","70-79",205,10410,0.0196926032660903
2015,"F","80+",471,6281,0.0749880592262379
2015,"M","20-29",7,14077,0.000497265042267529
2015,"M","30-39",36,13972,0.00257658173489837
2015,"M","40-49",44,11699,0.00376100521412087
2015,"M","50-59",92,11177,0.00823118904893979
2015,"M","60-69",202,9902,0.0203999192082408
2015,"M","70-79",262,6145,0.0426362896663954
2015,"M","80+",219,2552,0.0858150470219436
2016,"F","30-39",11,13959,0.000788022064617809
2016,"F","40-49",15,13484,0.00111242954612875
2016,"F","50-59",58,14664,0.00395526459356247
2016,"F","60-69",99,14762,0.00670640834575261
2016,"F","70-79",218,10539,0.0206850744852453
2016,"F","80+",478,6702,0.0713219934347956
2016,"M","20-29",8,13558,0.000590057530609234
2016,"M","30-39",33,14144,0.00233314479638009
2016,"M","40-49",41,11916,0.00344075193017791
2016,"M","50-59",105,11046,0.00950570342205323
2016,"M","60-69",215,9987,0.021527986382297
2016,"M","70-79",240,6235,0.0384923817161187
2016,"M","80+",255,2775,0.0918918918918919
2017,"F","30-39",8,14204,0.000563221627710504
2017,"F","40-49",21,13544,0.00155050206733609
2017,"F","50-59",44,14292,0.00307864539602575
2017,"F","60-69",114,14889,0.0076566592786621
2017,"F","70-79",207,10561,0.0196004166272133
2017,"F","80+",546,7294,0.0748560460652591
2017,"M","20-29",15,12885,0.00116414435389988
2017,"M","30-39",23,14398,0.00159744408945687
2017,"M","40-49",50,12207,0.00409601048578684
2017,"M","50-59",105,10839,0.00968724052034321
2017,"M","60-69",199,9955,0.0199899547965846
2017,"M","70-79",280,6380,0.0438871473354232
2017,"M","80+",292,3029,0.0964014526246286
2018,"F","20-29",5,11412,0.00043813529617946
2018,"F","30-39",14,14336,0.0009765625
2018,"F","40-49",21,13490,0.00155670867309118
2018,"F","50-59",51,14106,0.00361548277328796
2018,"F","60-69",142,14989,0.00947361398358797
2018,"F","70-79",242,10600,0.0228301886792453
2018,"F","80+",598,7789,0.0767749390165618
2018,"M","30-39",19,14715,0.00129119945633707
2018,"M","40-49",47,12318,0.00381555447312875
2018,"M","50-59",98,10777,0.00909343973276422
2018,"M","60-69",217,9973,0.0217587486212774
2018,"M","70-79",269,6500,0.0413846153846154
2018,"M","80+",325,3212,0.101183063511831
2019,"F","20-29",9,10708,0.000840493089279044
2019,"F","30-39",12,14482,0.000828614832205496
2019,"F","40-49",17,13508,0.00125851347349719
2019,"F","50-59",48,13865,0.00346195456184638
2019,"F","60-69",113,14845,0.00761199056921522
2019,"F","70-79",217,10817,0.0200610150688731
2019,"F","80+",614,8262,0.0743161462115711
2019,"M","20-29",12,11378,0.00105466690103709
2019,"M","30-39",22,15024,0.0014643237486688
2019,"M","40-49",38,12546,0.00302885381794994
2019,"M","50-59",95,10662,0.00891014818983305
2019,"M","60-69",246,9955,0.0247112004018081
2019,"M","70-79",327,6597,0.0495679854479309
2019,"M","80+",357,3408,0.104753521126761
2020,"F","30-39",6,14624,0.000410284463894967
2020,"F","40-49",20,13365,0.00149644594089039
2020,"F","50-59",62,13699,0.00452587780129936
2020,"F","60-69",122,15006,0.00813008130081301
2020,"F","70-79",244,10987,0.0222080640757259
2020,"F","80+",643,8558,0.0751343771909325
2020,"M","20-29",5,10742,0.000465462669893875
2020,"M","30-39",26,15128,0.00171866737176097
2020,"M","40-49",38,12785,0.00297223308564724
2020,"M","50-59",115,10608,0.010840874811463
2020,"M","60-69",234,9937,0.0235483546341954
2020,"M","70-79",275,6604,0.041641429436705
2020,"M","80+",382,3549,0.1076359537898
2021,"F","20-29",6,9534,0.000629326620516048
2021,"F","30-39",7,14570,0.000480439258750858
2021,"F","40-49",28,13256,0.00211225105612553
2021,"F","50-59",53,13532,0.0039166420336979
2021,"F","60-69",140,14915,0.00938652363392558
2021,"F","70-79",290,11141,0.0260299793555336
2021,"F","80+",889,9026,0.0984932417460669
2021,"M","20-29",5,10065,0.000496770988574267
2021,"M","30-39",31,15149,0.00204633969238894
2021,"M","40-49",52,12869,0.00404071800450695
2021,"M","50-59",133,10678,0.0124555160142349
2021,"M","60-69",240,9922,0.0241886716387825
2021,"M","70-79",344,6594,0.0521686381558993
2021,"M","80+",476,3763,0.12649481796439
2022,"F","30-39",7,14451,0.000484395543560999
2022,"F","40-49",23,13235,0.00173781639591991
2022,"F","50-59",57,13434,0.00424296560964716
2022,"F","60-69",140,14797,0.00946137730621072
2022,"F","70-79",261,11418,0.0228586442459275
2022,"F","80+",810,8954,0.0904623631896359
2022,"M","20-29",10,9551,0.00104701078421108
2022,"M","30-39",39,15040,0.00259308510638298
2022,"M","40-49",49,13017,0.00376430821233771
2022,"M","50-59",119,10659,0.0111642743221691
2022,"M","60-69",255,9882,0.0258044930176078
2022,"M","70-79",346,6647,0.0520535579960885
2022,"M","80+",462,3737,0.123628579074124
2023,"F","20-29",10,8678,0.00115233924867481
2023,"F","30-39",14,14062,0.000995590954345043
2023,"F","40-49",25,13319,0.00187701779412869
2023,"F","50-59",50,13362,0.00374195479718605
2023,"F","60-69",116,14637,0.0079251212680194
2023,"F","70-79",246,11861,0.0207402411263806
2023,"F","80+",771,8824,0.0873753399818676
2023,"M","20-29",11,9011,0.00122073021862168
2023,"M","30-39",34,14782,0.00230009470978217
2023,"M","40-49",61,13226,0.00461212762740057
2023,"M","50-59",97,10707,0.00905949378910993
2023,"M","60-69",234,9790,0.0239019407558733
2023,"M","70-79",292,6788,0.0430170889805539
2023,"M","80+",419,3657,0.114574788077659
2024,"F","30-39",14,13588,0.00103032087135708
2024,"F","40-49",30,13482,0.00222518914107699
2024,"F","50-59",51,13247,0.00384992828564958
2024,"F","60-69",118,14433,0.00817570844592254
2024,"F","70-79",268,12344,0.0217109526895658
2024,"F","80+",790,8774,0.0900387508547983
2024,"M","30-39",20,14424,0.00138657792567942
2024,"M","40-49",64,13410,0.00477255779269202
2024,"M","50-59",109,10822,0.010072075401959
2024,"M","60-69",248,9690,0.025593395252838
2024,"M","70-79",328,6955,0.0471603163191948
2024,"M","80+",392,3610,0.108587257617729
