"sex","birth_year","patient_count"
"F",1910,1
"F",1911,3
"F",1912,2
"F",1913,6
"F",1914,5
"F",1915,8
"F",1916,17
"F",1917,17
"F",1918,28
"F",1919,34
"F",1920,58
"F",1921,97
"F",1922,129
"F",1923,174
"F",1924,236
"F",1925,298
"F",1926,331
"F",1927,386
"F",1928,509
"F",1929,558
"F",1930,611
"F",1931,732
"F",1932,756
"F",1933,671
"F",1934,771
"F",1935,874
"F",1936,976
"F",1937,1192
"F",1938,1176
"F",1939,1251
"F",1940,1100
"F",1941,1374
"F",1942,1023
"F",1943,866
"F",1944,936
"F",1945,985
"F",1946,1267
"F",1947,1384
"F",1948,1346
"F",1949,1608
"F",1950,1386
"F",1951,1624
"F",1952,1508
"F",1953,1532
"F",1954,1615
"F",1955,1571
"F",1956,1551
"F",1957,1576
"F",1958,1539
"F",1959,1560
"F",1960,1624
"F",1961,1586
"F",1962,1474
"F",1963,1409
"F",1964,1415
"F",1965,1307
"F",1966,1322
"F",1967,1234
"F",1968,1364
"F",1969,1351
"F",1970,1463
"F",1971,1448
"F",1972,1388
"F",1973,1369
"F",1974,1321
"F",1975,1263
"F",1976,1337
"F",1977,1302
"F",1978,1334
"F",1979,1384
"F",1980,1338
"F",1981,1356
"F",1982,1377
"F",1983,1466
"F",1984,1506
"F",1985,1433
"F",1986,1499
"F",1987,1555
"F",1988,1470
"F",1989,1539
"F",1990,1485
"F",1991,1307
"F",1992,1261
"F",1993,1080
"F",1994,1030
"F",1995,1000
"F",1996,1012
"F",1997,889
"F",1998,821
"F",1999,839
"F",2000,852
"F",2001,765
"F",2002,790
"F",2003,695
"F",2004,639
"F",2005,570
"F",2006,511
"F",2007,432
"F",2008,374
"F",2009,252
"F",2010,205
"F",2011,164
"F",2012,141
"F",2013,115
"F",2014,114
"F",2015,91
"F",2016,76
"F",2017,76
"F",2018,82
"F",2019,60
"F",2020,58
"F",2021,38
"F",2022,22
"F",2023,8
"F",2024,4
"M",1910,1
"M",1913,1
"M",1914,2
"M",1915,3
"M",1916,3
"M",1917,2
"M",1918,12
"M",1919,8
"M",1920,9
"M",1921,24
"M",1922,41
"M",1923,41
"M",1924,67
"M",1925,100
"M",1926,136
"M",1927,185
"M",1928,218
"M",1929,238
"M",1930,259
"M",1931,293
"M",1932,339
"M",1933,377
"M",1934,372
"M",1935,458
"M",1936,539
"M",1937,648
"M",1938,652
"M",1939,702
"M",1940,711
"M",1941,856
"M",1942,717
"M",1943,609
"M",1944,646
"M",1945,656
"M",1946,868
"M",1947,986
"M",1948,1005
"M",1949,1038
"M",1950,972
"M",1951,1053
"M",1952,1056
"M",1953,1126
"M",1954,1057
"M",1955,1148
"M",1956,1134
"M",1957,1128
"M",1958,1158
"M",1959,1173
"M",1960,1133
"M",1961,1168
"M",1962,1143
"M",1963,1133
"M",1964,1077
"M",1965,1125
"M",1966,1063
"M",1967,995
"M",1968,1162
"M",1969,1103
"M",1970,1142
"M",1971,1302
"M",1972,1201
"M",1973,1254
"M",1974,1220
"M",1975,1348
"M",1976,1314
"M",1977,1317
"M",1978,1315
"M",1979,1363
"M",1980,1397
"M",1981,1408
"M",1982,1392
"M",1983,1485
"M",1984,1464
"M",1985,1572
"M",1986,1514
"M",1987,1603
"M",1988,1643
"M",1989,1681
"M",1990,1515
"M",1991,1446
"M",1992,1290
"M",1993,1243
"M",1994,1108
"M",1995,1063
"M",1996,1000
"M",1997,929
"M",1998,966
"M",1999,856
"M",2000,883
"M",2001,763
"M",2002,774
"M",2003,711
"M",2004,713
"M",2005,627
"M",2006,591
"M",2007,515
"M",2008,383
"M",2009,269
"M",2010,202
"M",2011,211
"M",2012,161
"M",2013,139
"M",2014,146
"M",2015,113
"M",2016,115
"M",2017,103
"M",2018,80
"M",2019,82
"M",2020,64
"M",2021,47
"M",2022,22
"M",2023,21
"M",2024,4
