"year","sex","age_group","denominator"
2012,"F","0-9",3983
2012,"F","10-19",9078
2012,"F","20-29",14521
2012,"F","30-39",13381
2012,"F","40-49",13701
2012,"F","50-59",15628
2012,"F","60-69",12910
2012,"F","70-79",10408
2012,"F","80+",4996
2012,"M","0-9",4383
2012,"M","10-19",9585
2012,"M","20-29",15213
2012,"M","30-39",13328
2012,"M","40-49",11303
2012,"M","50-59",11368
2012,"M","60-69",8889
2012,"M","70-79",6032
2012,"M","80+",1982
2013,"F","0-9",3403
2013,"F","10-19",8693
2013,"F","20-29",14128
2013,"F","30-39",13472
2013,"F","40-49",13649
2013,"F","50-59",15472
2013,"F","60-69",13491
2013,"F","70-79",10478
2013,"F","80+",5460
2013,"M","0-9",3810
2013,"M","10-19",9052
2013,"M","20-29",14956
2013,"M","30-39",13546
2013,"M","40-49",11393
2013,"M","50-59",11321
2013,"M","60-69",9274
2013,"M","70-79",6100
2013,"M","80+",2221
2014,"F","0-9",2878
2014,"F","10-19",8302
2014,"F","20-29",13652
2014,"F","30-39",13650
2014,"F","40-49",13540
2014,"F","50-59",15238
2014,"F","60-69",14087
2014,"F","70-79",10461
2014,"F","80+",5887
2014,"M","0-9",3243
2014,"M","10-19",8655
2014,"M","20-29",14596
2014,"M","30-39",13773
2014,"M","40-49",11505
2014,"M","50-59",11275
2014,"M","60-69",9556
2014,"M","70-79",6158
2014,"M","80+",2373
2015,"F","0-9",2399
2015,"F","10-19",7871
2015,"F","20-29",13214
2015,"F","30-39",13804
2015,"F","40-49",13483
2015,"F","50-59",14939
2015,"F","60-69",14576
2015,"F","70-79",10410
2015,"F","80+",6281
2015,"M","0-9",2730
2015,"M","10-19",8218
2015,"M","20-29",14077
2015,"M","30-39",13972
2015,"M","40-49",11699
2015,"M","50-59",11177
2015,"M","60-69",9902
2015,"M","70-79",6145
2015,"M","80+",2552
2016,"F","0-9",1964
2016,"F","10-19",7370
2016,"F","20-29",12727
2016,"F","30-39",13959
2016,"F","40-49",13484
2016,"F","50-59",14664
2016,"F","60-69",14762
2016,"F","70-79",10539
2016,"F","80+",6702
2016,"M","0-9",2254
2016,"M","10-19",7810
2016,"M","20-29",13558
2016,"M","30-39",14144
2016,"M","40-49",11916
2016,"M","50-59",11046
2016,"M","60-69",9987
2016,"M","70-79",6235
2016,"M","80+",2775
2017,"F","0-9",1607
2017,"F","10-19",6912
2017,"F","20-29",12060
2017,"F","30-39",14204
2017,"F","40-49",13544
2017,"F","50-59",14292
2017,"F","60-69",14889
2017,"F","70-79",10561
2017,"F","80+",7294
2017,"M","0-9",1842
2017,"M","10-19",7395
2017,"M","20-29",12885
2017,"M","30-39",14398
2017,"M","40-49",12207
2017,"M","50-59",10839
2017,"M","60-69",9955
2017,"M","70-79",6380
2017,"M","80+",3029
2018,"F","0-9",1313
2018,"F","10-19",6465
