"concept_id","year","sex","age_group","patient_count","record_count","denominator","prevalence"
702006,2012,"M","50-59",5,5,11368,0.000439831104855735
702006,2013,"M","50-59",6,6,11321,0.000529988516915467
702006,2014,"F","60-69",5,5,14087,0.000354937176119827
702006,2014,"F","70-79",5,5,10461,0.00047796577765032
702006,2014,"M","50-59",5,5,11275,0.000443458980044346
702006,2015,"M","50-59",6,6,11177,0.000536816677104769
702006,2015,"M","60-69",6,6,9902,0.000605938194304181
729855,2012,"F","50-59",5,12,15628,0.000319938571794216
729855,2012,"F","60-69",9,28,12910,0.00069713400464756
729855,2012,"F","70-79",6,21,10408,0.000576479631053036
729855,2013,"F","50-59",5,19,15472,0.000323164426059979
729855,2013,"F","60-69",10,32,13491,0.000741234897338967
729855,2013,"F","70-79",6,23,10478,0.00057262836419164
729855,2014,"F","50-59",5,19,15238,0.000328127050794067
729855,2014,"F","60-69",12,37,14087,0.000851849222687584
729855,2014,"F","70-79",6,23,10461,0.000573558933180384
729855,2015,"F","50-59",7,19,14939,0.000468572193587255
729855,2015,"F","60-69",11,38,14576,0.000754665203073546
729855,2015,"F","70-79",7,27,10410,0.000672430355427474
729855,2016,"F","50-59",5,16,14664,0.000340971085651937
729855,2016,"F","60-69",13,43,14762,0.000880639479745292
729855,2016,"F","70-79",8,29,10539,0.000759085302210836
729855,2017,"F","60-69",17,56,14889,0.00114178252401101
729855,2017,"F","70-79",8,31,10561,0.000757504024240129
729855,2018,"F","60-69",14,46,14989,0.000934018280072053
729855,2018,"F","70-79",6,21,10600,0.000566037735849057
729855,2018,"F","80+",7,26,7789,0.000898703299524971
729855,2019,"F","50-59",5,18,13865,0.000360620266858997
729855,2019,"F","60-69",13,47,14845,0.000875715729201751
729855,2019,"F","70-79",5,16,10817,0.000462235370250532
729855,2019,"F","80+",7,27,8262,0.000847252481239409
729855,2020,"F","50-59",5,18,13699,0.000364990145266078
729855,2020,"F","60-69",14,46,15006,0.000932960149273624
729855,2020,"F","70-79",5,17,10987,0.000455083280240284
729855,2020,"F","80+",7,27,8558,0.000817948118719327
729855,2021,"F","50-59",7,21,13532,0.000517292344073308
729855,2021,"F","60-69",14,44,14915,0.000938652363392558
729855,2021,"F","70-79",5,18,11141,0.0004487927475092
729855,2021,"F","80+",7,27,9026,0.000775537336583204
729855,2022,"F","30-39",6,19,14451,0.000415196180195142
729855,2022,"F","50-59",6,21,13434,0.000446627958910228
729855,2022,"F","60-69",10,37,14797,0.000675812664729337
729855,2022,"F","70-79",8,30,11418,0.00070064809949203
729855,2022,"F","80+",6,21,8954,0.000670091579182488
729855,2023,"F","30-39",6,18,14062,0.000426681837576447
729855,2023,"F","50-59",7,22,13362,0.000523873671606047
729855,2023,"F","60-69",10,39,14637,0.000683200109312017
729855,2023,"F","70-79",11,36,11861,0.000927409156057668
729855,2023,"F","80+",6,21,8824,0.000679963735267452
729855,2024,"F","30-39",5,17,13588,0.000367971739770386
729855,2024,"F","50-59",8,28,13247,0.000603910319317581
729855,2024,"F","60-69",9,30,14433,0.000623570983163583
729855,2024,"F","70-79",12,43,12344,0.000972132209980557
729855,2024,"F","80+",6,20,8774,0.000683838614087075
729855,2024,"M","60-69",5,17,9690,0.000515995872033024
937368,2016,"F","50-59",5,12,14664,0.000340971085651937
937368,2022,"F","50-59",6,28,13434,0.000446627958910228
937368,2022,"M","20-29",7,33,9551,0.000732907548947754
937368,2023,"F","20-29",5,27,8678,0.000576169624337405
937368,2023,"F","50-59",6,38,13362,0.000449034575662326
937368,2023,"F","60-69",5,23,14637,0.000341600054656009
937368,2023,"M","20-29",8,37,9011,0.000887803795361225
937368,2024,"F","20-29",6,32,8280,0.00072463768115942
937368,2024,"F","50-59",5,31,13247,0.000377443949573488
937368,2024,"F","60-69",5,29,14433,0.000346428323979769
937368,2024,"M","20-29",6,28,8613,0.000696621386276559
937368,2024,"M","30-39",6,32,14424,0.000415973377703827
974166,2013,"F","60-69",5,5,13491,0.000370617448669483
1304850,2012,"F","20-29",6,19,14521,0.000413194683561738
1304850,2012,"F","30-39",7,20,13381,0.00052312981092594
1304850,2012,"F","40-49",18,53,13701,0.0013137727173199
1304850,2012,"F","50-59",20,60,15628,0.00127975428717686
1304850,2012,"F","60-69",31,66,12910,0.0024012393493416
