"concept_id","n_patients","n_records"
1354698,77,80
1310317,71,78
1703063,62,206
1309204,53,55
1332418,49,49
1334456,45,45
1757803,43,69
1341927,35,35
1317640,30,30
1501700,27,27
1539403,26,26
1510813,23,23
1593467,21,306
904351,20,22
1352213,20,308
1503297,20,20
1110942,18,476
923645,17,17
1363749,17,17
902727,16,55
1310149,16,16
1314577,16,16
1512674,16,16
1545958,16,16
19054702,16,23
40241969,13,88
715233,12,64
19097684,12,12
42873638,12,130
902427,11,12
19004539,11,11
1304565,10,11
1351557,10,10
1352141,10,15
1383815,10,10
19136207,10,17
35602981,10,10
44785885,10,18
954688,9,9
1167322,9,9
1308842,9,9
1353776,9,9
1395573,9,41
1196677,8,8
1353256,8,8
1367500,8,8
1519936,8,8
1548195,8,8
924566,7,7
939259,7,7
978555,7,7
1124300,7,7
1580747,7,7
1588000,7,7
1597756,7,7
1707687,7,30
19020061,7,7
40684649,7,7
739138,6,6
904501,6,6
1315942,6,17
1344354,6,7
1350504,6,7
1366610,6,60
1373225,6,6
1502905,6,6
19015802,6,6
19078187,6,7
37499031,6,11
755695,5,5
1149380,5,5
1383925,5,5
1397141,5,15
1521369,5,5
19054876,5,5
