"concept_id","year","sex","age_group","patient_count","record_count","denominator","prevalence"
506795,2017,"F","40-49",5,5,13544,0.000369167158889545
506795,2017,"F","50-59",5,5,14292,0.000349846067730199
506795,2022,"F","50-59",8,8,13434,0.000595503945213637
506795,2023,"F","40-49",7,7,13319,0.000525564982356033
506795,2023,"F","50-59",5,5,13362,0.000374195479718605
506795,2023,"F","60-69",9,9,14637,0.000614880098380816
506795,2024,"F","30-39",7,8,13588,0.00051516043567854
506795,2024,"F","40-49",8,9,13482,0.000593383770953864
506795,2024,"F","50-59",11,11,13247,0.000830376689061674
506795,2024,"F","60-69",8,8,14433,0.00055428531836763
506795,2024,"F","70-79",9,9,12344,0.000729099157485418
604177,2012,"F","20-29",5,6,14521,0.000344328902968115
604177,2012,"F","30-39",11,11,13381,0.000822061131455048
604177,2012,"F","40-49",9,9,13701,0.000656886358659952
604177,2012,"F","50-59",11,11,15628,0.000703864857947274
604177,2012,"F","60-69",20,22,12910,0.00154918667699458
604177,2012,"F","70-79",20,22,10408,0.00192159877017679
604177,2012,"F","80+",6,6,4996,0.00120096076861489
604177,2012,"M","20-29",10,12,15213,0.00065733254453428
604177,2012,"M","30-39",10,15,13328,0.000750300120048019
604177,2012,"M","40-49",14,16,11303,0.00123860921879147
604177,2012,"M","50-59",27,35,11368,0.00237508796622097
604177,2012,"M","60-69",36,41,8889,0.0040499493756328
604177,2012,"M","70-79",21,33,6032,0.00348143236074271
604177,2012,"M","80+",8,24,1982,0.00403632694248234
604177,2013,"F","30-39",9,10,13472,0.000668052256532066
604177,2013,"F","40-49",7,7,13649,0.00051285808484138
604177,2013,"F","50-59",22,22,15472,0.00142192347466391
604177,2013,"F","60-69",23,29,13491,0.00170484026387962
604177,2013,"F","70-79",26,33,10478,0.00248138957816377
604177,2013,"F","80+",9,17,5460,0.00164835164835165
604177,2013,"M","10-19",7,13,9052,0.000773309765797614
604177,2013,"M","20-29",7,7,14956,0.000468039582776143
604177,2013,"M","30-39",6,6,13546,0.000442935183818101
604177,2013,"M","40-49",9,11,11393,0.000789958746598789
604177,2013,"M","50-59",18,23,11321,0.0015899655507464
604177,2013,"M","60-69",30,42,9274,0.00323485011861117
604177,2013,"M","70-79",30,54,6100,0.00491803278688525
604177,2013,"M","80+",15,20,2221,0.00675371454299865
604177,2014,"F","30-39",8,9,13650,0.000586080586080586
604177,2014,"F","40-49",8,16,13540,0.000590841949778434
604177,2014,"F","50-59",17,49,15238,0.00111563197269983
604177,2014,"F","60-69",13,16,14087,0.00092283665791155
604177,2014,"F","70-79",18,19,10461,0.00172067679954115
604177,2014,"F","80+",11,15,5887,0.00186852386614574
604177,2014,"M","30-39",10,12,13773,0.000726058229870036
604177,2014,"M","40-49",14,25,11505,0.00121686223381139
604177,2014,"M","50-59",23,29,11275,0.00203991130820399
604177,2014,"M","60-69",35,39,9556,0.00366262034323985
604177,2014,"M","70-79",23,43,6158,0.00373497888924976
604177,2014,"M","80+",7,14,2373,0.00294985250737463
604177,2015,"F","20-29",5,7,13214,0.000378386559709399
604177,2015,"F","30-39",7,7,13804,0.00050709939148073
604177,2015,"F","40-49",8,9,13483,0.000593339761180746
604177,2015,"F","50-59",12,13,14939,0.000803266617578151
604177,2015,"F","60-69",18,39,14576,0.00123490669593853
604177,2015,"F","70-79",17,19,10410,0.00163304514889529
604177,2015,"F","80+",13,22,6281,0.0020697341187709
604177,2015,"M","20-29",5,10,14077,0.000355189315905378
604177,2015,"M","30-39",17,28,13972,0.0012167191525909
604177,2015,"M","40-49",19,30,11699,0.00162407043337037
604177,2015,"M","50-59",20,25,11177,0.00178938892368256
604177,2015,"M","60-69",36,44,9902,0.00363562916582509
604177,2015,"M","70-79",34,63,6145,0.00553295362082994
604177,2015,"M","80+",10,14,2552,0.00391849529780564
604177,2016,"F","20-29",5,5,12727,0.000392865561404887
604177,2016,"F","30-39",9,10,13959,0.000644745325596389
604177,2016,"F","40-49",10,19,13484,0.000741619697419163
604177,2016,"F","50-59",8,10,14664,0.000545553737043099
604177,2016,"F","60-69",15,17,14762,0.00101612247662918
604177,2016,"F","70-79",21,25,10539,0.00199259891830344
604177,2016,"F","80+",11,15,6702,0.00164130110414802
604177,2016,"M","20-29",5,12,13558,0.000368785956630772
604177,2016,"M","30-39",12,12,14144,0.00084841628959276
604177,2016,"M","40-49",12,16,11916,0.00100704934541793
604177,2016,"M","50-59",39,46,11046,0.00353068984247691
604177,2016,"M","60-69",37,63,9987,0.00370481626113948
604177,2016,"M","70-79",27,60,6235,0.00433039294306335
604177,2016,"M","80+",14,36,2775,0.00504504504504504
