"concept_id","n_patients","n_records"
4162299,478,478
4102383,164,172
4141907,146,163
4012317,142,146
40492327,138,148
4048948,135,138
4079766,135,143
4339601,134,136
4298560,132,132
4021322,130,163
4041249,130,163
40489396,123,126
1245449,121,121
40488890,118,119
4321596,116,131
4074687,113,124
604319,108,130
4098786,108,123
4146214,107,109
4193922,107,109
40493292,106,144
4020329,104,104
4122103,104,111
4125482,101,101
4346516,100,174
4039376,98,129
4042907,98,98
4202563,98,98
4068675,97,114
40487349,96,97
4073393,94,104
4077778,94,95
4111540,94,95
4194197,94,95
4173712,91,94
4338818,90,90
4027426,89,91
4159766,89,94
4343795,87,87
4164907,85,87
4323042,85,90
4217829,83,83
4045610,82,99
4143656,82,84
4216307,81,87
1243263,79,84
4103380,79,83
37157813,79,87
4139026,78,82
4242873,78,78
4340646,78,93
4334592,77,111
40489379,77,100
43531086,77,79
4219780,76,76
4269838,76,77
4198242,72,72
4070834,71,75
4188466,70,95
4198603,70,80
4290250,70,72
42872810,70,87
4144723,68,76
4334652,68,76
4301065,66,68
4020472,65,67
4311041,65,69
4337034,65,85
46270663,65,65
4006849,64,71
4072024,64,68
4097958,64,64
4304536,64,65
44782479,63,63
4179363,62,62
4199705,62,77
4072156,61,61
4075144,61,61
4184187,61,61
4187383,61,100
4142625,60,93
4311424,60,64
4337061,60,60
4185366,59,61
4200997,59,61
4072073,58,62
4111233,58,61
4146781,58,60
4227911,58,60
4244871,58,60
40310989,58,59
4067379,57,119
4222733,57,57
4287790,57,59
4067560,56,56
4118717,56,60
4268189,56,56
4167183,55,64
4205229,55,57
4076608,54,57
4146119,54,55
4245362,54,65
4021362,53,61
40479379,53,56
4052536,52,340
4074152,52,56
4278676,52,117
4079651,51,53
4080019,51,51
4123735,51,56
4145886,51,52
4170947,51,52
4181781,51,51
4046923,50,55
4052115,50,51
4228305,50,50
4284254,50,77
4314436,50,50
4137700,49,49
4168133,49,49
4183841,49,56
4306203,49,52
4309648,49,50
4299447,48,88
3655086,47,62
4073385,46,48
4114776,46,47
4144827,46,64
4196148,46,46
40489836,46,47
4084965,45,45
4238120,45,45
4019134,44,46
4049551,44,44
4087889,44,81
4207360,44,46
4214428,44,45
4240584,44,46
4253894,44,44
4325283,44,44
4003896,43,43
4071494,43,46
4121863,43,45
4137375,43,43
4147379,43,132
4200280,43,43
4226178,43,52
4232331,43,43
4297967,43,49
4337610,43,45
4102081,42,45
4210602,42,45
4299367,42,47
4303376,42,42
43531082,42,42
4069384,41,41
4070228,41,41
4144859,41,41
4221619,41,41
40489321,41,66
4068911,40,59
4071015,40,46
4177823,40,40
4048987,39,39
4059072,39,40
4099462,39,66
4129747,39,39
4137462,39,61
4188048,39,41
4038335,38,39
4074013,38,42
4203632,38,38
4249123,38,41
4250892,38,40
4324124,38,565
36713060,38,38
4069463,37,37
4085923,37,37
4177376,37,64
4231432,37,37
4308662,37,44
4022807,36,60
4060397,36,38
4102235,36,36
37206727,36,46
43531134,36,36
4002243,35,35
4060257,35,36
4078220,35,36
4099524,35,35
4134148,35,37
4158696,35,49
4179027,35,47
4194253,35,36
4198857,35,47
4203990,35,40
4216088,35,42
4262568,35,35
4280601,35,36
40480282,35,35
40492792,35,37
4049816,34,34
4051157,34,36
4075903,34,34
4124529,34,35
4236009,34,35
4265898,34,34
4287693,34,35
4010266,33,37
4052113,33,34
4071518,33,33
4128302,33,55
4202369,33,46
4214034,33,40
4221381,33,50
4300370,33,33
4300860,33,36
