"concept_id","chapter_type","chapter_id","chapter_name","chapter_level","parent_chapter_id"
72926,"body_system",4176644,"Disorder of auditory system",1,NA
74052,"body_system",4176644,"Disorder of auditory system",1,NA
78162,"body_system",4176644,"Disorder of auditory system",1,NA
79833,"body_system",4176644,"Disorder of auditory system",1,NA
81303,"body_system",4176644,"Disorder of auditory system",1,NA
81878,"body_system",4176644,"Disorder of auditory system",1,NA
260730,"body_system",4176644,"Disorder of auditory system",1,NA
372324,"body_system",4176644,"Disorder of auditory system",1,NA
372328,"body_system",4176644,"Disorder of auditory system",1,NA
374366,"body_system",4176644,"Disorder of auditory system",1,NA
374375,"body_system",4176644,"Disorder of auditory system",1,NA
374801,"body_system",4176644,"Disorder of auditory system",1,NA
374948,"body_system",4176644,"Disorder of auditory system",1,NA
374957,"body_system",4176644,"Disorder of auditory system",1,NA
375277,"body_system",4176644,"Disorder of auditory system",1,NA
375290,"body_system",4176644,"Disorder of auditory system",1,NA
375292,"body_system",4176644,"Disorder of auditory system",1,NA
375819,"body_system",4176644,"Disorder of auditory system",1,NA
375820,"body_system",4176644,"Disorder of auditory system",1,NA
375824,"body_system",4176644,"Disorder of auditory system",1,NA
375827,"body_system",4176644,"Disorder of auditory system",1,NA
375828,"body_system",4176644,"Disorder of auditory system",1,NA
376425,"body_system",4176644,"Disorder of auditory system",1,NA
376578,"body_system",4176644,"Disorder of auditory system",1,NA
376712,"body_system",4176644,"Disorder of auditory system",1,NA
377573,"body_system",4176644,"Disorder of auditory system",1,NA
377574,"body_system",4176644,"Disorder of auditory system",1,NA
377884,"body_system",4176644,"Disorder of auditory system",1,NA
377886,"body_system",4176644,"Disorder of auditory system",1,NA
377888,"body_system",4176644,"Disorder of auditory system",1,NA
377889,"body_system",4176644,"Disorder of auditory system",1,NA
378160,"body_system",4176644,"Disorder of auditory system",1,NA
378161,"body_system",4176644,"Disorder of auditory system",1,NA
378434,"body_system",4176644,"Disorder of auditory system",1,NA
378436,"body_system",4176644,"Disorder of auditory system",1,NA
378548,"body_system",4176644,"Disorder of auditory system",1,NA
378765,"body_system",4176644,"Disorder of auditory system",1,NA
378849,"body_system",4176644,"Disorder of auditory system",1,NA
379832,"body_system",4176644,"Disorder of auditory system",1,NA
380421,"body_system",4176644,"Disorder of auditory system",1,NA
380428,"body_system",4176644,"Disorder of auditory system",1,NA
380731,"body_system",4176644,"Disorder of auditory system",1,NA
381040,"body_system",4176644,"Disorder of auditory system",1,NA
381301,"body_system",4176644,"Disorder of auditory system",1,NA
381302,"body_system",4176644,"Disorder of auditory system",1,NA
381306,"body_system",4176644,"Disorder of auditory system",1,NA
381574,"body_system",4176644,"Disorder of auditory system",1,NA
381575,"body_system",4176644,"Disorder of auditory system",1,NA
381585,"body_system",4176644,"Disorder of auditory system",1,NA
381592,"body_system",4176644,"Disorder of auditory system",1,NA
381859,"body_system",4176644,"Disorder of auditory system",1,NA
433495,"body_system",4176644,"Disorder of auditory system",1,NA
436421,"body_system",4176644,"Disorder of auditory system",1,NA
437496,"body_system",4176644,"Disorder of auditory system",1,NA
438167,"body_system",4176644,"Disorder of auditory system",1,NA
439035,"body_system",4176644,"Disorder of auditory system",1,NA
439264,"body_system",4176644,"Disorder of auditory system",1,NA
442641,"body_system",4176644,"Disorder of auditory system",1,NA
444410,"body_system",4176644,"Disorder of auditory system",1,NA
444462,"body_system",4176644,"Disorder of auditory system",1,NA
4033297,"body_system",4176644,"Disorder of auditory system",1,NA
4034214,"body_system",4176644,"Disorder of auditory system",1,NA
4085406,"body_system",4176644,"Disorder of auditory system",1,NA
4096343,"body_system",4176644,"Disorder of auditory system",1,NA
4106678,"body_system",4176644,"Disorder of auditory system",1,NA
4110815,"body_system",4176644,"Disorder of auditory system",1,NA
4145094,"body_system",4176644,"Disorder of auditory system",1,NA
4166587,"body_system",4176644,"Disorder of auditory system",1,NA
4170135,"body_system",4176644,"Disorder of auditory system",1,NA
4170137,"body_system",4176644,"Disorder of auditory system",1,NA
4180634,"body_system",4176644,"Disorder of auditory system",1,NA
4180713,"body_system",4176644,"Disorder of auditory system",1,NA
4185093,"body_system",4176644,"Disorder of auditory system",1,NA
4242514,"body_system",4176644,"Disorder of auditory system",1,NA
4247350,"body_system",4176644,"Disorder of auditory system",1,NA
4249596,"body_system",4176644,"Disorder of auditory system",1,NA
4334404,"body_system",4176644,"Disorder of auditory system",1,NA
4335747,"body_system",4176644,"Disorder of auditory system",1,NA
4336157,"body_system",4176644,"Disorder of auditory system",1,NA
4339469,"body_system",4176644,"Disorder of auditory system",1,NA
4339476,"body_system",4176644,"Disorder of auditory system",1,NA
37110393,"body_system",4176644,"Disorder of auditory system",1,NA
40489808,"body_system",4176644,"Disorder of auditory system",1,NA
45757259,"body_system",4176644,"Disorder of auditory system",1,NA
45770904,"body_system",4176644,"Disorder of auditory system",1,NA
72390,"body_system",77030,"Disorder of breast",1,NA
72576,"body_system",77030,"Disorder of breast",1,NA
