"concept_id","concept_name","concept_code","vocabulary_id","concept_class_id","n_patients_total","n_records_total"
319034,"Hypertensive heart disease without congestive heart failure","60899001","SNOMED","Disorder",16248,55296
314378,"Hypertensive heart disease with congestive heart failure","5148006","SNOMED","Disorder",10253,36827
4033837,"Melanocytic nevus of trunk","109283002","SNOMED","Disorder",9482,22713
4068155,"Atrial arrhythmia","17366009","SNOMED","Disorder",8743,39225
4216397,"Nerve root disorder","72274001","SNOMED","Disorder",8494,20024
439297,"Nuclear senile cataract","193589009","SNOMED","Disorder",8334,20544
40484028,"Dental caries extending into dentin","442551007","SNOMED","Disorder",8018,43565
320128,"Essential hypertension","59621000","SNOMED","Disorder",7791,22529
201826,"Type 2 diabetes mellitus","44054006","SNOMED","Disorder",6816,38687
319835,"Congestive heart failure","42343007","SNOMED","Disorder",6695,25900
200219,"Abdominal pain","21522001","SNOMED","Clinical Finding",6545,9022
4217557,"Simple obesity","415530009","SNOMED","Disorder",6447,23305
194133,"Low back pain","279039007","SNOMED","Clinical Finding",6356,10263
198803,"Benign prostatic hyperplasia","266569009","SNOMED","Disorder",6174,31556
23220,"Chronic tonsillitis","90979004","SNOMED","Disorder",6131,10712
40482507,"Incipient senile cataract","445213003","SNOMED","Disorder",6000,14052
200445,"Chronic prostatitis","19905009","SNOMED","Disorder",5991,33522
376707,"Acute conjunctivitis","53726008","SNOMED","Disorder",5935,8570
40568467,"Seborrheic keratosis","394726009","SNOMED","Disorder",5911,14933
440129,"Hypertrophy of nasal turbinates","17467004","SNOMED","Disorder",5564,9926
4305500,"Vasomotor rhinitis","8229003","SNOMED","Disorder",5178,8542
81902,"Urinary tract infectious disease","68566005","SNOMED","Disorder",5130,9939
441641,"Delivery normal","48782003","SNOMED","Clinical Finding",5071,7329
438788,"Hypertrophy of adenoids","111591002","SNOMED","Disorder",4983,8277
140641,"Verruca vulgaris","57019003","SNOMED","Disorder",4957,17516
75344,"Intervertebral disc disorder","36427004","SNOMED","Disorder",4930,10913
4227594,"Acne vulgaris","88616000","SNOMED","Disorder",4878,16749
4110815,"Sensorineural hearing loss of bilateral ears","194424005","SNOMED","Disorder",4842,16481
4205240,"Spontaneous vertex delivery","309469004","SNOMED","Clinical Finding",4800,6820
443732,"Disorder due to type 2 diabetes mellitus","422014003","SNOMED","Disorder",4735,22587
440029,"Viral disease","34014006","SNOMED","Disorder",4731,6238
4079750,"Osteoarthritis of knee","239873007","SNOMED","Disorder",4706,10689
4144111,"Gastroesophageal reflux disease without esophagitis","266435005","SNOMED","Disorder",4509,12034
436659,"Iron deficiency anemia","87522002","SNOMED","Disorder",4505,13844
196738,"Disorder of male genital organ","64557000","SNOMED","Disorder",4428,10485
42537727,"Degeneration of posterior pole of eye","737273002","SNOMED","Disorder",4419,23694
257007,"Allergic rhinitis","61582004","SNOMED","Disorder",4402,12512
81151,"Sprain of ankle","44465007","SNOMED","Disorder",4393,5714
438720,"Mixed hyperlipidemia","267434003","SNOMED","Disorder",4367,11131
376415,"Hypermetropia","38101003","SNOMED","Disorder",4282,7663
379805,"Myopia","57190000","SNOMED","Disorder",4247,8602
321318,"Angina pectoris","194828000","SNOMED","Disorder",4134,10143
433316,"Dizziness and giddiness","271789005","SNOMED","Clinical Finding",4133,7616
313459,"Sleep apnea","73430006","SNOMED","Disorder",4119,24868
133834,"Atopic dermatitis","24079001","SNOMED","Disorder",4118,12491
45766714,"Inflammatory dermatosis","703938007","SNOMED","Disorder",4115,9293
4094343,"Dislocations/sprains/strains","287091008","SNOMED","Disorder",4112,6670
77074,"Pain of joint","57676002","SNOMED","Clinical Finding",4042,6406
435262,"Primary open angle glaucoma","77075001","SNOMED","Disorder",3936,34616
257011,"Acute upper respiratory infection","54398005","SNOMED","Disorder",3880,5104
4227449,"Spondylosis","8847002","SNOMED","Disorder",3867,7859
375827,"Acute non-suppurative serous otitis media","194240006","SNOMED","Disorder",3775,5604
4217669,"Candidal vulvovaginitis","72605008","SNOMED","Disorder",3756,7488
37399393,"Symptomatic periapical periodontitis","718053009","SNOMED","Disorder",3675,5739
317009,"Asthma","195967001","SNOMED","Disorder",3588,12268
4240538,"Acute pericoronitis","91863007","SNOMED","Disorder",3539,6349
136057,"Benign neoplasm of skin of trunk","92380000","SNOMED","Disorder",3524,7519
314666,"Old myocardial infarction","1755008","SNOMED","Disorder",3520,15364
132797,"Sepsis","91302008","SNOMED","Disorder",3493,7802
377910,"Deviated nasal septum","126660000","SNOMED","Disorder",3431,6784
4114585,"Primary gonarthrosis, bilateral","201841000","SNOMED","Disorder",3387,7789
40400344,"Acquired pes planus","203534009","SNOMED","Disorder",3381,5250
140648,"Onychomycosis due to dermatophyte","402134005","SNOMED","Disorder",3205,11028
378253,"Headache","25064002","SNOMED","Clinical Finding",3177,4769
37018293,"Inflammatory disorder of jaw region","714750008","SNOMED","Disorder",3136,6955
35624213,"Secondary cataract","766834007","SNOMED","Disorder",3131,6617
77670,"Chest pain","29857009","SNOMED","Clinical Finding",3115,3960
436070,"Vitamin D deficiency","34713006","SNOMED","Disorder",3100,5521
200174,"Disorder of skin and/or subcutaneous tissue","80659006","SNOMED","Disorder",3091,5361
73649,"Contusion of finger","69787006","SNOMED","Disorder",3041,3615
4145497,"Intrinsic asthma","266361008","SNOMED","Disorder",3037,11275
73553,"Arthropathy","399269003","SNOMED","Disorder",3033,6672
378424,"Astigmatism","82649003","SNOMED","Disorder",3032,6518
432768,"Corneal foreign body","37450000","SNOMED","Disorder",3032,4617
140673,"Hypothyroidism","40930008","SNOMED","Disorder",3014,11443
437246,"Vitamin B deficiency","47903000","SNOMED","Disorder",3005,8382
4004352,"Irritant contact dermatitis","110979008","SNOMED","Disorder",2992,5880
380094,"Carpal tunnel syndrome","57406009","SNOMED","Disorder",2938,6899
434701,"Anemia in mother complicating pregnancy, childbirth AND/OR puerperium","45828008","SNOMED","Disorder",2898,6018
