"concept_id","year","sex","age_group","patient_count","record_count","denominator","prevalence"
22340,2024,"M","50-59",5,8,9896,0.000505254648342765
22350,2012,"M","0-9",5,5,10764,0.000464511334076551
22492,2014,"M","20-29",6,6,13151,0.000456239069272299
22492,2015,"F","0-9",5,5,9691,0.000515942627179858
22492,2015,"F","50-59",7,7,11143,0.000628197074396482
22492,2016,"M","40-49",5,5,10763,0.00046455449224194
22492,2017,"F","60-69",5,6,10167,0.000491787154519524
22492,2017,"M","0-9",6,6,10692,0.000561167227833895
22492,2018,"M","0-9",5,5,10526,0.000475014250427513
22492,2019,"F","40-49",5,5,10566,0.000473215975771342
22492,2021,"F","40-49",5,5,10469,0.000477600534912599
22492,2021,"M","30-39",5,6,13623,0.000367026352492109
22492,2022,"M","0-9",5,5,7938,0.000629881582262535
22839,2018,"M","60-69",5,39,8311,0.000601612321020335
23034,2014,"M","0-9",6,6,10877,0.000551622690079985
23034,2015,"M","0-9",5,5,10846,0.000460999446800664
23034,2017,"M","0-9",10,14,10692,0.000935278713056491
23034,2018,"M","0-9",5,5,10526,0.000475014250427513
23034,2019,"M","0-9",8,8,10333,0.000774218523178167
23034,2021,"M","0-9",5,5,9605,0.000520562207183758
23034,2023,"M","0-9",5,9,7458,0.000670421024403325
23034,2024,"M","0-9",7,16,6833,0.00102444021659593
23220,2012,"F","0-9",50,59,9875,0.00506329113924051
23220,2012,"F","10-19",110,144,9382,0.0117245789810275
23220,2012,"F","20-29",114,134,12464,0.00914634146341463
23220,2012,"F","30-39",77,90,10555,0.00729512079583136
23220,2012,"F","40-49",60,86,10804,0.00555349870418364
23220,2012,"F","50-59",61,80,11252,0.00542125844294348
23220,2012,"F","60-69",22,30,8775,0.00250712250712251
23220,2012,"F","70-79",6,8,7236,0.000829187396351575
23220,2012,"M","0-9",67,88,10764,0.00622445187662579
23220,2012,"M","10-19",95,122,9359,0.0101506571214873
23220,2012,"M","20-29",92,129,13713,0.00670896229854882
23220,2012,"M","30-39",70,102,11642,0.00601271259233809
23220,2012,"M","40-49",45,92,10315,0.00436257876878332
23220,2012,"M","50-59",12,26,9717,0.00123494905835134
23220,2012,"M","60-69",7,10,7002,0.000999714367323622
23220,2013,"F","0-9",44,57,9804,0.00448796409628723
23220,2013,"F","10-19",119,145,9222,0.0129039253957927
23220,2013,"F","20-29",130,165,12245,0.0106165781951817
23220,2013,"F","30-39",71,110,10739,0.0066114163329919
23220,2013,"F","40-49",60,88,10794,0.00555864369093941
23220,2013,"F","50-59",42,59,11275,0.00372505543237251
23220,2013,"F","60-69",26,28,9031,0.00287897242830251
23220,2013,"F","70-79",7,7,7331,0.000954849270222343
23220,2013,"M","0-9",72,89,10866,0.00662617338487024
23220,2013,"M","10-19",90,126,9089,0.0099020794366817
23220,2013,"M","20-29",98,120,13453,0.00728462053073664
23220,2013,"M","30-39",52,79,11869,0.00438116100766703
23220,2013,"M","40-49",51,75,10406,0.00490101864309052
23220,2013,"M","50-59",15,24,9847,0.00152330659083985
23220,2013,"M","60-69",8,11,7246,0.00110405741098537
23220,2014,"F","0-9",34,38,9747,0.00348825279573202
23220,2014,"F","10-19",97,117,9099,0.0106605121441917
23220,2014,"F","20-29",111,139,11977,0.00926776321282458
23220,2014,"F","30-39",84,101,10910,0.0076993583868011
23220,2014,"F","40-49",55,74,10753,0.00511485166930159
23220,2014,"F","50-59",43,53,11278,0.0038127327540344
23220,2014,"F","60-69",19,20,9343,0.00203360804880659
23220,2014,"M","0-9",51,57,10877,0.00468879286567987
23220,2014,"M","10-19",80,99,8976,0.0089126559714795
23220,2014,"M","20-29",84,105,13151,0.00638734696981218
23220,2014,"M","30-39",54,74,12089,0.00446687070890893
23220,2014,"M","40-49",37,62,10419,0.00355120453018524
23220,2014,"M","50-59",27,37,9897,0.0027280994240679
23220,2015,"F","0-9",37,43,9691,0.00381797544113095
23220,2015,"F","10-19",75,88,8970,0.00836120401337793
23220,2015,"F","20-29",88,101,11724,0.00750597065847834
23220,2015,"F","30-39",61,70,11061,0.00551487207304945
23220,2015,"F","40-49",44,51,10736,0.00409836065573771
23220,2015,"F","50-59",29,42,11143,0.00260253073678543
23220,2015,"F","60-69",11,17,9740,0.00112936344969199
23220,2015,"M","0-9",45,55,10846,0.00414899502120597
23220,2015,"M","10-19",73,87,8982,0.0081273658427967
23220,2015,"M","20-29",62,79,12774,0.00485360889306404
23220,2015,"M","30-39",46,69,12288,0.00374348958333333
23220,2015,"M","40-49",24,42,10553,0.00227423481474462
23220,2015,"M","50-59",18,30,9891,0.00181983621474067
23220,2015,"M","60-69",9,24,7868,0.00114387391967463
23220,2016,"F","0-9",41,53,9571,0.00428377390032389
23220,2016,"F","10-19",87,109,8822,0.00986170936295625
23220,2016,"F","20-29",83,87,11460,0.00724258289703316
23220,2016,"F","30-39",59,71,11274,0.00523328011353557
23220,2016,"F","40-49",39,44,10770,0.00362116991643454
23220,2016,"F","50-59",25,31,11003,0.00227210760701627
23220,2016,"F","60-69",11,12,9975,0.00110275689223058
23220,2016,"M","0-9",36,40,10802,0.00333271616367339
23220,2016,"M","10-19",45,54,8972,0.00501560410164958
23220,2016,"M","20-29",69,85,12326,0.00559792308940451
23220,2016,"M","30-39",53,83,12419,0.00426765440051534
23220,2016,"M","40-49",39,53,10763,0.00362352503948713
