"concept_id","n_patients","n_records"
133637,197,479
253796,175,235
133294,161,222
194990,153,355
195306,151,201
138102,148,209
4057183,145,364
4177025,144,389
4319151,138,668
374034,136,208
4329041,135,228
4308074,129,254
373648,128,146
196152,126,168
260754,126,182
4200649,126,259
45757591,125,197
46269791,123,277
193402,121,132
441177,121,257
444190,121,298
4148906,116,207
4185711,116,161
37016130,115,151
201965,114,117
4106678,114,124
4055610,113,207
4278672,113,239
4096616,112,140
321042,110,120
4221189,109,312
376425,107,198
4168213,107,113
4065997,106,126
4208786,106,174
134438,105,267
374313,105,191
444449,105,182
4214376,105,139
373203,103,192
196365,100,245
198334,100,124
316084,100,150
320741,100,488
4082029,100,140
4055709,99,117
441973,98,209
4006163,98,191
4256228,98,121
374360,97,233
4025663,97,125
4317150,97,108
4319889,96,226
372409,94,126
4011508,94,132
136853,93,203
138565,93,177
375292,93,164
444097,93,309
37016847,93,116
433516,91,178
4027729,91,116
43531027,91,149
254068,90,107
4308632,90,290
79903,89,150
134159,89,98
136496,89,120
377546,89,204
378741,89,175
37119234,89,186
444115,88,139
4173450,88,116
4177206,88,126
192606,87,234
199064,87,186
436670,87,255
201337,86,193
254669,86,147
440668,86,129
4173780,86,123
45770919,86,196
31602,85,150
192953,85,108
318772,85,127
442141,85,195
4003693,85,865
374009,84,470
377270,84,304
434084,84,106
4173734,84,122
4209746,84,163
4266046,84,113
141004,83,166
199837,83,326
261255,83,165
4009187,83,288
4108677,83,109
40489907,83,98
137977,82,121
373764,82,151
438440,82,349
444450,82,190
37205092,82,220
40481327,82,109
81893,81,208
199866,81,169
380421,81,133
4122221,81,199
4164457,81,131
4285734,81,132
37164468,81,154
79104,80,119
44783029,80,98
25572,79,110
315085,79,147
437496,79,121
4241033,79,84
135208,78,105
321887,78,241
381278,78,191
4334404,78,100
201529,77,248
4242514,77,123
436080,76,128
4272156,76,436
4280354,76,143
36686082,76,126
444453,75,123
4051332,75,119
4178976,75,90
4307774,75,109
252351,74,116
435850,74,129
27587,73,111
140090,73,137
195240,73,136
317002,73,109
374025,73,166
374954,73,232
377845,73,113
433909,73,87
435666,73,161
438028,73,112
4012455,73,161
4110023,73,129
4129393,73,147
36715577,73,104
201612,72,116
435371,72,81
4053654,72,77
4064028,72,138
4237062,72,137
4329445,72,107
197917,71,144
441830,71,94
444243,71,517
4228802,71,261
4244662,71,153
42537304,71,140
132466,70,76
316457,70,91
437828,70,144
443588,70,369
4134325,70,243
4134603,70,87
4347178,70,93
43531028,70,104
137829,69,748
193238,69,93
201614,69,78
4094118,69,94
4338523,69,123
4338843,69,114
23798,68,84
441701,68,75
4038835,68,638
4056581,68,147
4327030,68,135
79917,67,126
193242,67,148
321052,67,124
376690,67,78
4031109,67,224
4168796,67,75
78228,66,100
80946,66,159
139850,66,88
253121,66,278
436251,66,152
437584,66,119
4052655,66,105
4129404,66,90
4239487,66,113
4319447,66,83
43530691,66,124
45757682,66,211
201595,65,91
376401,65,122
381035,65,99
4066735,65,121
4216644,65,98
4243291,65,193
4292673,65,174
4347302,65,111
37165685,65,249
261880,64,113
4129364,64,210
4138962,64,87
4232181,64,81
4332304,64,86
37311900,64,121
75580,63,416
78524,63,125
373175,63,279
4066819,63,150
4325125,63,92
80232,62,168
139841,62,133
381572,62,176
441334,62,128
46271739,62,176
193249,61,79
197925,61,83
199754,61,213
381021,61,258
4302740,61,130
37118667,61,138
78832,60,167
137016,60,75
198108,60,62
313989,60,72
316501,60,248
4061844,60,104
43530727,60,84
75039,59,107
137520,59,119
194683,59,92
436252,59,144
4056428,59,80
4094683,59,67
36676291,59,115
40481101,59,176
23986,58,341
72421,58,111
377821,58,302
378423,58,305
440374,58,596
441829,58,71
4101602,58,273
4102334,58,88
4167984,58,196
4184423,58,79
4300110,58,151
73001,57,86
75091,57,118
132579,57,210
4057180,57,58
4058225,57,83
4220238,57,302
4317284,57,65
138148,56,103
193431,56,124
443735,56,106
4057044,56,57
4059751,56,56
4143351,56,176
73065,55,60
81660,55,77
376686,55,179
441974,55,101
4022202,55,70
4043731,55,90
4135466,55,74
4195873,55,65
4330878,55,117
196328,54,65
199067,54,68
201901,54,87
312349,54,80
442105,54,71
4056004,54,64
4056296,54,293
4168152,54,78
4201174,54,103
4334245,54,123
257907,53,111
4134552,53,211
134735,52,211
253954,52,118
316998,52,96
4194652,52,73
46273178,52,116
432904,51,105
433456,51,81
436147,51,70
4000982,51,90
4110948,51,175
40491339,51,103
46273162,51,60
196162,50,59
312653,50,96
314054,50,82
435517,50,58
435783,50,188
4015743,50,164
4031757,50,73
4147025,50,60
4306943,50,59
196455,49,71
200687,49,246
257905,49,117
320136,49,117
432966,49,95
435835,49,200
440448,49,68
4056780,49,55
4057177,49,112
4262562,49,70
4347296,49,241
42709742,49,55
79864,48,96
192956,48,52
380055,48,153
432941,48,67
433976,48,564
434281,48,265
437540,48,147
441805,48,411
4008356,48,111
4050690,48,75
4108537,48,283
4109197,48,101
4182983,48,81
199913,47,105
200527,47,89
257008,47,56
381869,47,79
4003487,47,348
4013596,47,74
4030518,47,448
4062133,47,65
4066824,47,241
4153877,47,118
4345599,47,75
42535424,47,79
141960,46,62
195480,46,318
442562,46,55
4062557,46,51
4071164,46,70
4090111,46,57
4093950,46,207
4096196,46,60
4111709,46,66
4213310,46,250
4246658,46,57
4274184,46,226
4276036,46,116
4345447,46,59
36674267,46,86
40441585,46,96
43531046,46,114
76611,45,60
80482,45,81
134661,45,97
195300,45,62
196653,45,376
258540,45,183
259852,45,59
372906,45,204
432863,45,58
435484,45,368
443327,45,59
4137220,45,76
36712689,45,63
37110366,45,82
80552,44,102
375807,44,105
435940,44,140
437241,44,79
437903,44,67
4127089,44,82
4138150,44,89
36716624,44,77
132412,43,71
136915,43,168
194403,43,91
197603,43,50
201313,43,76
257628,43,263
316814,43,71
438252,43,55
444411,43,191
4056479,43,665
4065355,43,61
40486629,43,67
43530714,43,57
44806788,43,118
28779,42,66
141056,42,51
194993,42,150
200789,42,45
378696,42,221
435506,42,59
440921,42,44
4025165,42,68
4117553,42,99
4117554,42,88
4129420,42,71
4175167,42,60
4189235,42,143
4284492,42,129
135424,41,42
136949,41,1191
139750,41,91
379012,41,89
380513,41,157
444297,41,53
606805,41,48
4009573,41,197
4097962,41,81
4171691,41,45
4173078,41,53
4182711,41,99
40323565,41,121
43022062,41,63
44806790,41,93
45772120,41,89
31884,40,128
137682,40,42
201121,40,92
201519,40,218
373035,40,47
433022,40,55
4006963,40,134
4051140,40,51
4054884,40,78
4056718,40,45
4164345,40,46
4171358,40,47
4174885,40,60
4208390,40,68
4302537,40,42
42536547,40,68
44783376,40,108
45769461,40,61
26935,39,178
30679,39,96
132446,39,237
134404,39,59
200060,39,54
372651,39,74
373982,39,85
433740,39,216
434920,39,311
439394,39,91
443900,39,56
4013613,39,67
4044745,39,58
4047747,39,198
4114353,39,51
4134577,39,150
4149583,39,149
4228686,39,62
4301617,39,57
37116361,39,41
37164777,39,89
42536768,39,44
196620,38,41
253009,38,62
312337,38,82
315273,38,114
440409,38,177
441269,38,418
441980,38,88
1245117,38,360
4182847,38,221
200447,37,50
260041,37,83
434010,37,691
434316,37,431
434480,37,64
435903,37,60
438120,37,684
438887,37,79
442147,37,64
3654438,37,91
4029633,37,63
4130372,37,71
4137468,37,45
4152592,37,79
37206227,37,39
193138,36,224
193252,36,64
260630,36,69
374957,36,77
435799,36,199
436900,36,44
440142,36,44
441233,36,346
4040820,36,104
4051740,36,60
4123293,36,45
4240913,36,144
4344612,36,58
25844,35,78
133002,35,76
134603,35,1050
136516,35,48
433403,35,38
436006,35,40
436145,35,44
438094,35,783
4108814,35,69
4112359,35,41
4147491,35,71
4191821,35,69
4308837,35,40
40482241,35,115
72986,34,43
197806,34,181
257293,34,52
372828,34,102
435788,34,172
436091,34,43
436348,34,446
436539,34,86
441333,34,53
443982,34,190
4033297,34,61
4051764,34,41
4066941,34,71
4077081,34,67
4103650,34,42
4134454,34,58
4139587,34,192
4155797,34,50
36712846,34,65
40489912,34,40
24230,33,34
73183,33,116
75605,33,40
141248,33,75
194406,33,70
196724,33,167
373748,33,43
375824,33,38
433171,33,112
433440,33,224
433997,33,215
435205,33,44
436700,33,120
