"year","sex","age_group","death_count","denominator","mortality_rate"
2012,"F","0-9",5,9875,0.000506329113924051
2012,"F","40-49",12,10804,0.00111069974083673
2012,"F","50-59",21,11252,0.00186633487380021
2012,"F","60-69",42,8775,0.00478632478632479
2012,"F","70-79",79,7236,0.0109176340519624
2012,"F","80+",177,3500,0.0505714285714286
2012,"M","20-29",9,13713,0.000656311529205863
2012,"M","30-39",9,11642,0.000773063047586325
2012,"M","40-49",18,10315,0.00174503150751333
2012,"M","50-59",34,9717,0.00349902233199547
2012,"M","60-69",90,7002,0.012853470437018
2012,"M","70-79",108,4308,0.0250696378830084
2012,"M","80+",94,1408,0.0667613636363636
2013,"F","30-39",7,10739,0.00065182977930906
2013,"F","40-49",8,10794,0.000741152492125255
2013,"F","50-59",31,11275,0.00274944567627494
2013,"F","60-69",60,9031,0.00664378252685195
2013,"F","70-79",117,7331,0.0159596235165735
2013,"F","80+",224,3845,0.0582574772431729
2013,"M","0-9",6,10866,0.000552181115405853
2013,"M","20-29",8,13453,0.000594662900468297
2013,"M","30-39",11,11869,0.00092678405931418
2013,"M","40-49",25,10406,0.00240246011916202
2013,"M","50-59",52,9847,0.00528079618157815
2013,"M","60-69",108,7246,0.0149047750483025
2013,"M","70-79",142,4442,0.0319675821701936
2013,"M","80+",118,1565,0.0753993610223642
2014,"F","20-29",6,11977,0.000500960173666194
2014,"F","40-49",11,10753,0.00102297033386032
2014,"F","50-59",40,11278,0.00354672814328782
2014,"F","60-69",70,9343,0.00749224017981376
2014,"F","70-79",120,7368,0.0162866449511401
2014,"F","80+",260,4165,0.0624249699879952
2014,"M","20-29",7,13151,0.000532278914151015
2014,"M","30-39",14,12089,0.00115807759119861
2014,"M","40-49",27,10419,0.00259141952202707
2014,"M","50-59",61,9897,0.00616348388400525
2014,"M","60-69",124,7580,0.0163588390501319
2014,"M","70-79",158,4502,0.0350955131052865
2014,"M","80+",156,1720,0.0906976744186047
2015,"F","30-39",7,11061,0.00063285417231715
2015,"F","40-49",11,10736,0.00102459016393443
2015,"F","50-59",39,11143,0.0034999551287804
2015,"F","60-69",66,9740,0.00677618069815195
2015,"F","70-79",130,7343,0.0177039357210949
2015,"F","80+",283,4475,0.0632402234636872
2015,"M","10-19",5,8982,0.00055666889334224
2015,"M","20-29",9,12774,0.000704556129638328
2015,"M","30-39",16,12288,0.00130208333333333
2015,"M","40-49",25,10553,0.00236899459869232
2015,"M","50-59",78,9891,0.00788595693054292
2015,"M","60-69",130,7868,0.0165226232841891
2015,"M","70-79",178,4522,0.0393631136665192
2015,"M","80+",175,1867,0.0937332619175147
2016,"F","30-39",11,11274,0.000975696292354089
2016,"F","40-49",14,10770,0.00129990714948932
2016,"F","50-59",41,11003,0.00372625647550668
2016,"F","60-69",68,9975,0.00681704260651629
2016,"F","70-79",134,7336,0.0182660850599782
2016,"F","80+",339,4853,0.0698536987430455
2016,"M","30-39",16,12419,0.00128834849826878
2016,"M","40-49",25,10763,0.0023227724612097
2016,"M","50-59",73,9887,0.00738343279053302
2016,"M","60-69",153,8076,0.0189450222882615
2016,"M","70-79",157,4604,0.0341007819287576
2016,"M","80+",191,1990,0.0959798994974874
2017,"F","0-9",6,9378,0.000639795265515035
2017,"F","40-49",8,10774,0.000742528308891777
2017,"F","50-59",37,10893,0.00339667676489489
2017,"F","60-69",84,10167,0.008262024195928
2017,"F","70-79",115,7393,0.0155552549709184
2017,"F","80+",406,5167,0.0785755757693052
2017,"M","0-9",6,10692,0.000561167227833895
2017,"M","20-29",9,11733,0.000767067246228586
2017,"M","30-39",18,12785,0.00140789988267501
2017,"M","40-49",34,10964,0.00310105800802627
2017,"M","50-59",84,9818,0.00855571399470361
2017,"M","60-69",137,8155,0.0167995095033722
2017,"M","70-79",188,4775,0.0393717277486911
2017,"M","80+",212,2137,0.0992044922788956
2018,"F","30-39",10,11777,0.000849112677252271
2018,"F","40-49",13,10602,0.00122618373891719
2018,"F","50-59",31,10947,0.0028318260710697
2018,"F","60-69",70,10252,0.00682793601248537
2018,"F","70-79",154,7483,0.0205799812909261
2018,"F","80+",399,5437,0.0733860584881368
2018,"M","10-19",6,9154,0.000655451168887918
2018,"M","20-29",5,11075,0.000451467268623025
2018,"M","30-39",17,13137,0.00129405495927533
2018,"M","40-49",36,11078,0.00324968405849431
2018,"M","50-59",95,9754,0.00973959401271273
2018,"M","60-69",151,8311,0.0181686920948141
2018,"M","70-79",193,4909,0.0393155428804237
2018,"M","80+",239,2275,0.105054945054945
2019,"F","20-29",6,10267,0.000584396610499659
2019,"F","30-39",7,12065,0.000580190634065479
2019,"F","40-49",16,10566,0.00151429112246829
2019,"F","50-59",34,10842,0.00313595277624055
2019,"F","60-69",68,10320,0.00658914728682171
