"sex","birth_year","patient_count"
"F",1909,1
"F",1910,1
"F",1911,1
"F",1912,5
"F",1913,6
"F",1914,9
"F",1915,6
"F",1916,8
"F",1917,14
"F",1918,28
"F",1919,34
"F",1920,49
"F",1921,70
"F",1922,93
"F",1923,140
"F",1924,163
"F",1925,196
"F",1926,244
"F",1927,287
"F",1928,321
"F",1929,385
"F",1930,418
"F",1931,483
"F",1932,538
"F",1933,527
"F",1934,568
"F",1935,614
"F",1936,718
"F",1937,723
"F",1938,754
"F",1939,855
"F",1940,795
"F",1941,865
"F",1942,817
"F",1943,700
"F",1944,707
"F",1945,677
"F",1946,806
"F",1947,883
"F",1948,932
"F",1949,1080
"F",1950,988
"F",1951,1023
"F",1952,979
"F",1953,998
"F",1954,1076
"F",1955,1147
"F",1956,1104
"F",1957,1128
"F",1958,1080
"F",1959,1190
"F",1960,1194
"F",1961,1190
"F",1962,1145
"F",1963,1040
"F",1964,1104
"F",1965,1039
"F",1966,987
"F",1967,1045
"F",1968,1149
"F",1969,1100
"F",1970,1184
"F",1971,1046
"F",1972,1110
"F",1973,1040
"F",1974,1074
"F",1975,1033
"F",1976,1031
"F",1977,1056
"F",1978,980
"F",1979,1071
"F",1980,1094
"F",1981,1060
"F",1982,1116
"F",1983,1227
"F",1984,1249
"F",1985,1184
"F",1986,1252
"F",1987,1260
"F",1988,1292
"F",1989,1370
"F",1990,1338
"F",1991,1145
"F",1992,1147
"F",1993,1011
"F",1994,982
"F",1995,937
"F",1996,988
"F",1997,928
"F",1998,902
"F",1999,903
"F",2000,983
"F",2001,827
"F",2002,921
"F",2003,851
"F",2004,859
"F",2005,811
"F",2006,842
"F",2007,889
"F",2008,854
"F",2009,912
"F",2010,899
"F",2011,908
"F",2012,2050
"F",2013,785
"F",2014,804
"F",2015,757
"F",2016,724
"F",2017,696
"F",2018,720
"F",2019,690
"F",2020,612
"F",2021,609
"F",2022,474
"F",2023,402
"F",2024,247
"M",1911,1
"M",1913,1
"M",1914,2
"M",1915,4
"M",1916,3
"M",1917,2
"M",1918,8
"M",1919,10
"M",1920,7
"M",1921,21
"M",1922,14
"M",1923,41
"M",1924,59
"M",1925,74
"M",1926,100
"M",1927,103
"M",1928,140
"M",1929,167
"M",1930,191
"M",1931,229
"M",1932,231
"M",1933,264
"M",1934,293
"M",1935,338
"M",1936,357
"M",1937,414
"M",1938,445
"M",1939,489
"M",1940,520
"M",1941,609
"M",1942,579
"M",1943,503
"M",1944,496
"M",1945,506
"M",1946,603
"M",1947,731
"M",1948,756
"M",1949,868
"M",1950,792
"M",1951,859
"M",1952,888
"M",1953,831
"M",1954,934
"M",1955,911
"M",1956,934
"M",1957,928
"M",1958,1007
"M",1959,1036
"M",1960,1024
"M",1961,1064
"M",1962,1048
"M",1963,993
"M",1964,1026
"M",1965,956
"M",1966,982
"M",1967,915
"M",1968,1006
"M",1969,1070
"M",1970,1088
"M",1971,1136
"M",1972,1143
"M",1973,1102
"M",1974,1060
"M",1975,1113
"M",1976,1211
"M",1977,1134
"M",1978,1143
"M",1979,1200
"M",1980,1258
"M",1981,1192
"M",1982,1229
"M",1983,1336
"M",1984,1292
"M",1985,1325
"M",1986,1358
"M",1987,1513
"M",1988,1506
"M",1989,1488
"M",1990,1403
"M",1991,1285
"M",1992,1207
"M",1993,1085
"M",1994,994
"M",1995,954
"M",1996,916
"M",1997,921
"M",1998,855
"M",1999,924
"M",2000,987
"M",2001,854
"M",2002,869
"M",2003,816
"M",2004,885
"M",2005,961
"M",2006,908
"M",2007,953
"M",2008,1013
"M",2009,968
"M",2010,998
"M",2011,1031
"M",2012,2231
"M",2013,922
"M",2014,900
"M",2015,932
"M",2016,868
"M",2017,845
"M",2018,851
"M",2019,775
"M",2020,645
"M",2021,659
"M",2022,559
"M",2023,440
"M",2024,276
