"year","sex","age_group","denominator"
2012,"F","0-9",9875
2012,"F","10-19",9382
2012,"F","20-29",12464
2012,"F","30-39",10555
2012,"F","40-49",10804
2012,"F","50-59",11252
2012,"F","60-69",8775
2012,"F","70-79",7236
2012,"F","80+",3500
2012,"M","0-9",10764
2012,"M","10-19",9359
2012,"M","20-29",13713
2012,"M","30-39",11642
2012,"M","40-49",10315
2012,"M","50-59",9717
2012,"M","60-69",7002
2012,"M","70-79",4308
2012,"M","80+",1408
2013,"F","0-9",9804
2013,"F","10-19",9222
2013,"F","20-29",12245
2013,"F","30-39",10739
2013,"F","40-49",10794
2013,"F","50-59",11275
2013,"F","60-69",9031
2013,"F","70-79",7331
2013,"F","80+",3845
2013,"M","0-9",10866
2013,"M","10-19",9089
2013,"M","20-29",13453
2013,"M","30-39",11869
2013,"M","40-49",10406
2013,"M","50-59",9847
2013,"M","60-69",7246
2013,"M","70-79",4442
2013,"M","80+",1565
2014,"F","0-9",9747
2014,"F","10-19",9099
2014,"F","20-29",11977
2014,"F","30-39",10910
2014,"F","40-49",10753
2014,"F","50-59",11278
2014,"F","60-69",9343
2014,"F","70-79",7368
2014,"F","80+",4165
2014,"M","0-9",10877
2014,"M","10-19",8976
2014,"M","20-29",13151
2014,"M","30-39",12089
2014,"M","40-49",10419
2014,"M","50-59",9897
2014,"M","60-69",7580
2014,"M","70-79",4502
2014,"M","80+",1720
2015,"F","0-9",9691
2015,"F","10-19",8970
2015,"F","20-29",11724
2015,"F","30-39",11061
2015,"F","40-49",10736
2015,"F","50-59",11143
2015,"F","60-69",9740
2015,"F","70-79",7343
2015,"F","80+",4475
2015,"M","0-9",10846
2015,"M","10-19",8982
2015,"M","20-29",12774
2015,"M","30-39",12288
2015,"M","40-49",10553
2015,"M","50-59",9891
2015,"M","60-69",7868
2015,"M","70-79",4522
2015,"M","80+",1867
2016,"F","0-9",9571
2016,"F","10-19",8822
2016,"F","20-29",11460
2016,"F","30-39",11274
2016,"F","40-49",10770
2016,"F","50-59",11003
2016,"F","60-69",9975
2016,"F","70-79",7336
2016,"F","80+",4853
2016,"M","0-9",10802
2016,"M","10-19",8972
2016,"M","20-29",12326
2016,"M","30-39",12419
2016,"M","40-49",10763
2016,"M","50-59",9887
2016,"M","60-69",8076
2016,"M","70-79",4604
2016,"M","80+",1990
2017,"F","0-9",9378
2017,"F","10-19",8782
2017,"F","20-29",11125
2017,"F","30-39",11469
2017,"F","40-49",10774
2017,"F","50-59",10893
2017,"F","60-69",10167
2017,"F","70-79",7393
2017,"F","80+",5167
2017,"M","0-9",10692
2017,"M","10-19",9001
2017,"M","20-29",11733
2017,"M","30-39",12785
2017,"M","40-49",10964
2017,"M","50-59",9818
2017,"M","60-69",8155
2017,"M","70-79",4775
2017,"M","80+",2137
2018,"F","0-9",9239
2018,"F","10-19",8733
2018,"F","20-29",10736
2018,"F","30-39",11777
2018,"F","40-49",10602
2018,"F","50-59",10947
2018,"F","60-69",10252
2018,"F","70-79",7483
2018,"F","80+",5437
2018,"M","0-9",10526
2018,"M","10-19",9154
2018,"M","20-29",11075
2018,"M","30-39",13137
2018,"M","40-49",11078
2018,"M","50-59",9754
2018,"M","60-69",8311
2018,"M","70-79",4909
2018,"M","80+",2275
2019,"F","0-9",9016
2019,"F","10-19",8741
2019,"F","20-29",10267
2019,"F","30-39",12065
2019,"F","40-49",10566
2019,"F","50-59",10842
2019,"F","60-69",10320
2019,"F","70-79",7616
2019,"F","80+",5780
2019,"M","0-9",10333
2019,"M","10-19",9194
2019,"M","20-29",10507
2019,"M","30-39",13415
2019,"M","40-49",11180
2019,"M","50-59",9722
2019,"M","60-69",8401
2019,"M","70-79",5094
2019,"M","80+",2404
2020,"F","0-9",8730
2020,"F","10-19",8653
2020,"F","20-29",9907
2020,"F","30-39",12305
2020,"F","40-49",10470
2020,"F","50-59",10807
2020,"F","60-69",10485
2020,"F","70-79",7703
2020,"F","80+",6049
2020,"M","0-9",9979
2020,"M","10-19",9209
2020,"M","20-29",10083
2020,"M","30-39",13547
2020,"M","40-49",11343
2020,"M","50-59",9758
2020,"M","60-69",8494
2020,"M","70-79",5198
2020,"M","80+",2563
2021,"F","0-9",8433
2021,"F","10-19",8732
2021,"F","20-29",9595
2021,"F","30-39",12386
2021,"F","40-49",10469
2021,"F","50-59",10644
2021,"F","60-69",10612
2021,"F","70-79",7779
2021,"F","80+",6328
2021,"M","0-9",9605
2021,"M","10-19",9382
2021,"M","20-29",9653
2021,"M","30-39",13623
2021,"M","40-49",11380
2021,"M","50-59",9789
2021,"M","60-69",8580
2021,"M","70-79",5304
2021,"M","80+",2731
2022,"F","0-9",6859
2022,"F","10-19",9858
2022,"F","20-29",9365
2022,"F","30-39",12414
2022,"F","40-49",10467
2022,"F","50-59",10611
2022,"F","60-69",10732
2022,"F","70-79",7823
2022,"F","80+",6438
2022,"M","0-9",7938
2022,"M","10-19",10734
2022,"M","20-29",9314
2022,"M","30-39",13596
2022,"M","40-49",11441
2022,"M","50-59",9837
2022,"M","60-69",8637
2022,"M","70-79",5416
2022,"M","80+",2781
2023,"F","0-9",6473
2023,"F","10-19",9792
2023,"F","20-29",9201
2023,"F","30-39",12197
2023,"F","40-49",10642
2023,"F","50-59",10591
2023,"F","60-69",10727
2023,"F","70-79",8057
2023,"F","80+",6451
2023,"M","0-9",7458
2023,"M","10-19",10836
2023,"M","20-29",9044
2023,"M","30-39",13329
2023,"M","40-49",11655
2023,"M","50-59",9887
2023,"M","60-69",8696
2023,"M","70-79",5536
2023,"M","80+",2777
2024,"F","0-9",5915
2024,"F","10-19",9734
2024,"F","20-29",9074
2024,"F","30-39",11928
2024,"F","40-49",10814
2024,"F","50-59",10539
2024,"F","60-69",10709
2024,"F","70-79",8330
2024,"F","80+",6519
2024,"M","0-9",6833
2024,"M","10-19",10850
2024,"M","20-29",8924
2024,"M","30-39",13036
2024,"M","40-49",11853
2024,"M","50-59",9896
2024,"M","60-69",8679
2024,"M","70-79",5731
2024,"M","80+",2810
