"concept_id","year","sex","age_group","patient_count","record_count","denominator","prevalence"
535714,2012,"F","20-29",19,21,12464,0.00152439024390244
535714,2012,"F","30-39",18,18,10555,0.00170535291331123
535714,2012,"F","40-49",7,7,10804,0.000647908182154758
535714,2013,"F","20-29",17,17,12245,0.0013883217639853
535714,2013,"F","30-39",25,27,10739,0.00232796349753236
535714,2014,"F","20-29",13,13,11977,0.00108541370961009
535714,2014,"F","30-39",18,18,10910,0.00164986251145738
535714,2014,"F","40-49",8,8,10753,0.000743978424625686
535714,2015,"F","20-29",16,17,11724,0.00136472193790515
535714,2015,"F","30-39",16,16,11061,0.0014465238224392
535714,2016,"F","20-29",14,14,11460,0.0012216404886562
535714,2016,"F","30-39",15,18,11274,0.00133049494411921
535714,2016,"F","40-49",7,7,10770,0.000649953574744661
535714,2017,"F","20-29",13,14,11125,0.0011685393258427
535714,2017,"F","30-39",17,17,11469,0.0014822565175691
535714,2017,"F","40-49",7,7,10774,0.000649712270280304
535714,2018,"F","20-29",42,43,10736,0.00391207153502236
535714,2018,"F","30-39",55,57,11777,0.00467011972488749
535714,2018,"F","40-49",9,9,10602,0.000848896434634975
535714,2019,"F","20-29",29,30,10267,0.00282458361741502
535714,2019,"F","30-39",52,53,12065,0.00430998756734356
535714,2020,"F","20-29",26,27,9907,0.00262440698496013
535714,2020,"F","30-39",38,40,12305,0.00308817553839902
535714,2021,"F","20-29",21,21,9595,0.00218863991662324
535714,2021,"F","30-39",63,63,12386,0.00508638785725819
535714,2021,"F","40-49",12,12,10469,0.00114624128379024
535714,2022,"F","20-29",31,31,9365,0.00331019754404698
535714,2022,"F","30-39",45,46,12414,0.00362493958434026
535714,2022,"F","40-49",8,9,10467,0.000764306869207987
535714,2023,"F","20-29",26,26,9201,0.00282577980654277
535714,2023,"F","30-39",28,28,12197,0.00229564647044355
535714,2023,"F","40-49",7,7,10642,0.000657771095658711
535714,2024,"F","20-29",15,15,9074,0.0016530747189773
535714,2024,"F","30-39",31,31,11928,0.00259892689470154
537647,2012,"F","0-9",8,26,9875,0.000810126582278481
537647,2012,"M","0-9",5,10,10764,0.000464511334076551
537647,2013,"F","0-9",5,16,9804,0.00050999592003264
537647,2014,"F","0-9",6,23,9747,0.000615574022776239
537647,2015,"F","0-9",5,15,9691,0.000515942627179858
537647,2016,"M","0-9",6,23,10802,0.000555452693945566
537647,2017,"M","0-9",6,29,10692,0.000561167227833895
537647,2018,"F","0-9",6,25,9239,0.000649420933001407
537647,2018,"M","0-9",9,35,10526,0.000855025650769523
537647,2019,"M","0-9",8,38,10333,0.000774218523178167
537647,2020,"M","0-9",8,27,9979,0.000801683535424391
537647,2021,"F","0-9",8,37,8433,0.000948654096999881
537647,2022,"F","0-9",9,19,6859,0.00131214462749672
537647,2022,"M","0-9",8,19,7938,0.00100781053162006
537647,2023,"F","0-9",5,17,6473,0.000772439363509965
537647,2023,"M","0-9",7,19,7458,0.000938589434164655
537647,2024,"F","0-9",8,12,5915,0.00135249366018597
702006,2012,"F","50-59",10,10,11252,0.000888730892285816
702006,2012,"F","60-69",8,8,8775,0.000911680911680912
702006,2012,"F","70-79",12,12,7236,0.00165837479270315
702006,2012,"M","50-59",7,8,9717,0.00072038695070495
702006,2012,"M","60-69",21,22,7002,0.00299914310197087
702006,2013,"F","50-59",5,5,11275,0.000443458980044346
702006,2013,"F","60-69",11,11,9031,0.00121802679658952
702006,2013,"F","70-79",14,14,7331,0.00190969854044469
702006,2013,"M","50-59",11,11,9847,0.00111709149994922
702006,2013,"M","60-69",25,25,7246,0.00345017940932929
702006,2013,"M","70-79",11,11,4442,0.0024763619990995
702006,2014,"F","50-59",8,8,11278,0.000709345628657563
702006,2014,"F","60-69",14,14,9343,0.00149844803596275
702006,2014,"F","70-79",14,14,7368,0.00190010857763301
702006,2014,"M","50-59",16,16,9897,0.00161665151055876
702006,2014,"M","60-69",19,19,7580,0.0025065963060686
702006,2014,"M","70-79",9,9,4502,0.00199911150599733
702006,2015,"F","60-69",12,12,9740,0.00123203285420945
702006,2015,"F","70-79",23,23,7343,0.00313223478142449
702006,2015,"F","80+",7,7,4475,0.00156424581005587
702006,2015,"M","50-59",6,6,9891,0.000606612071580224
702006,2015,"M","60-69",23,23,7868,0.00292323335027961
702006,2015,"M","70-79",10,10,4522,0.00221141088014153
702006,2015,"M","80+",5,5,1867,0.00267809319764328
702006,2016,"F","60-69",12,12,9975,0.00120300751879699
702006,2016,"F","70-79",13,13,7336,0.00177208287895311
702006,2016,"F","80+",9,9,4853,0.00185452297547909
702006,2016,"M","50-59",10,10,9887,0.00101142914938809
702006,2016,"M","60-69",16,16,8076,0.00198117880138683
702006,2016,"M","70-79",15,15,4604,0.00325803649000869
702006,2016,"M","80+",6,6,1990,0.00301507537688442
702006,2017,"F","50-59",9,9,10893,0.000826218672541999
702006,2017,"F","60-69",13,13,10167,0.00127864660175076
702006,2017,"F","70-79",11,11,7393,0.00148789395374002
702006,2017,"M","40-49",5,5,10964,0.000456037942356804
702006,2017,"M","50-59",10,10,9818,0.00101853738032186
702006,2017,"M","60-69",19,19,8155,0.0023298589822195
702006,2017,"M","70-79",26,26,4775,0.00544502617801047
702006,2017,"M","80+",6,6,2137,0.00280767430978007
702006,2018,"F","60-69",12,12,10252,0.00117050331642606
702006,2018,"F","70-79",16,16,7483,0.00213817987438193
702006,2018,"M","50-59",7,7,9754,0.00071765429567357
702006,2018,"M","60-69",13,13,8311,0.00156419203465287
702006,2018,"M","70-79",19,19,4909,0.00387044204522306
702006,2018,"M","80+",6,6,2275,0.00263736263736264
702006,2019,"F","60-69",14,14,10320,0.00135658914728682
702006,2019,"F","70-79",15,16,7616,0.00196953781512605
702006,2019,"F","80+",5,5,5780,0.000865051903114187
702006,2019,"M","50-59",7,7,9722,0.000720016457519029
702006,2019,"M","60-69",17,17,8401,0.002023568622783
702006,2019,"M","70-79",10,10,5094,0.00196309383588536
702006,2019,"M","80+",6,6,2404,0.00249584026622296
702006,2020,"F","50-59",5,5,10807,0.00046266308873878
702006,2020,"F","60-69",6,6,10485,0.000572246065808298
702006,2020,"F","70-79",17,17,7703,0.00220693236401402
702006,2020,"M","50-59",5,5,9758,0.000512400081984013
702006,2020,"M","60-69",20,21,8494,0.00235460324935248
702006,2020,"M","70-79",12,12,5198,0.00230858022316275
702006,2020,"M","80+",11,11,2563,0.00429184549356223
702006,2021,"F","60-69",8,8,10612,0.000753863550697324
702006,2021,"F","70-79",9,9,7779,0.00115696104897802
702006,2021,"F","80+",6,6,6328,0.000948166877370417
702006,2021,"M","50-59",5,5,9789,0.000510777403207682
702006,2021,"M","60-69",10,10,8580,0.00116550116550117
702006,2021,"M","70-79",11,11,5304,0.00207390648567119
702006,2022,"F","60-69",5,5,10732,0.000465896384644055
702006,2022,"F","70-79",9,9,7823,0.0011504537901061
702006,2022,"F","80+",6,6,6438,0.000931966449207828
702006,2022,"M","50-59",9,9,9837,0.000914913083257091
702006,2022,"M","60-69",10,10,8637,0.00115780942456872
702006,2022,"M","70-79",8,8,5416,0.00147710487444609
702006,2022,"M","80+",5,5,2781,0.00179791441927364
702006,2023,"F","60-69",9,9,10727,0.000839004381467325
702006,2023,"F","70-79",14,14,8057,0.00173761946133797
702006,2023,"F","80+",8,8,6451,0.00124011781119206
702006,2023,"M","50-59",8,8,9887,0.000809143319510468
702006,2023,"M","60-69",16,16,8696,0.00183992640294388
702006,2023,"M","70-79",17,18,5536,0.00307080924855491
702006,2024,"F","60-69",10,10,10709,0.000933794005042488
702006,2024,"F","70-79",18,18,8330,0.0021608643457383
702006,2024,"F","80+",6,6,6519,0.00092038656235619
702006,2024,"M","60-69",16,16,8679,0.00184353036064063
702006,2024,"M","70-79",14,14,5731,0.00244285465014832
729855,2012,"F","20-29",8,18,12464,0.000641848523748395
729855,2012,"F","30-39",7,16,10555,0.000663192799621033
729855,2012,"F","40-49",12,35,10804,0.00111069974083673
729855,2012,"F","50-59",14,37,11252,0.00124422324920014
729855,2012,"F","60-69",16,46,8775,0.00182336182336182
729855,2012,"F","70-79",12,34,7236,0.00165837479270315
729855,2012,"F","80+",5,13,3500,0.00142857142857143
729855,2012,"M","40-49",5,18,10315,0.000484730974309258
729855,2012,"M","60-69",6,17,7002,0.000856898029134533
729855,2012,"M","70-79",5,11,4308,0.00116063138347261
729855,2013,"F","20-29",7,14,12245,0.000571661902817476
729855,2013,"F","30-39",6,13,10739,0.000558711239407766
729855,2013,"F","40-49",11,29,10794,0.00101908467667223
729855,2013,"F","50-59",17,52,11275,0.00150776053215078
729855,2013,"F","60-69",11,30,9031,0.00121802679658952
729855,2013,"F","70-79",12,37,7331,0.0016368844632383
729855,2013,"M","30-39",6,17,11869,0.000505518577807734
729855,2013,"M","40-49",5,14,10406,0.000480492023832404
729855,2013,"M","50-59",5,17,9847,0.000507768863613283
729855,2013,"M","60-69",5,15,7246,0.000690035881865857
729855,2014,"F","30-39",9,21,10910,0.000824931255728689
729855,2014,"F","40-49",7,21,10753,0.000650981121547475
729855,2014,"F","50-59",17,54,11278,0.00150735946089732
729855,2014,"F","60-69",11,36,9343,0.00117735202825645
729855,2014,"F","70-79",9,27,7368,0.0012214983713355
729855,2014,"F","80+",5,11,4165,0.00120048019207683
729855,2014,"M","30-39",6,15,12089,0.000496318967656547
729855,2014,"M","40-49",5,13,10419,0.000479892504079086
729855,2014,"M","50-59",5,15,9897,0.000505203597049611
729855,2014,"M","60-69",6,16,7580,0.00079155672823219
729855,2015,"F","30-39",10,21,11061,0.000904077389024501
729855,2015,"F","40-49",11,29,10736,0.00102459016393443
729855,2015,"F","50-59",17,53,11143,0.00152562146639146
729855,2015,"F","60-69",15,48,9740,0.00154004106776181
729855,2015,"F","70-79",10,32,7343,0.00136184120931499
729855,2015,"M","30-39",5,15,12288,0.000406901041666667
729855,2015,"M","40-49",6,11,10553,0.000568558703686156
729855,2015,"M","50-59",7,16,9891,0.000707714083510262
729855,2015,"M","60-69",9,28,7868,0.00114387391967463
729855,2016,"F","20-29",5,9,11460,0.00043630017452007
729855,2016,"F","30-39",6,16,11274,0.000532197977647685
729855,2016,"F","40-49",11,30,10770,0.0010213556174559
729855,2016,"F","50-59",16,50,11003,0.00145414886849041
729855,2016,"F","60-69",14,40,9975,0.00140350877192982
729855,2016,"F","70-79",12,35,7336,0.00163576881134133
729855,2016,"F","80+",6,19,4853,0.00123634865031939
729855,2016,"M","30-39",6,14,12419,0.000483130686850793
729855,2016,"M","40-49",5,10,10763,0.00046455449224194
729855,2016,"M","50-59",7,21,9887,0.00070800040457166
729855,2016,"M","60-69",9,30,8076,0.00111441307578009
729855,2016,"M","70-79",5,14,4604,0.00108601216333623
729855,2017,"F","30-39",6,17,11469,0.000523149359142035
729855,2017,"F","40-49",9,27,10774,0.000835344347503249
729855,2017,"F","50-59",19,57,10893,0.00174423941981089
729855,2017,"F","60-69",16,39,10167,0.00157371889446248
729855,2017,"F","70-79",16,44,7393,0.00216420938725822
729855,2017,"F","80+",5,13,5167,0.000967679504548094
729855,2017,"M","30-39",6,15,12785,0.00046929996089167
729855,2017,"M","40-49",5,12,10964,0.000456037942356804
729855,2017,"M","50-59",5,17,9818,0.000509268690160929
729855,2017,"M","60-69",7,21,8155,0.000858369098712446
729855,2017,"M","70-79",6,14,4775,0.0012565445026178
729855,2017,"M","80+",5,12,2137,0.00233972859148339
729855,2018,"F","30-39",6,16,11777,0.000509467606351363
729855,2018,"F","40-49",13,30,10602,0.00122618373891719
729855,2018,"F","50-59",19,49,10947,0.00173563533388143
729855,2018,"F","60-69",15,52,10252,0.00146312914553258
729855,2018,"F","70-79",14,42,7483,0.00187090739008419
729855,2018,"F","80+",6,19,5437,0.00110354975170131
729855,2018,"M","30-39",5,15,13137,0.000380604399786862
729855,2018,"M","40-49",7,17,11078,0.000631883011373894
729855,2018,"M","50-59",7,22,9754,0.00071765429567357
729855,2018,"M","60-69",7,23,8311,0.000842257249428468
729855,2018,"M","70-79",6,18,4909,0.00122224485638623
729855,2019,"F","30-39",7,20,12065,0.000580190634065479
729855,2019,"F","40-49",15,34,10566,0.00141964792731403
729855,2019,"F","50-59",23,60,10842,0.00212137981922155
729855,2019,"F","60-69",19,48,10320,0.00184108527131783
729855,2019,"F","70-79",15,42,7616,0.00196953781512605
729855,2019,"F","80+",7,22,5780,0.00121107266435986
729855,2019,"M","40-49",7,16,11180,0.000626118067978533
729855,2019,"M","50-59",9,28,9722,0.000925735445381609
729855,2019,"M","60-69",8,23,8401,0.000952267587192001
729855,2019,"M","70-79",7,20,5094,0.00137416568511975
729855,2020,"F","20-29",5,14,9907,0.000504693650953871
729855,2020,"F","30-39",11,25,12305,0.000893945550589191
729855,2020,"F","40-49",11,26,10470,0.00105062082139446
729855,2020,"F","50-59",25,52,10807,0.0023133154436939
729855,2020,"F","60-69",24,66,10485,0.00228898426323319
729855,2020,"F","70-79",14,38,7703,0.00181747371154096
729855,2020,"F","80+",9,29,6049,0.0014878492312779
729855,2020,"M","40-49",5,13,11343,0.000440800493696553
729855,2020,"M","50-59",10,25,9758,0.00102480016396803
729855,2020,"M","60-69",9,26,8494,0.00105957146220862
729855,2020,"M","70-79",6,19,5198,0.00115429011158138
729855,2021,"F","20-29",9,15,9595,0.000937988535695675
729855,2021,"F","30-39",13,32,12386,0.00104957209752947
729855,2021,"F","40-49",14,30,10469,0.00133728149775528
729855,2021,"F","50-59",22,52,10644,0.00206689214580985
729855,2021,"F","60-69",26,74,10612,0.0024500565397663
729855,2021,"F","70-79",14,42,7779,0.00179971718729914
729855,2021,"F","80+",7,20,6328,0.00110619469026549
729855,2021,"M","40-49",5,13,11380,0.000439367311072056
729855,2021,"M","50-59",9,27,9789,0.000919399325773828
729855,2021,"M","60-69",8,24,8580,0.000932400932400932
729855,2021,"M","70-79",5,11,5304,0.000942684766214178
729855,2022,"F","20-29",5,9,9365,0.000533902829684997
729855,2022,"F","30-39",13,27,12414,0.00104720476880941
729855,2022,"F","40-49",16,39,10467,0.00152861373841597
729855,2022,"F","50-59",25,65,10611,0.00235604561304307
729855,2022,"F","60-69",22,63,10732,0.00204994409243384
729855,2022,"F","70-79",16,50,7823,0.00204525118241084
729855,2022,"F","80+",9,24,6438,0.00139794967381174
729855,2022,"M","50-59",11,36,9837,0.00111822710175867
729855,2022,"M","60-69",8,24,8637,0.000926247539654973
729855,2022,"M","70-79",5,15,5416,0.000923190546528803
729855,2023,"F","20-29",7,11,9201,0.000760786870992283
729855,2023,"F","30-39",15,37,12197,0.00122981060916619
729855,2023,"F","40-49",13,32,10642,0.00122157489193761
729855,2023,"F","50-59",26,68,10591,0.0024549145500897
729855,2023,"F","60-69",29,80,10727,0.00270345856250583
729855,2023,"F","70-79",15,43,8057,0.00186173513714782
729855,2023,"F","80+",8,20,6451,0.00124011781119206
729855,2023,"M","40-49",9,21,11655,0.000772200772200772
729855,2023,"M","50-59",11,36,9887,0.00111257206432689
729855,2023,"M","60-69",8,20,8696,0.000919963201471941
729855,2023,"M","70-79",7,19,5536,0.00126445086705202
729855,2024,"F","20-29",9,18,9074,0.000991844831386379
729855,2024,"F","30-39",13,31,11928,0.00108987256874581
729855,2024,"F","40-49",17,39,10814,0.00157203624930645
729855,2024,"F","50-59",28,67,10539,0.00265679855773793
729855,2024,"F","60-69",25,67,10709,0.00233448501260622
729855,2024,"F","70-79",17,50,8330,0.00204081632653061
729855,2024,"F","80+",5,13,6519,0.000766988801963491
729855,2024,"M","10-19",5,8,10850,0.000460829493087558
729855,2024,"M","40-49",9,28,11853,0.000759301442672741
729855,2024,"M","50-59",8,21,9896,0.000808407437348424
729855,2024,"M","60-69",8,22,8679,0.000921765180320313
729855,2024,"M","70-79",7,19,5731,0.00122142732507416
937368,2016,"M","40-49",5,24,10763,0.00046455449224194
937368,2022,"F","30-39",5,23,12414,0.000402771064926696
937368,2022,"M","20-29",10,50,9314,0.00107365256602963
937368,2022,"M","30-39",8,40,13596,0.000588408355398647
937368,2022,"M","40-49",5,21,11441,0.000437024735600035
937368,2022,"M","50-59",5,21,9837,0.000508285046253939
937368,2023,"F","30-39",5,32,12197,0.000409936869722063
937368,2023,"M","10-19",5,20,10836,0.000461424880029531
937368,2023,"M","20-29",8,52,9044,0.000884564352056612
937368,2023,"M","30-39",11,69,13329,0.000825268212168955
937368,2023,"M","40-49",7,38,11655,0.000600600600600601
937368,2023,"M","50-59",5,28,9887,0.000505714574694043
937368,2024,"F","30-39",7,31,11928,0.000586854460093897
937368,2024,"F","60-69",6,35,10709,0.000560276403025493
937368,2024,"M","10-19",5,25,10850,0.000460829493087558
937368,2024,"M","20-29",8,52,8924,0.000896458987001345
937368,2024,"M","30-39",10,55,13036,0.000767106474378644
937368,2024,"M","40-49",8,53,11853,0.000674934615709103
974166,2012,"F","60-69",6,6,8775,0.000683760683760684
974166,2013,"F","70-79",6,6,7331,0.000818442231619152
1134439,2018,"F","0-9",6,7,9239,0.000649420933001407
1134439,2018,"M","0-9",10,19,10526,0.000950028500855026
1134439,2019,"F","0-9",7,11,9016,0.00077639751552795
1134439,2019,"M","0-9",5,6,10333,0.000483886576986354
1134439,2020,"F","0-9",8,15,8730,0.000916380297823597
1134439,2020,"M","0-9",9,15,9979,0.00090189397735244
1134439,2021,"F","0-9",9,16,8433,0.00106723585912487
1134439,2021,"M","0-9",6,8,9605,0.00062467464862051
1134439,2022,"F","0-9",5,5,6859,0.000728969237498178
1134439,2022,"M","0-9",10,17,7938,0.00125976316452507
1304850,2012,"F","40-49",5,11,10804,0.00046279155868197
1304850,2012,"F","50-59",24,71,11252,0.00213295414148596
1304850,2012,"F","60-69",24,87,8775,0.00273504273504274
1304850,2012,"M","60-69",17,42,7002,0.00242787774921451
1304850,2012,"M","70-79",13,33,4308,0.00301764159702878
1304850,2012,"M","80+",5,6,1408,0.00355113636363636
1304850,2013,"F","40-49",9,22,10794,0.000833796553640912
1304850,2013,"F","50-59",24,64,11275,0.00212860310421286
