"concept_id","n_patients","n_records"
1757803,147,228
19136207,97,120
19007721,59,115
1334456,58,58
1503297,50,50
1332418,48,48
1341927,47,48
1395557,47,47
19042545,47,47
1501700,43,43
1510813,40,40
1545958,36,37
978555,27,28
1354698,25,25
902427,23,23
1304565,23,35
1373225,23,24
923645,21,21
19020068,21,21
19020477,21,21
1512674,20,20
1707687,20,25
1308842,19,19
1314577,19,19
1363749,19,19
1539403,19,19
1310317,18,21
19059796,18,18
40684649,18,18
924566,16,16
1110942,16,439
1304919,16,115
1310149,16,16
1124300,15,15
1196677,15,15
19062817,15,20
789578,14,377
939259,14,14
954688,14,14
1326303,14,14
1360332,14,14
1367500,14,14
19004539,14,14
970250,13,13
19092845,13,114
1149380,12,12
1167322,12,12
1383815,12,12
1397141,12,70
35198096,12,12
904351,11,11
1137529,11,11
1352213,11,112
1597756,11,11
19054876,11,11
740560,10,373
904453,10,10
1353256,10,10
1588000,10,10
1724700,10,12
1154343,9,9
1322184,9,9
1350504,9,9
1351557,9,9
1366610,9,264
1370109,9,9
40241969,9,61
904501,8,8
942350,8,8
956874,8,8
19015802,8,8
19097684,8,8
981709,7,7
989482,7,7
1353776,7,7
1548195,7,7
1580747,7,7
19095164,7,7
19136187,7,8
715939,6,6
948078,6,6
961047,6,6
1154161,6,6
1309944,6,6
1331247,6,6
1344354,6,6
1352141,6,20
1502905,6,6
1519936,6,6
19011021,6,6
19078187,6,6
44785885,6,291
920458,5,5
964339,5,5
1112921,5,5
1307863,5,5
1315942,5,17
1363053,5,5
1383925,5,5
1557272,5,5
19011355,5,5
19020061,5,5
40226742,5,5
42873638,5,149
42898933,5,15
