"concept_id","year","sex","age_group","patient_count","record_count","denominator","prevalence"
506795,2016,"F","40-49",5,5,10770,0.000464252553389044
506795,2016,"F","50-59",7,7,11003,0.000636190129964555
506795,2018,"F","50-59",5,5,10947,0.000456746140495113
506795,2021,"F","50-59",5,5,10644,0.000469748214956783
506795,2022,"F","50-59",9,9,10611,0.000848176420695505
506795,2023,"F","60-69",5,5,10727,0.000466113545259625
604177,2012,"F","40-49",12,14,10804,0.00111069974083673
604177,2012,"F","50-59",16,29,11252,0.00142196942765731
604177,2012,"F","60-69",15,19,8775,0.00170940170940171
604177,2012,"F","70-79",17,20,7236,0.0023493642896628
604177,2012,"F","80+",11,14,3500,0.00314285714285714
604177,2012,"M","10-19",6,10,9359,0.000641094133988674
604177,2012,"M","20-29",12,17,13713,0.000875082038941151
604177,2012,"M","40-49",15,17,10315,0.00145419292292777
604177,2012,"M","50-59",32,53,9717,0.00329319748893691
604177,2012,"M","60-69",34,70,7002,0.00485575549842902
604177,2012,"M","70-79",32,52,4308,0.0074280408542247
604177,2012,"M","80+",16,40,1408,0.0113636363636364
604177,2013,"F","20-29",6,6,12245,0.000489995916700694
604177,2013,"F","40-49",8,9,10794,0.000741152492125255
604177,2013,"F","50-59",12,12,11275,0.00106430155210643
604177,2013,"F","60-69",16,27,9031,0.00177167534049385
604177,2013,"F","70-79",33,44,7331,0.00450143227390533
604177,2013,"F","80+",10,14,3845,0.00260078023407022
604177,2013,"M","30-39",6,6,11869,0.000505518577807734
604177,2013,"M","40-49",11,14,10406,0.00105708245243129
604177,2013,"M","50-59",28,81,9847,0.00284350563623439
604177,2013,"M","60-69",38,64,7246,0.00524427270218051
604177,2013,"M","70-79",42,73,4442,0.00945520036019811
604177,2013,"M","80+",12,18,1565,0.00766773162939297
604177,2014,"F","40-49",7,7,10753,0.000650981121547475
604177,2014,"F","50-59",16,19,11278,0.00141869125731513
604177,2014,"F","60-69",22,27,9343,0.0023547040565129
604177,2014,"F","70-79",28,36,7368,0.00380021715526602
604177,2014,"F","80+",11,12,4165,0.00264105642256903
604177,2014,"M","20-29",8,9,13151,0.000608318759029732
604177,2014,"M","30-39",14,22,12089,0.00115807759119861
604177,2014,"M","40-49",14,22,10419,0.00134369901142144
604177,2014,"M","50-59",33,72,9897,0.00333434374052743
604177,2014,"M","60-69",43,65,7580,0.00567282321899736
604177,2014,"M","70-79",33,55,4502,0.00733007552199023
604177,2014,"M","80+",17,28,1720,0.00988372093023256
604177,2015,"F","30-39",6,6,11061,0.0005424464334147
604177,2015,"F","40-49",5,13,10736,0.000465722801788376
604177,2015,"F","50-59",15,23,11143,0.00134613658799246
604177,2015,"F","60-69",24,36,9740,0.00246406570841889
604177,2015,"F","70-79",24,29,7343,0.00326841890235599
604177,2015,"F","80+",9,21,4475,0.00201117318435754
604177,2015,"M","20-29",5,9,12774,0.000391420072021293
604177,2015,"M","30-39",6,6,12288,0.00048828125
604177,2015,"M","40-49",12,13,10553,0.00113711740737231
604177,2015,"M","50-59",29,55,9891,0.00293195834597108
604177,2015,"M","60-69",39,71,7868,0.00495678698525674
604177,2015,"M","70-79",40,72,4522,0.00884564352056612
604177,2015,"M","80+",13,28,1867,0.00696304231387252
604177,2016,"F","30-39",5,32,11274,0.000443498314706404
604177,2016,"F","40-49",7,14,10770,0.000649953574744661
604177,2016,"F","50-59",13,20,11003,0.00118149595564846
604177,2016,"F","60-69",14,19,9975,0.00140350877192982
604177,2016,"F","70-79",19,22,7336,0.00258996728462377
604177,2016,"F","80+",11,16,4853,0.00226663919225221
604177,2016,"M","30-39",8,12,12419,0.000644174249134391
604177,2016,"M","40-49",18,34,10763,0.00167239617207098
604177,2016,"M","50-59",26,48,9887,0.00262971578840902
604177,2016,"M","60-69",30,57,8076,0.0037147102526003
604177,2016,"M","70-79",23,40,4604,0.00499565595134665
604177,2016,"M","80+",15,36,1990,0.00753768844221105
604177,2017,"F","40-49",6,10,10774,0.000556896231668832
604177,2017,"F","50-59",11,23,10893,0.00100982282199578
604177,2017,"F","60-69",19,38,10167,0.00186879118717419
604177,2017,"F","70-79",17,27,7393,0.00229947247396186
604177,2017,"F","80+",14,23,5167,0.00270950261273466
604177,2017,"M","30-39",9,9,12785,0.000703949941337505
604177,2017,"M","40-49",17,41,10964,0.00155052900401313
604177,2017,"M","50-59",19,43,9818,0.00193522102261153
604177,2017,"M","60-69",28,75,8155,0.00343347639484979
604177,2017,"M","70-79",31,35,4775,0.00649214659685864
604177,2017,"M","80+",18,29,2137,0.0084230229293402
604177,2018,"F","50-59",9,11,10947,0.000822143052891203
604177,2018,"F","60-69",9,19,10252,0.000877877487319547
604177,2018,"F","70-79",16,22,7483,0.00213817987438193
604177,2018,"F","80+",11,14,5437,0.00202317454478573
604177,2018,"M","30-39",7,7,13137,0.000532846159701606
604177,2018,"M","40-49",15,18,11078,0.00135403502437263
604177,2018,"M","50-59",18,29,9754,0.00184539676030347
604177,2018,"M","60-69",31,49,8311,0.00372999639032607
604177,2018,"M","70-79",23,36,4909,0.00468527194948055
604177,2018,"M","80+",12,18,2275,0.00527472527472527
604177,2019,"F","40-49",7,9,10566,0.000662502366079879
604177,2019,"F","50-59",11,11,10842,0.001014572957019
604177,2019,"F","60-69",14,26,10320,0.00135658914728682
604177,2019,"F","70-79",14,19,7616,0.00183823529411765
604177,2019,"F","80+",14,21,5780,0.00242214532871972
604177,2019,"M","30-39",8,18,13415,0.000596347372344391
604177,2019,"M","40-49",11,17,11180,0.000983899821109124
604177,2019,"M","50-59",22,25,9722,0.00226290886648838
604177,2019,"M","60-69",33,48,8401,0.003928103797167
604177,2019,"M","70-79",13,14,5094,0.00255202198665096
604177,2019,"M","80+",14,16,2404,0.00582362728785358
604177,2020,"F","30-39",5,9,12305,0.000406338886631451
604177,2020,"F","50-59",9,9,10807,0.000832793559729805
604177,2020,"F","60-69",12,36,10485,0.0011444921316166
604177,2020,"F","70-79",12,12,7703,0.00155783460989225
604177,2020,"F","80+",11,16,6049,0.0018184823937841
604177,2020,"M","20-29",5,6,10083,0.000495884161459883
604177,2020,"M","40-49",10,13,11343,0.000881600987393106
604177,2020,"M","50-59",15,46,9758,0.00153720024595204
604177,2020,"M","60-69",34,41,8494,0.00400282552389922
604177,2020,"M","70-79",26,44,5198,0.00500192381685264
604177,2020,"M","80+",13,14,2563,0.00507218103784627
