"concept_id","n_patients","n_records"
4107081,190,198
4070607,172,184
4322471,165,167
4196678,158,163
4122781,137,155
4344635,115,115
4119392,111,170
4119815,108,120
4026045,107,114
43531082,106,108
4079766,103,106
4164907,100,102
4066807,98,102
4122103,98,102
4123735,98,133
4207119,95,96
4002547,93,138
4042315,93,93
40487349,93,93
4029571,92,114
40480207,92,102
4018300,89,89
4072024,89,89
42872588,89,92
4060257,88,89
4088717,87,89
4120998,87,93
4049252,84,85
4174519,84,115
4070373,83,83
4163766,83,86
4334718,83,97
4115317,82,88
4143656,81,93
4321596,81,89
4012317,80,86
4075598,80,98
4193922,79,81
4226983,79,80
4258010,79,89
44809642,79,79
4199705,78,107
4064533,77,87
4337034,77,115
4145886,76,77
4163287,76,76
4170947,76,77
4167420,75,78
4230961,75,81
4343795,75,76
4008569,74,126
4139992,74,81
4142889,74,195
4201120,74,77
4271587,74,78
4341536,74,74
4070879,73,75
4185366,73,78
4325283,73,75
4338818,73,76
1243851,72,89
4305860,72,75
4070591,71,78
4076662,71,279
4132856,70,105
4042325,69,69
4186722,69,71
40310989,69,72
40493228,69,69
4071518,68,69
4335617,68,77
4340646,68,72
4173712,67,69
4213281,67,154
4307589,67,70
40492327,67,73
42872810,67,75
4037876,66,72
4333130,66,85
4333131,66,85
35622512,66,71
4045610,65,80
4098786,65,73
4306203,65,74
4344636,64,64
43531648,64,74
4314436,63,64
4198242,62,65
4299725,62,64
4324124,62,2632
4069463,61,86
4124526,61,85
4155658,61,64
4175311,61,64
604319,58,59
4079651,58,59
4128560,58,66
4142625,58,99
4150846,58,58
4122330,57,61
4201720,57,57
40489325,57,61
44809139,57,80
4205229,56,56
4301346,56,59
4068770,55,60
4186440,55,68
4221619,55,56
4248040,55,61
4322623,55,57
4196045,54,56
4236009,54,55
1245449,53,53
4048987,53,54
4070608,53,55
4225212,53,53
4234819,53,55
4127137,52,55
4245857,52,52
4031507,51,51
45763875,51,58
4149930,50,53
4158696,50,63
4034245,49,65
4105167,49,57
4105908,49,53
4258554,49,65
4268189,49,49
4278755,48,55
4086912,47,47
4200565,47,53
4249161,47,48
4284254,47,76
4020329,46,46
4027426,46,47
4040551,46,88
4169931,46,46
35622626,46,50
40488930,46,47
44782856,46,46
4047337,45,46
4097368,45,46
4241329,45,49
4251348,45,49
4144723,44,45
4171187,44,44
37157813,44,50
4022011,43,46
4188048,43,43
4271301,43,50
4231680,42,42
4329453,42,46
4339412,42,80
4070880,41,63
4144859,41,41
4280418,41,52
42872496,41,41
4067379,40,83
4132403,40,40
4198857,40,54
4238384,40,42
4294508,40,43
43531086,40,40
4021322,39,49
4021362,39,42
4041249,39,49
4043177,39,81
4073393,39,43
4137700,39,39
4175627,39,81
4196919,39,45
4266224,39,100
4068560,38,43
4080974,38,41
4085923,38,42
4105589,38,38
4203990,38,39
4208524,38,39
4335676,38,43
35621840,38,44
42872444,38,38
4076862,37,38
4222733,37,37
4297967,37,49
40479379,37,39
1447474,36,41
4029787,36,44
4071015,36,38
4073385,36,36
4145362,36,54
4179324,36,38
4204677,36,38
4230660,36,36
4322169,36,36
4019134,35,37
4072263,35,37
4135441,35,36
4178798,35,35
4264064,35,35
4030247,34,34
4070834,34,35
4097958,34,34
4128302,34,63
4159882,34,46
4170872,34,34
4187383,34,60
44809616,34,34
1447837,33,36
4051014,33,34
4098024,33,34
4174214,33,33
4214463,33,35
4223536,33,33
4246067,33,37
4262301,33,47
4266978,33,33
4299367,33,40
1073191,32,32
4032155,32,32
4048327,32,32
4129658,32,34
4181205,32,33
4216307,32,36
4244210,32,35
4304536,32,32
44793314,32,33
4068911,31,44
4071009,31,31
4145877,31,32
4177376,31,40
4311112,31,54
4040299,30,30
4045963,30,30
4063759,30,31
4078309,30,30
4111233,30,30
4144391,30,30
4181610,30,30
4181623,30,32
4220964,30,30
4324537,30,31
4018022,29,29
4036697,29,29
4067560,29,29
4073422,29,30
4074000,29,29
4151530,29,31
