concept_id,relationship,relationship_id,target_concept_id,target_concept_name
604177,device,Using device,4104600,Flexible bronchoscope
606227,device,Using device,4033677,Prosthetic implant
618912,device,Using device,45768386,Aspiration needle
619762,device,Has dir device,4093739,Neurostimulator
761010,device,Using device,4149433,Orthopedic internal fixation system
1242824,device,Has dir device,4030970,Knee joint prosthesis
1242869,device,Has dir device,4035455,Joint prosthesis
1243263,device,Has dir device,4035455,Joint prosthesis
1243618,device,Has dir device,4280677,Stent
1245449,device,Using device,4313302,Laparoscope
1447443,device,Using device,4150246,Angioplasty catheter
1447443,device,Has dir device,45767944,Aortic stent
1447474,device,Using device,4038538,Breast implant
1447834,device,Using device,4313302,Laparoscope
1450216,device,Using acc device,1245222,Echoendoscope
1450216,device,Using device,1245222,Echoendoscope
1450216,device,Using device,4044383,Fine biopsy needle
4001543,device,Using device,4290594,Endoscope
4004241,device,Using device,4290594,Endoscope
4004241,device,Using acc device,4290594,Endoscope
4007438,device,Has dir device,4106026,Pack
4010253,device,Using device,4290594,Endoscope
4012330,device,Using device,4097825,Surgical suture
4013347,device,Using device,4097825,Surgical suture
4013574,device,Using device,4213560,Automated static perimeter
4016391,device,Using device,4214857,Perimeter
4018561,device,Using device,4080458,Artificial cardiac valve prosthesis
4018561,device,Has dir device,45768116,Mechanical cardiac valve prosthesis
4019134,device,Using device,4038662,Biopsy needle
4019228,device,Using device,4232673,Patent ductus closure prosthesis
4021414,device,Using acc device,4048015,Cystoscope
4021414,device,Using device,4048015,Cystoscope
4021414,device,Using device,4046730,Laser device
4021434,device,Using acc device,4048015,Cystoscope
4021434,device,Using device,4048015,Cystoscope
4021434,device,Has dir device,4120252,Ureteric stent
4021585,device,Using device,4060422,Catheter
4022011,device,Using device,4149926,Thoracoscope
4022627,device,Using device,4150246,Angioplasty catheter
4022794,device,Has dir device,4122363,Vascular cannula
4023102,device,Using acc device,4048015,Cystoscope
4023102,device,Using device,4048015,Cystoscope
4023102,device,Has dir device,4120252,Ureteric stent
4023106,device,Using acc device,4048015,Cystoscope
4023106,device,Using device,4048015,Cystoscope
4025680,device,Using device,4049103,Arthroscope
4026040,device,Has dir device,4246497,Hearing aid
4026045,device,Has dir device,4208975,Intraocular lens implant
4028987,device,Using device,4049103,Arthroscope
4029550,device,Has dir device,4223622,Implant
4030239,device,Has dir device,4030970,Knee joint prosthesis
4031777,device,Has dir device,4236069,Peritoneal dialysis catheter
4032014,device,Using device,4313302,Laparoscope
4032241,device,Has proc device,4169265,Device
4032404,device,Using device,4084319,Bronchoscope
4032613,device,Using device,4310698,Colposcope
4032631,device,Using device,4313302,Laparoscope
4032735,device,Using device,4313302,Laparoscope
4032774,device,Using device,4149926,Thoracoscope
4033396,device,Using device,4313302,Laparoscope
4033398,device,Using device,4232823,Suction equipment
4033557,device,Using device,4313572,Electrocardiographic monitor and recorder
4034524,device,Using acc device,4260387,Laryngoscope
4034524,device,Using device,4260387,Laryngoscope
4035289,device,Has dir device,4142036,Plaster cast
4035290,device,Has dir device,4142036,Plaster cast
4036250,device,Has dir device,4161452,Brachytherapy device
4036697,device,Using device,4279164,Microscope
4036943,device,Using device,4313302,Laparoscope
4039376,device,Using device,4290594,Endoscope
4041637,device,Using device,4149433,Orthopedic internal fixation system
4041643,device,Has dir device,4040386,Cast
4042005,device,Using acc device,4095054,Feeding tube
4045610,device,Has dir device,4232664,Intracranial pressure measuring device
4046290,device,Using device,4320473,Lithotripter
4046707,device,Has dir device,4173309,"Permanent cardiac pacemaker, device"
4046932,device,Using device,4093739,Neurostimulator
