concept_id,relationship,relationship_id,target_concept_id,target_concept_name
604986,procedure_site,Has indir proc site,4096320,Vitreous cavity structure
618912,procedure_site,Has indir proc site,4169744,Knee joint structure
619762,procedure_site,Has indir proc site,4147841,Nerve structure
1073322,procedure_site,Has indir proc site,4195956,Tracheal structure
1242824,procedure_site,Has indir proc site,4169744,Knee joint structure
1242869,procedure_site,Has indir proc site,4214466,Joint structure
1243263,procedure_site,Has indir proc site,4214466,Joint structure
1243851,procedure_site,Has indir proc site,4029619,Bone marrow structure
1245979,procedure_site,Has indir proc site,4271699,Inferior vena cava structure
1447443,procedure_site,Has indir proc site,4049896,Aortic structure
4000739,procedure_site,Has proc site,4260843,Neck structure
4001554,procedure_site,Has indir proc site,4196657,Eyelid structure
4002066,procedure_site,Has indir proc site,4033554,Structure of large intestine
4002243,procedure_site,Has proc site,4329658,Structure of urinary tract proper
4002377,procedure_site,Has indir proc site,4310976,Hand structure
4003219,procedure_site,Has indir proc site,4232481,Urinary bladder structure
4004519,procedure_site,Has indir proc site,4301506,Lens clear
4005223,procedure_site,Has indir proc site,4301506,Lens clear
4007438,procedure_site,Has indir proc site,4088327,Nasal cavity structure
4010247,procedure_site,Has proc site,4310976,Hand structure
4012185,procedure_site,Has proc site,4014241,Structure of cardiovascular system
4012317,procedure_site,Has proc site,4294042,Salivary gland structure
4012907,procedure_site,Has proc site,4095277,Structure of musculoskeletal system
4012925,procedure_site,Has proc site,4051578,Nasal sinus structure
4013051,procedure_site,Has proc site,4325271,Cervix uteri structure
4013355,procedure_site,Has indir proc site,4068271,Cardiac valve structure
4013510,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4013570,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4014477,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4014990,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4015555,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4016212,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4017330,procedure_site,Has indir proc site,4144672,Ileal structure
4018561,procedure_site,Has indir proc site,4300290,Structure of annulus fibrosus of aorta
4019540,procedure_site,Has indir proc site,4308580,Cerebrum
4021434,procedure_site,Has indir proc site,4337115,Ureteric structure
4022794,procedure_site,Has indir proc site,4104340,Venous structure
4023102,procedure_site,Has indir proc site,4337115,Ureteric structure
4025680,procedure_site,Has indir proc site,4169744,Knee joint structure
4025993,procedure_site,Has indir proc site,4288283,Stomach structure
4026045,procedure_site,Has proc site,4305329,Eye structure
4028217,procedure_site,Has proc site,4159864,Skin structure of upper limb
4028623,procedure_site,Has indir proc site,4029619,Bone marrow structure
4028875,procedure_site,Has indir proc site,4267861,Lower limb structure
4029549,procedure_site,Has proc site,4200396,Upper limb structure
4029550,procedure_site,Has indir proc site,4310976,Hand structure
4030028,procedure_site,Has proc site,4267861,Lower limb structure
4030239,procedure_site,Has indir proc site,4169744,Knee joint structure
4030660,procedure_site,Has proc site,4172281,Digestive organ structure
4030715,procedure_site,Has proc site,4240393,Bone structure of mandible
4031174,procedure_site,Has indir proc site,4082516,Hip joint structure
4031456,procedure_site,Has indir proc site,4237074,Pleural cavity structure
4031777,procedure_site,Has indir proc site,4307671,Peritoneal cavity structure
4032621,procedure_site,Has indir proc site,4179487,Endometrial cavity structure
4032929,procedure_site,Has proc site,4232481,Urinary bladder structure
4033087,procedure_site,Has indir proc site,4049448,Ovarian structure
4034305,procedure_site,Has proc site,4214466,Joint structure
4034458,procedure_site,Has proc site,4232203,Structure of intervertebral disc
4034845,procedure_site,Has proc site,4029306,Urethral structure
4035289,procedure_site,Has indir proc site,4200396,Upper limb structure
4035290,procedure_site,Has indir proc site,4107527,Lower leg structure
4036803,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4038335,procedure_site,Has proc site,4232009,Male genital structure
4039376,procedure_site,Has proc site,4046957,Gastrointestinal tract structure
4039628,procedure_site,Has indir proc site,4104340,Venous structure
4040299,procedure_site,Has proc site,4288283,Stomach structure
4040401,procedure_site,Has proc site,4219601,Skin structure
